item_code,brand,Master Catalogue name,medicine_type,exp_sku_brand,mod_brand,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,pack,manufacturer,catg,subcatg,mrp
33494,swisse beauty collagen hyaluronic acid tab 30s,,tablet,swisse beauty collagen hyaluronic acid,swisse beauty collagen hyaluronic acid 30s,1,swisse beauty collagen hyaluronic,swisse beauty collagen,swisse beauty,30s,VITEX PHARMACITICULES,,,1249
33495,swisse ultivite mens multivitamin tab 30 s,,tablet,swisse ultivite mens multivitamin,swisse ultivite mens multivitamin 30 s,1,swisse ultivite mens,swisse ultivite,swisse,30s,VITEX PHARMACITICULES,,,1299
33496,swisse ultivite womens multivitamin tab 30 s,,tablet,swisse ultivite womens multivitamin,swisse ultivite womens multivitamin 30 s,1,swisse ultivite womens,swisse ultivite,swisse,30s,VITEX PHARMACITICULES,,,1299
33500,swisse ultiboost magnesium tab 60 s,,tablet,swisse ultiboost magnesium,swisse ultiboost magnesium 60 s,1,swisse ultiboost,swisse,swisse,60s,VITEX PHARMACITICULES,,,1149
33501,swisse ultiboost calcium+vitamin d tab 90 s,,tablet,swisse ultiboost calcium+vitamin d,swisse ultiboost calcium+vitamin d 90 s,1,swisse ultiboost calcium+vitamin,swisse ultiboost,swisse,90s,VITEX PHARMACITICULES,,,1399
33503,swisse high strength apple cider tab 30 s,,tablet,swisse high strength apple cider,swisse high strength apple cider 30 s,1,swisse high strength apple,swisse high strength,swisse high,30s,VITEX PHARMACITICULES,,,1099
33504,swisse ultiboost liver detox tab 30 s,,tablet,swisse ultiboost liver detox,swisse ultiboost liver detox 30 s,1,swisse ultiboost liver,swisse ultiboost,swisse,30s,VITEX PHARMACITICULES,,,1049
33599,mankind health ok tab 10s,,tablet,mankind health ok,mankind health ok 10s,1,mankind health,mankind,mankind,10s,Mankind Pharma Ltd,,,110
33600,mankind health ok tab 30s,,tablet,mankind health ok,mankind health ok 30s,1,mankind health,mankind,mankind,30s,Mankind Pharma Ltd,,,300
33625,azeekatch tab 250mg 6s,,tablet,azeekatch,azeekatch 250 6s,1,azeekatch,azeekatch,azeekatch,6s,NUKIND HEALTHCARE PVT LTD,,,70.69
33635,intocare 200 tab 10s,,tablet,intocare,intocare 200 10s,1,intocare,intocare,intocare,10s,FOREVER BODY CARE INDUSTRIES,,,312
33637,voveflam tab 10s,,tablet,voveflam,voveflam 10s,1,voveflam,voveflam,voveflam,10s,CARE FORMULATION LABS,,,21.5
33641,medicyes vitamin c tab 15s,,tablet,medicyes vitamin c,medicyes vitamin c 15s,1,medicyes vitamin,medicyes,medicyes,15s,MEDICYES PHARMA PVT LTD,,,76
33642,zymicovit tab 15s,,tablet,zymicovit,zymicovit 15s,1,zymicovit,zymicovit,zymicovit,15s,Syndicate Life Sciences Pvt Ltd,,,150
33647,sugarmet 500 tab 20s,,tablet,sugarmet,sugarmet 500 20s,1,sugarmet,sugarmet,sugarmet,20s,CARE FORMULATION LABS,,,37.4
33648,glimkar-1 tab 10s,,tablet,glimkar,glimkar 1 10s,1,glimkar,glimkar,glimkar,10s,CARE FORMULATION LABS,,,40.32
33649,pentotek 40 tab 10s,,tablet,pentotek,pentotek 40 10s,1,pentotek,pentotek,pentotek,10s,Mediste Pharmaceuticals Pvt Ltd,,,125
33650,naprocare d tab 10s,,tablet,naprocare d,naprocare d 10s,1,naprocare,naprocare,naprocare,10s,EUROC,,,125
33651,usumzyme tab 15s,,tablet,usumzyme,usumzyme 15s,1,usumzyme,usumzyme,usumzyme,15s,Mediste Pharmaceuticals Pvt Ltd,,,70
33694,ins3active oa tab 10s,,tablet,ins3active oa,ins3active oa 10s,1,ins3active,ins3active,ins3active,10s,INNOVCARE LIFESCIENCES PVT.LTD,,,629
33720,tibeto tab 10s,,tablet,tibeto,tibeto 10s,1,tibeto,tibeto,tibeto,10s,EDIFICE LIFE SCIENCES PVT LTD,,,489
33774,lifocet m tab 10s,,tablet,lifocet m,lifocet m 10s,1,lifocet,lifocet,lifocet,10s,LIFELINE ANTIDOTES,,,125
33861,valentas tab 50mg 10s,,tablet,valentas,valentas 50 10s,1,valentas,valentas,valentas,10s,Lupin Ltd,,,249
33863,diarich q 10 tab 10s,,tablet,diarich q,diarich q 10 10s,1,diarich,diarich,diarich,10s,Micro Labs Ltd,,,599
33897,setu alpha lipoic acid boost tab 60s,,tablet,setu alpha lipoic acid boost,setu alpha lipoic acid boost 60s,1,setu alpha lipoic acid,setu alpha lipoic,setu alpha,60s,SETU NUTRATION PVT LTD,,,1100
33917,arney 50 tab 14s,,tablet,arney,arney 50 14s,1,arney,arney,arney,14s,Intas Pharmaceuticals Ltd,,,250.6
33944,gabroz nt tab 10s,,tablet,gabroz nt,gabroz nt 10s,1,gabroz,gabroz,gabroz,10s,Syndicate Life Sciences Pvt Ltd,,,219
33977,rosday ez tab 20mg 10s,,tablet,rosday ez,rosday ez 20 10s,1,rosday,rosday,rosday,10s,USV Ltd,,,320
33995,carinia tab 1.5mg 10s,,tablet,carinia,carinia 1.5 10s,1,carinia,carinia,carinia,10s,Intas Pharmaceuticals Ltd,,,99
34013,betasight l tab 10s,,tablet,betasight l,betasight l 10s,1,betasight,betasight,betasight,10s,MAXINOVEL BIOTECH,,,270
34015,sacurise tab 100mg 14s,,tablet,sacurise,sacurise 100 14s,1,sacurise,sacurise,sacurise,14s,Sun Pharmaceutical Industries Ltd,,,350
34017,carispec tab 3mg 10s,,tablet,carispec,carispec 3 10s,1,carispec,carispec,carispec,10s,Sun Pharmaceutical Industries Ltd,,,160
34024,krelogem k tab 10s,,tablet,krelogem k,krelogem k 10s,1,krelogem,krelogem,krelogem,10s,CRMS PHARMACEUTICAL,,,312
34025,sclerifuma tab 240mg 10s,,tablet,sclerifuma,sclerifuma 240 10s,1,sclerifuma,sclerifuma,sclerifuma,10s,Sun Pharmaceutical Industries Ltd,,,555
