item_code,brand,pack,company,catg,subcatg,mrp
1000081,LOSAR-A TAB 1*15,,UNISEARCH CV LIFE,,,249.95
1000083,LOSAR-H TAB 1*15,,UNISEARCH CV LIFE,,,231.35
1000085,NOOTROPIL INJ. 15ML,,DR.REDDY(ERA),,,99
1000086,PREGNIDOXIN TAB 1*15,,DR.REDDY-[ GRANDERA ],,,172
1000087,MADONIA CAP 1*10,,AJANTA-[ ALMIRON ],,,64
1000088,TRINERGIC CAP 1*10,,UNICHEM PHARMA,,,66.95
1000090,UNIENZYME TAB 1*15,,TORRENT(UVA),,,70.6
1000091,VIZYLAC CAP 1*15,,TORRENT(UVA),,,69.25
1000092,VIZYLAC (SYP). 60ML,,TORRENT(UVA),,,46.05
1000093,ZULU TAB 1*10,,UNICHEM LAB,,,77.15
1000094,ZYNCET (SYP). 60ML,,TORRENT(UVA),,,43.65
1000095,ZYNCET TAB 1*10,,TORRENT(UVA),,,18.35
1000096,ZYNCET D TAB 1*10,,TORRENT(UVA),,,16.76
1000097,SERTA-100 1*15,,AJANTA-[ ALMIRON ],,,312.4
1000098,SERTA-50 1*15,,AJANTA-[ ALMIRON ],,,184.2
1000099,SERTA-25 10TAB,,AJANTA-[ ALMIRON ],,,57
1000100,TG-TOR 10 TAB 1*15,,UNISEARCH CV LIFE,,,91.7
1000101,TG-TOR 5 TAB 1*10,,UNISEARCH CV LIFE,,,64.05
1000102,TG-TOR 20 TAB 1*10,,UNISEARCH CV LIFE,,,247.6
1000103,TRIKA-0.5 TAB 1*15,,UNISEARCH CV LIFE,,,26.55
1000104,TRIKA-1 TAB 1*10,,UNISEARCH CV LIFE,,,54.3
1000105,TRIKA SR-0.5 TAB 1*10,,UNICHEM UNIFOREVA,,,27.86
1000106,TRIKA SR-1 TAB 1*10,,UNICHEM UNIFOREVA,,,48.1
1000107,ZYPINE MD-10 1*10T,,AJANTA-[ ALMIRON ],,,67.25
1000108,ZYPINE MD-2.5 1*10T,,AJANTA-[ ALMIRON ],,,26
1000109,ZYPINE MD-5 1*10T,,AJANTA-[ ALMIRON ],,,40
1000110,ZYPINE MD-7.5 1*10T,,AJANTA-[ ALMIRON ],,,66
1000114,SULBACIN INJ 1 VAIL,,TORRENT [VITUS],,,81.3
1000115,SULBACIN TAB 1*4,,TORRENT [VITUS],,,576.75
1000123,ATARAX (SYP). 100ML,,DR.REDDY-[ GRANDERA ],,,110.25
1000124,ATARAX DROP 15ML,,DR.REDDY-[ GRANDERA ],,,69.75
1000130,SUPRACAL TAB 1*15,,PHARMED (TISKON),,,197
1000131,SUPRACAL CHEW TAB 1*6,,PHARMED (TISKON),,,22
1000133,CARTIGEN CAP 1*30,,PHARMED (TISKON),,,520
1000137,CEFDIEL CAP 1*10,,SUN PHARMA=[ PHARMA-LIFE ],,,355
1000151,RICONIA SILVER TAB 1*15,,SUN PHARMA=[ PHARMA ],,,76.9
1000174,CLODREL TAB 1*10,,UNISEARCH CD,,,42.79
1000180,BETANIF CAP 1*10,,UNISEARCH CV LIFE,,,63.5
1000182,ROMILAST-10 MG 1*15T,,RPG:-{ PHARMA },,,307.3
1000185,ADTROL SOFGEL 1*10,,WANBURY=( OSTEOLIFE ),,,105.5
1000209,CARTIGEN PLUS 1*10,,PHARMED (TISKON),,,120
1000218,AXN CAP 1*10,,ALGEN HEALTHCARE,,,99
1000220,CALCI-D3 TAB 1*10,,ALGEN HEALTHCARE,,,75
1000222,EFLOX 200MG TAB 1*10,,ALGEN HEALTHCARE,,,50
1000226,T-CEF 200 MG 1*10,,ALGEN HEALTHCARE,,,119.6
1000254,GESTONE INJ 100MG 2ML 2 ML,,FERRING ( FERTILITY),,,120.6
1000256,GESTONE INJ 50MG 1ML,,FERRING ( FERTILITY),,,66.15
1000304,OLFI TZ TAB 1*6,,IPCA=( DYNAMIX ),,,29.7
1000337,X^TOR-5 1*10T,,IPCA=( 3-D ),,,73.45
1000338,RAMCOR-1.25 CAP 1*10,,IPCA=( CCC ),,,56.75
1000339,RAMCOR-2.5 CAP 1*10,,IPCA=( CCC ),,,58.91
1000340,RAMCOR-5 CAP 1*10,,IPCA=( CCC ),,,91.92
1000347,ROMILAST-4 MG 1*15T,,RPG:-{ PHARMA },,,160.6
1000348,ROMILAST-5 MG 1*15T,,RPG:-{ PHARMA },,,201.05
1010356,FERRI 100 INJ 5ML,,EMCURE:-[ XENNEX ],,,261.8
1010371,CARTIGEN-1 (SACH) 4GM,,PHARMED (TISKON),,,350
1010429,UNIRESP-400MG TAB 1*10,,ALGEN HEALTHCARE,,,61
1010434,ZEVA (SYP). 100ML,,WANBURY=( LIMITED ),,,69.5
1010440,DUBOGEN TAB 1*10,,AJANTA-[ ALMIRON ],,,51.7
1010443,TRIKA-0.5 TAB 1*15,,UNISEARCH CV LIFE,,,20
1010463,RODIFF 12.5MG TAB 1*10,,IPCA=( IPM ),,,10
1010464,RODIFF 25 MG TAB 1*10,,IPCA=( IPM ),,,19
1010465,RODIFF 50 MG TAB 1*10,,IPCA=( IPM ),,,27
1010473,LOTOR TAB 500MG 1*5,,ZUVENTUS-( LASOR ),,,30.5
1010477,CEPODEM 200 TAB 1*10,,SUN PHARMA=[ PHARMA ],,,189
1010528,TENCALM-LD TAB 1*10,,PROCHEM BIOTECH,,,26
1010536,AMPOXIN LB-500 1*10,,TORRENT(UVA),,,43.3
1010544,CORVADIL-5 MG 1*10T,,UNISEARCH CD,,,29.2
1010552,SATROGYL 300MG TAB 1*10,,ALKEM-(*ACE ),,,153
1010569,NUCORIL 5 MG 1*20,,EMCURE:-[ NUCRON ],,,299
1010581,RAPEED 20 TAB 1*10,,ALKEM (*ALPHA MAX),,,54
1010590,PIOGLU-30 TAB 1*10,,EMCURE:-[ CRIANTE ],,,49.8
1010654,PARI-10 TAB 1*10,,IPCA=( INNOVA ),,,244.1
1010655,PARI-20 TAB 1*15,,IPCA=( INNOVA ),,,362.75
1010656,PARI-30 TAB 1*10,,IPCA=( INNOVA ),,,146.2
1010657,PARI-40 TAB 1*10,,IPCA=( INNOVA ),,,175
1010679,ALDACTONE-100 1*15,,RPG:-{ PHARMA },,,211.05
1010680,ALDACTONE-25 1*15,,RPG:-{ PHARMA },,,35.35
1010683,SERENACE-0.25 1*20,,RPG:-{ PHARMA },,,34.6
1010686,TRICAINE MPS GEL 1*200ML,,RPG:-{ PHARMA },,,165.7
1010689,NAPROSYN 250 TAB 1*10,,RPG:-{ PHARMA },,,58
1010690,NAPROSYN 500 1*10,,RPG:-{ PHARMA },,,79
1010709,ZOLPANZ 40MG TAB 1*10,,RPG:-{ SEARLE-SERTEC },,,53.46
1010714,GLYTOP SR-5 TAB 1*10,,RPG IMPULSE,,,7.15
1010715,GLYTOP SR-10 TAB 1*10,,RPG IMPULSE,,,13.6
1010716,LOSATEC-25 TAB 1*10,,RPG IMPULSE,,,30.54
1010717,LOSATEC-50 TAB 1*10,,RPG IMPULSE,,,45.15
1010718,LOSATEC H TAB 1*10,,RPG IMPULSE,,,100.1
1010721,ARPITOR-10 1*10T,,RPG IMPULSE,,,62.74
1010727,SPIROMIDE TAB 1*10,,RPG:-{ PHARMA },,,55.7
1010728,AZORAN-50 TAB 1*20,,RPG NEPHROCARE,,,213.3
1010729,SERENACE-1.5 1*20T,,RPG:-{ EMPATHY LIFE SCIENCES },,,18.2
1010730,SERENACE-5 1*20T,,RPG:-{ EMPATHY LIFE SCIENCES },,,38.5
1010731,SERENACE-10 1*15T,,RPG:-{ EMPATHY LIFE SCIENCES },,,98.7
1010732,SERENACE AMP 5*1ML,,RPG:-{ EMPATHY LIFE SCIENCES },,,32.35
1010733,SERENACE (SYP). 30ML,,RPG:-{ EMPATHY LIFE SCIENCES },,,63.05
1010736,TOPDIP 5MG TAB 1*10,,RPG IMPULSE,,,28.2
1010738,TOPDIP AT TAB 1*10,,RPG IMPULSE,,,60.65
1010739,ACEDIP TAB 1*10,,RPG IMPULSE,,,86.25
1010740,BENCLAMET FORTE TAB 1*10,,RPG IMPULSE,,,24.25
1010741,BENCLAMET TAB 1*10,,RPG IMPULSE,,,13.35
1010755,GEMCAL (SYP). 120ML,,ALKEM-(BERGEN_ASTA),,,173.5
1010759,PENTASA 500MG TAB 1*10,,FERRING ( MULTISPECIALITY),,,256.5
1010771,DENZO TAB 1*10,,ALGEN HEALTHCARE,,,82
1010786,TAGERA FORTE 1*2,,AJANTA-[ ALMIRON ],,,36
1010792,SUPRACAL (SYP). 200ML,,PHARMED (TISKON),,,140
1010809,MEDROL-16 TAB 1*14,,PFIZER-( ULTIMA ),,,136.98
1010812,MINIRIN TAB 0.1MG 1*15,,FERRING ( MULTISPECIALITY),,,541.76
1010820,CETRA PLUS TAB 1*10,,PROCHEM BIOTECH,,,45
1010835,ARPITOR-20 1*10T,,RPG IMPULSE,,,122.49
1010842,NULOC 20MG TAB 1*10,,ALKEM-(BERGEN_ASTA),,,59
1010856,FORTWIN INJ. 12*1ML.,,SUN PHARMA=[ PHARMA-LIFE ],,,5.09
1010859,ROLITEN-1 MG 1*10T,,SUN PHARMA=[ URO ],,,104
1010863,PERIPRIDE 2.5MG TAB 1*10,,IPCA=( IPM ),,,11
1010864,PEROCLIN-5% 15GM,,AJANTA-[ AVECIA ],,,520
1010866,CARTIGEN FORTE + 1*10,,PHARMED (TISKON),,,409
1010881,KEFLOXIN REDMIX 125MG 30ML,,SUN PHARMA=[ REXTAR ],,,19.91
1010888,DETRUSITOL-2 TAB 1*14,,PFIZER-( UROGYNAE ),,,615.8
1010890,AZIBACT-250 1*10T,,IPCA=( PHARMA NEXT),,,118.49
1010891,AZIBACT-500 1*5,,IPCA=( PHARMA NEXT),,,119.5
1010906,SWICH 200MG TAB 1*6,,ALKEM-(ARISE),,,128
1010911,GLYREE-3 TAB 1*10,,IPCA=( CARDIMET ),,,120.6
1010912,GLYREE-4 TAB 1*10,,IPCA=( CARDIMET ),,,108.35
1010947,ABSOLUT +CAP 1*10,,PHARMED (TISKON),,,158
1010956,SYLATE M TAB 1*10,,EMCURE:-[ XENNEX ],,,231.45
1010977,LOMOFEN + TAB 1*20,,RPG:-{ PHARMA },,,48.8
1010983,ASOMEX 2.5MG TAB 1*10,,EMCURE:-[ PHARMA LTD ],,,91.2
1010985,CAPSIDOL GEL 30GM,,SUN PHARMA=[ REXTAR ],,,59.5
1010991,DOSPIN-75 TAB 1*10,,FOREGEN (GENASIA BIOTECH),,,35.2
1011030,NIMEGESIC OD TAB 1*10,,ALEMBIC-( MAXICA ),,,42.75
1011036,C-TAX O 200 TAB 1*10,,ZUVENTUS-( LASOR ),,,113.58
1011038,NUSAR ATN TAB 1*10,,EMCURE:- [CD],,,102.3
1011040,SWICH 50 MG SYP 30ML,,ALKEM-(ARISE),,,95
1011055,MENOSAN TAB 1*30,,HIMALAYA (ZANDRA),,,180
1011057,REOSTO TAB 1*30,,HIMALAYA (ZANDRA),,,165
1011059,RUMALAYA FOTRE TAB 1*30,,HIMALAYA,,,180
1011075,ESLO-2.5 1*15T,,ZUVENTUS HEALTHCARE LTD,,,100
1011085,BECOSULES CAP 1*20,,( AMTEK ) MARKETING @ SERVICES,,,45.67
1011089,PRAIZE 40MG TAB 1*10,,IPCA=( IPM ),,,39
1011090,PRAIZE 20MG TAB 1*10,,IPCA=( IPM ),,,24
1011099,DAXID-50 1*15,,PFIZER (NEURO),,,159.23
1011101,C-TAX O DRY SYP 50ML,,ZUVENTUS-( LASOR ),,,89.75
1011104,RABIFAST 20MG TAB 1*15,,ZUVENTUS HEALTHCARE LTD,,,120.15
1011107,PAUSE MF TAB 1*10,,EMCURE:-[ PHARMA LTD ],,,462.2
1011138,METAGARD CR-35 1*10T,,IPCA=( CCC ),,,139.9
1011139,METAGARD CR-60 1*10,,IPCA=( CCC ),,,223.65
1011146,GRAMONEG DISTAB 1*8,,SUN PHARMA=[ REXTAR ],,,26.5
1011148,DYL TAB 1*10,,AJANTA-[ ANWAXX ],,,36
1011152,DOSPIN-150 TAB 1*10,,FOREGEN (GENASIA BIOTECH),,,25.75
1011154,ATORFIT 20 TAB 1*15,,AJANTA-[ NUVENTA ],,,145.57
1011161,STANLIP PLUS TAB 1*10,,SUNPHARMA V (OLD),,,142
1011171,ALDINIR-300 CAP 1*10,,ALEMBIC-( ALCARE ),,,111.7
1011185,ZEOF O TAB 1*10,,ZUVENTUS-( ZHL ),,,81.5
1011188,GATOR 400MG TAB 1*5,,ZUVENTUS HEALTHCARE LTD,,,59.35
1011193,HEMFER CAP 1*30,,ALKEM-(*ACE ),,,127
1011212,SUPRACAL PLUS TAB 1*10,,PHARMED (TISKON),,,62.5
1011216,AMBULAX-ETM 1*10,,SUNPHARMA V (OLD),,,67.5
1011217,AMBULAX-ET 1*15,,SUNPHARMA V (OLD),,,108.5
1011219,GLICET M TAB 1*30,,PROCHEM BIOTECH,,,40
1011221,LORAM-1.25 TAB 1*10,,UNISERARCH INTEGRA,,,55.5
1011222,LORAM-2.5 TAB 1*10,,UNISERARCH INTEGRA,,,134.65
1011223,LORAM-5 TAB 1*10,,UNISERARCH INTEGRA,,,184.05
1011257,ASOMEX AT 2.5MG 1*15T,,EMCURE:-[ PHARMA LTD ],,,191.65
1011258,ASOMEX 1.25MG TAB 1*10,,EMCURE:-[ PHARMA LTD ],,,43.15
1011259,ASOMEX 5MG TAB 1*15,,EMCURE:-[ PHARMA LTD ],,,156.2
1011279,CLAVAM DT TAB 1*10,,ALKEM (AURA MAGNA),,,127
1011282,GATE 200 TAB 1*5,,AJANTA-[ ANWAXX ],,,20
1011305,ESLO-1.25 1*15T,,ZUVENTUS HEALTHCARE LTD,,,56.7
1011306,ESLO-5 1*15T,,ZUVENTUS HEALTHCARE LTD,,,141.85
1011319,ETS-100 CAP 1*10,,EMCURE:-[ XENNEA ],,,103.9
1011320,ETS-200 CAP 1*10,,EMCURE:-[ XENNEA ],,,119
1011328,RAMCOR-10 CAP 1*10,,IPCA=( CCC ),,,223.65
1011345,ASOMEX-LT 1*15,,EMCURE:-[ PHARMA LTD ],,,296.9
1011347,ADMAX CAP 1*10,,ZUVENTUS-( ODENEA ),,,129.9
1011349,ESLO AT-2.5 1*15,,ZUVENTUS HEALTHCARE LTD,,,191.15
1011351,XPECT-A (SYP). 100ML,,ALKEM-(ARISE),,,64
1011353,CORVADIL A TAB 1*15,,UNISEARCH CD,,,152.3
1011356,ALDINIR (SYP). 30ML,,ALEMBIC-( ALCARE ),,,85
1011358,VALDIFF 10MG TAB 1*10,,IPCA=( IPM ),,,15
1011364,ROLITEN-2 MG 1*10T,,SUN PHARMA=[ URO ],,,163
1011424,ZANOCIN-TZ TAB 1*10,,SUN PHARMA=[ REXTAR ],,,131
1011446,OPTHODEX EYE DROP 1*5ML,,(GEN.),,,9.4
1011462,PIOGLAR-G TAB 1*10,,SUN PHARMA=[ VEGA ],,,137
1011464,PIOGLAR M-15+500 1*10,,SUNPHARMA V (OLD),,,77
1011466,INOSERT-25 TAB 1*10,,IPCA=( INNOVA ),,,22.25
1011468,VALRATE CR-200 TAB 1*10,,IPCA=( INNOVA ),,,31
1011469,VALRATE CR-300 TAB 1*10,,IPCA=( INNOVA ),,,78.28
1011470,VALRATE CR-500 TAB 1*10,,IPCA=( INNOVA ),,,108.86
1011484,ESLO TAN TAB 1*10,,ZUVENTUS HEALTHCARE LTD,,,197.95
1011502,PAUSE 500MG TAB 1*10,,EMCURE:-[ PHARMA LTD ],,,181.81
1011513,RAMCOR H-2.5  TAB 1*10,,IPCA=( CCC ),,,106.05
1011524,PIZA-40 1*10T,,DIRECT(UNIMARCK HEALTHCARE LTD.),,,59
1011525,PIZA-20 1*10T,,DIRECT(UNIMARCK HEALTHCARE LTD.),,,44
1011530,ELRIZ-5MG TAB 1*10,,ZUVENTUS-( GROMAXX ),,,56.6
1011538,AXN SYRUP 200ML 200ML,,ALGEN HEALTHCARE,,,169
1011542,XONE 1GM HP 1 VIAL,,ALKEM-(*ACE ),,,105
1011556,STORVAS-5 TAB 1*15,,SUN PHARMA=[ VEGA ],,,105
1011565,FEGEN-Z CAP 1*10,,ALGEN HEALTHCARE,,,39
1011567,SIMROSE 1000 CAP 1*10,,SERUM INSTITUTE OF INDIA,,,208
1011590,GESTONE 100 SOFTGEL 1*10,,FERRING ( FERTILITY),,,109.73
1011591,GESTONE 200 CAPS 1*10,,FERRING ( FERTILITY),,,259.88
1011593,LOMOTIL TAB 1*20,,RPG:-{ PHARMA },,,23.15
1011601,MINIRIN SPRAY 1 PC,,FERRING ( MULTISPECIALITY),,,648.93
1011609,LEZYNCET 5MG TAB 1*10,,TORRENT(UVA),,,85.3
1011611,C-PRAM 10MG TAB 1*10,,AJANTA-[ ALMIRON ],,,28.35
1011612,C-PRAM 20MG TAB 1*10,,AJANTA-[ ALMIRON ],,,51.45
1011615,REFZIL O-250 TAB 1*10,,SUN PHARMA=[ RESPIRATORY ],,,650
1011616,REFZIL O-125 (SYP). 30ML,,SUN PHARMA=[ RESPIRATORY ],,,172
1011636,DIOF (SYP). 60ML,,ZUVENTUS HEALTHCARE LTD,,,55.25
1011638,EMIGO (SYP). 30ML,,ZUVENTUS-( GROMAXX ),,,37.84
1011639,ZOSTUM INJ-1GM 1GM,,ZUVENTUS HEALTHCARE LTD,,,185
1011642,REFZIL O-500 TAB 1*6,,SUN PHARMA=[ RESPIRATORY ],,,650
1011655,PYGINAL CAP 1*10,,SERUM VACCINE,,,96
1011684,CEFDIEL REDIMIX 125MG 30ML,,SUN PHARMA=[ PHARMA-LIFE ],,,101.49
1011688,ASOMEX-R 1*10T,,EMCURE:-[ PHARMA LTD ],,,109.7
1011691,REFZIL O-250 (SYP). 30ML,,SUN PHARMA=[ RESPIRATORY ],,,315
1011696,TRIKA FORTE 1*10,,UNICHEM UNIFOREVA,,,84
1011711,STORVAS-40 TAB 1*10,,SUN PHARMA=[ VEGA ],,,239.9
1021744,MAGTAM-1 GM INJ 1 VIAL,,ALKEM-(ARISE),,,125
1021751,LUTICA CREAM 10GM,,SUN PHARMA=[ PRIMALANDS ],,,103
1021763,VALDIFF 20MG TAB 1*10,,IPCA=( IPM ),,,25
1021774,CERUVIN-A CAP 1*10,,SUN PHARMA=[ C.V-LIFE ],,,88
1021776,RIOMET G-500 TAB 1*10,,SUNPHARMA V (OLD),,,44.5
1021777,RIOMET GF-500 TAB 1*10,,SUNPHARMA V (OLD),,,70.4
1021790,LUFI-250MG TAB 1*5,,IPCA=( DYNAMIX ),,,23
1021792,LUFI-500MG TAB 1*5,,IPCA=( DYNAMIX ),,,50
1021795,QUEL-25 MG 1*10,,IPCA=( INNOVA ),,,43.3
1021796,QUEL-100 MG 1*10,,IPCA=( INNOVA ),,,70.12
1021797,QUEL-200 MG 1*10,,IPCA=( INNOVA ),,,115
1021811,PIOMED-15 TAB 1*10,,IPCA=( 3-D ),,,72.35
1021818,EFLOX-OZ 1*10,,ALGEN HEALTHCARE,,,96
1021828,CEPODEM DT-50 1*10,,SUN PHARMA=[ PHARMA ],,,86
1021830,TOPDIP 10 MG 1*10,,RPG IMPULSE,,,33.67
1021873,PIOGLAR-GF TAB 1*10,,SUNPHARMA V (OLD),,,120
1021877,NUCARNIT INJ. 1*5ML,,EMCURE:-[ NUCRON ],,,154.75
1021901,MINI-V TAB 1*6,,ALGEN HEALTHCARE,,,119.9
1021915,NOOTROPIL-1200 1*10T,,DR.REDDY-[ GRANDERA ],,,306
1021928,TETAN-20 TAB 1*15,,ALEMBIC-( PHARMA ),,,60.97
1021929,TETAN-40 TAB 1*15,,ALEMBIC-( PHARMA ),,,122.9
1021933,PROLIGON 5000 I.U 1*3 VIALS,,KEE PHARMA,,,1170
1021945,RICONIA-G CAP 1*10,,SUN PHARMA=[ PHARMA ],,,108
1021948,PANSA-IV.(40) MG 1VIAL,,ZUVENTUS-( ODENEA ),,,55.29
1021962,CARDIOPLUS CAP 1*10,,IPCA=( CCC ),,,109.5
1021965,C-PRAM S-5 TAB 1*10,,TORRENT (MIND),,,51.15
1021966,C-PRAM S 10 TAB 1*10,,TORRENT (MIND),,,90.45
1021967,C-PRAM S-20 TAB 1*10,,TORRENT (MIND),,,135.55
1021969,BEVON (SYP). 100ML,,ZUVENTUS HEALTHCARE LTD,,,58.75
1021970,BEVON SOFTULES 1*15,,ZUVENTUS HEALTHCARE LTD,,,120.75
1021977,PIOMED M-15 1*10,,IPCA=( 3-D ),,,67
1021978,PIOMED M-30 1*10,,IPCA=( 3-D ),,,79
1021981,FOLITRAX-7.5 1*10T,,IPCA=( ACTIVA ),,,135.02
1021982,FOLITRAX-2.5 TAB 1*10T,,IPCA=( ACTIVA ),,,55.83
1021992,GATE 400 TAB 1*5,,AJANTA-[ ANWAXX ],,,37.5
1021996,MECOGEN TAB. 1*30,,ALGEN HEALTHCARE,,,49.9
1022018,SWICH 100-DT 1*10T,,ALKEM-(ARISE),,,104
1022022,GATE E/DROP 5ML,,AJANTA-[ ILLUMA ],,,96.5
1022030,TELSAR-20 1*15T,,UNISEARCH CD,,,61.25
1022032,TELSAR-40 1*15T,,UNISEARCH CD,,,122.7
1022044,ADIFF GEL-0.1% 15GM,,IPCA=( BIONOVA ),,,180
1022046,NUROMARK TAB 1*10,,DIRECT(UNIMARCK HEALTHCARE LTD.),,,29
1022053,A TO Z DROP 15ML,,ALKEM-(*ALPHA ),,,64.5
1022057,TACHYRA 200 1*10,,(CIP),,,93.38
1022059,RAMCOR H-5 TAB 1*10,,IPCA=( CCC ),,,142.25
1022061,MACUGOLD TAB 1*10,,AJANTA=[PRISMA],,,125
1022073,UNIRESP-200 MG 1*10,,ALGEN HEALTHCARE,,,25
1022074,UNIRESP-300 MG 1*10,,ALGEN HEALTHCARE,,,37
1022083,RABEE 20 MG 1*10,,RPG:-{ PHARMA },,,81.15
1022086,CILANEM INJ 500MG 30ML,,SUN PHARMA=[ INTENSIVA ],,,1399
1022113,RIOMET OD-1 GM 1*10,,SUN PHARMA=[ VEGA ],,,67.85
1022115,THALIZIDE TAB 1*10,,IPCA=( PHARMA NEXT),,,12.5
1022117,NUSAR AM-5 1*10,,EMCURE:- [CD],,,133
1022147,AUGPEN LB-1 GM 1*6T,,ZUVENTUS HEALTHCARE LTD,,,536.4
1022153,GLYREE M-1 TAB 1*10,,IPCA=( 3-D ),,,91.25
1022155,DIPEP SYP.150ML 150ML,,SERUM INSTITUTE OF INDIA,,,45.83
1022157,ROSUVAS 20 1*10,,SUN PHARMA=[ C.V-LIFE ],,,380
1022158,ROSUVAS 10 TAB 1*15,,SUN PHARMA=[ C.V-LIFE ],,,292
1022166,AUGPEN LB-375 1*10,,ZUVENTUS HEALTHCARE LTD,,,331.7
1022167,AUGPEN LB-625 1*10,,ZUVENTUS HEALTHCARE LTD,,,439.8
1022169,ASOMEX AT-5 1*15T,,EMCURE:-[ PHARMA LTD ],,,271.1
1022175,CIFRAN OD-500 1*5,,SUN PHARMA=[ REXTAR ],,,17.32
1022179,HOMOCHEK CAP 1*10,,ALKEM-(CARDIOLOGY),,,107
1022184,NUROMARK INJ 1*2ML,,DIRECT(UNIMARCK HEALTHCARE LTD.),,,25
1022190,LOGICAL M TAB 1*15,,SERUM INSTITUTE OF INDIA,,,69.25
1022193,TT AMP 0.5 ML 1*10,,SERUM INSTITUTE OF INDIA,,,11.6
1022202,SORBACID 170ML,,ALKEM-(ARISE),,,81
1022212,ATOCOR-(5) TAB 1*15,,DR.REDDY-[ ZENURA-3 ],,,68.25
1022213,ATOCOR-(10) TAB 1*14,,DR.REDDY-[ ZENURA-3 ],,,102.02
1022214,ATOCOR-(20) TAB 1*14,,DR.REDDY-[ ZENURA-3 ],,,223.71
1022215,ENAM-2.5 MG 1*10T,,DR.REDDY-[ PRIDE ],,,28.04
1022216,ENAM-5 MG 1*15T,,DR.REDDY-[ PRIDE ],,,53.39
1022217,OVISTA CAP 1*15,,DR.REDDY^S LABORATORIES LTD.,,,95.76
1022218,PLAGRIL-75 1*10,,DR.REDDY-[ ZENURA-1 ],,,59.79
1022219,RECLIDE-80 TAB 1*10,,(DRL),,,99.5
1022220,RECLIMET TAB 1*15,,DR.REDDY-[ ZENURA-3 ],,,211.5
1022221,ROZAT-10 1*14,,DR.REDDY-[ AQURA HG ],,,199.25
1022222,STAMACE 1*10,,DR.REDDY-[ AQURA HG ],,,78
1022223,STAMLO-10 MG 1*30T,,DR.REDDY-[ AQURA HG ],,,170.33
1022224,STAMLO-2.5 MG 1*30T,,DR.REDDY-[ AQURA HG ],,,61.48
