itemid,ITENNAME,pack,manufacturer,CATG,SUBCATG,mrp
ACI0025,ACIBAN-DSR CAP 10'S,,ZYDUS CADILA HEALTHCARE LTD,PHARMA,CAPSULE,
ACI0029,ACIVIR 25MG 10ML I.V INJ,,CIPLA LTD,PHARMA,INJECTION,
ACI0088,ACIPEP-40MG TAB 10'S,,KOPRAN LABORATORIES LTD,PHARMA,TABLET,
ACI0091,ACIPEP D TAB 10'S,,ZYDUS CADILA HEALTHCARE LTD,PHARMA,TABLET,
ACI0145,ACIBRO 100MG CAP 10'S,,MACLEODS PHARMACEUTICALS LTD,PHARMA,CAPSULE,
ACI0157,ACITROM 1 TAB 30'S,,ABBOTT INDIA LIMITED,PHARMA,TABLET,
ACI0167,ACIFEAR 40 MG TAB 10'S,,GAENR BIOLOGICALS LTD,PHARMA,TABLET,
ACI0327,ACIVIR 5%W/W CREAM 10G,,CIPLA LTD,PHARMA,OINTMENT,
ACI0344,ACIBAX-DSR CAP 10'S,,AARON BIOTECH PVT LTD,PHARMA,CAPSULE,
ACI0345,ACIZOLE DSR CAP 10'S,,BMW PHARMACO INDIA PVT LTD,PHARMA,CAPSULE,
ACI0347,ACILOC RD 20 NEW TAB 15'S,,CADILA HEALTHCARE LTD,PHARMA,TABLET,
ACI0360,ACITAPRAM-10 TAB 10'S,,BMP LIFE SCIENCES,PHARMA,TABLET,
ACL0144,ACLODAY-SP TAB 10'S,,DAYAL PHARMACEUTICALS,PHARMA,TABLET,
ACM0005,ACMED FACE WASH 70G,,ETHICARE REMEDIES PVT LTD,FMCG,PERSONAL CARE,
ACM0024,ACMIST 50GM MOISTURIZING CREAM GEL,,BRINTON PHARMACEUTICAL PVT LTD,PHARMA,OINTMENT,
ACM0028,ACMON-DM TAB 10'S,,AAR ESS REMEDIES PVT LTD,PHARMA,TABLET,
ACM0043,ACMON-NC TAB 10'S,,AAR ESS REMEDIES PVT LTD,PHARMA,TABLET,
ACN0003,ACNELAK - 75GM SOAP,,MENARINI INDIA LTD,PHARMA,SOAP,
ACN0005,ACNESOL 25ML LOTION,,SYSTOPIC LABORATORIESS PVT LTD,PHARMA,LIQUID,
ACN0006,ACNESOL GEL - 20G,,SYSTOPIC LABORATORIESS PVT LTD,PHARMA,OINTMENT,
ACN0007,ACNICIN 15GM GEL,,ALEMBIC LTD,PHARMA,OINTMENT,
ACN0017,ACNESTAR 75GM SOAP,,LG LIFE SCIENCE  INDIA LTD,FMCG,PERSONAL CARE,
ACN0018,ACNELAK-CLZ 15GM CREAM,,MENARINI INDIA LTD,PHARMA,OINTMENT,
ACN0019,ACNESTAR GEL 15G,,MANKIND PHARMA PVT LTD,PHARMA,OINTMENT,
ACN0025,ACNESOL 1%SOLUTION 25ML,,SYSTOPIC LABORATORIESS PVT LTD,PHARMA,DROPS,
ACN0051,ACNEGARD FACE WASH 50  GM,,PSYCHTROPICS INDIA LTD,FMCG,PERSONAL CARE,
ACN0056,ACNEGUARD SOAP 75GM,,PILCO PHARMA PVT LTD,FMCG,PERSONAL CARE,
ACN0061,ACNEBAR SOAP,,DUMMY,FMCG,PERSONAL CARE,
ACN0094,ACNEWIN FACE WASH 60G,,ZEE LABORATORIES LTD,FMCG,PERSONAL CARE,
ACN0099,ACNIZA GEL 20 GMS,,LU GERN BIOTECH,PHARMA,OINTMENT,
ACN0132,ACNEDAP GEL 15G,,CIPLA LTD,PHARMA,OINTMENT,
ACN0134,ACNEZEN SOAP  100G,,ETHIX HEALTH CARE LTD,FMCG,PERSONAL CARE,
ACN0143,ACNE-UV GEL 60G,,IPCA LABORATORIES PVT LTD,PHARMA,OINTMENT,
ACN0144,ACNESOL A NANO GEL 15G,,SYSTOPIC LABORATORIESS PVT LTD,PHARMA,OINTMENT,
ACN0150,ACNEWELL 20MG SOFTGEL CAP 10'S,,MAS-MAS PHARMACHEM,PHARMA,CAPSULE,
ACN0153,ACNETOR AD GEL 15GMS,,TORRENT (AZUCA),PHARMA,OINTMENT,
ACN0168,ACNELAK 4 IN 1 100ML FACE WASH,,MENARINI INDIA LTD,PHARMA,LIQUID,
ACN0181,ACNEMOIST 60GM CRM,,CURATIO HEALTH CARE PVT LTD,PHARMA,OINTMENT,
ACN0186,ACNE-UV 30GM GEL,,IPCA LABORATORIES PVT LTD,PHARMA,OINTMENT,
ACN0206,ACNESTAR GEL 22G,,MANKIND PHARMA PVT LTD,PHARMA,OINTMENT,
ACN0214,ACNECAV 15GM GEL,,CAVIAR DERMA CARE,PHARMA,OINTMENT,
ACN0223,ACNE-UV SPF 50 PA GEL 50G,,IPCA LABORATORIES PVT LTD,PHARMA,OINTMENT,
ACN0226,ACNECAV-AD GEL 15G,,CAVIAR DERMA CARE,PHARMA,OINTMENT,
ACN0227,ACNEGUARD GOLD SOAP 100G,,PSYCHOTROPICS INDIA LTD,PHARMA,SOAP,
ACN0235,ACNE-OC MOISTURISER 75G,,IPCA LABORATORIES PVT LTD,PHARMA,LOTION,
ACN0248,ACNESTAR FACEWASH 50G,,MANKIND PHARMA PVT LTD,FMCG,PERSONAL CARE,
ACN0258,ACNEVIT FACE WASH GEL 100ML,,DERMACIA HEALTHCARE LTD,PHARMA,GEL,
ACN0269,ACNVEERA TAB 10'S,,ALVEERA HEALTHCARE,PHARMA,TABLET,
ACO0005,ACOCONTIN 50MG TAB 10'S,,MODI MUNDI PHARMA LTD,PHARMA,TABLET,
ACO0052,ACOGUT 100MG TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
ACO0062,ACOPENE-4G SOFTGEL CAP 10'S,,ACME PHARMACEUTICALS PVT LTD,PHARMA,CAPSULE,
ACO0068,ACOGUT 100MG TAB 15'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
ACO0070,ACOTRUST 100MG TAB 15'S,,DR REDDY'S LABORATORIES,PHARMA,TABLET,
ACO0077,ACONEX-SP TAB 10'S,,NEXKEM PHARMACEUTIALS PVT LTD,PHARMA,TABLET,
ACO0082,ACOGUT 300 ER TAB 10'S,,LUPIN LABORATORIES LTD,PHARMA,TABLET,
ACO0085,ACOTRUST OD 300 TAB 10'S,,DR REDDY'S LABORATORIES,PHARMA,TABLET,
ACR0001,ACROTAC-25MG CAP 20'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
ACR0002,ACROTAC-10MG CAP 20'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
ACR0056,ACROFY ACNE LOTION 50G,,DR REDDY'S LABORATORIES,PHARMA,LIQUID,
ACR0070,ACRONIL-OD TAB 10'S,,CONSERN PHARMA LTD,PHARMA,TABLET,
ACT0008,ACTILIFE TAB 15'S,,APEX LABORATORIES LTD,PHARMA,TABLET,
ACT0020,ACTRAPID HM PENFILL 100IU 3ML,,ABBOTT INDIA LIMITED,PHARMA,INJECTION,
ACT0048,ACTIGUT CAP 10'S,,ALEMBIC LTD,PHARMA,CAPSULE,
ACT0050,ACTIBLOK IPR 50 TAB 10'S,,BIOCON LTD,PHARMA,TABLET,
ACT0133,ACTIVENT KID 60ML SYP,,SYMBIOSIS PHARMACEUTICALS PVT LTD,PHARMA,LIQUID,
ACT0174,ACTIVED CAP 10'S,,STEADFAST MEDISHIELD PVT LTD,PHARMA,CAPSULE,
ACT0179,ACTRAPID FLEXIPEN 100IU/3ML,,ABBOTT INDIA LIMITED,PHARMA,INJECTION,
ACT0244,ACTIVISION CAP 10 SOFTULES,,PROVIS HEALTHCARE PVT LTD,PHARMA,CAPSULE,
ACT0333,ACTIS HEAL CAP,,MONATIS HEALTHCARE,FMCG,OTC,
ACT0375,ACTORISE 200MCG / 0.40 ML INJ,,CIPLA LTD,PHARMA,INJECTION,
ACT0386,ACTORISE 40 INJ,,CIPLA LTD,PHARMA,INJECTION,
ACT0407,ACTIS C2 TAB 10'S,,PHARMED LIMITED,PHARMA,TABLET,
ACT0413,ACTORISE 60MCG/0.30ML INJ,,CIPLA LTD,PHARMA,INJECTION,
ACT0415,ACTISOFT 10GM CRM,,EUMEDICA PHARAMCEUTICALS,PHARMA,OINTMENT,
ACT0434,ACTOID 25MG CAP 10'S,,INTAS PHARMACEUTICALS LTD,PHARMA,CAPSULE,
ACT0435,ACTSUN-DSR CAP 10'S,,PHOENIX REMEDIES PVT LTD,PHARMA,CAPSULE,
ACT0446,ACTIVSTART UNO BIOTICS S/F 1GM (ADULT) SACHET,,CIPLA LTD,PHARMA,POWDER,
ACT0483,ACTAPRO 100MG TAB 15'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
ACT0514,ACTIV-8 SOFTGEL CAP 15'S,,WILLCARE LIFE SCIENCES PVT LTD,PHARMA,CAPSULE,
ACT0554,ACTAPRO OD 300MG TAB 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
ACT0558,ACTV 24 TAB 10'S,,JAGSONPAL PHARMACEUTICALS LTD,PHARMA,TABLET,
ACT0564,ACTINIC D3 60K S/F ORANGE FLAV NANO SHOTS SOLUTION 5ML,,MAXIS HEALTHCARE PVT LTD,PHARMA,LIQUID,
ACT0570,ACTIVENT EXPECTORANT 100ML,,FIDALGO LABORATORIES PVT LTD,PHARMA,LIQUID,
ACT0578,ACTIS C2 FORTE TAB 10'S,,PHARMED LIMITED,PHARMA,TABLET,
ACT0585,ACTLOOZ 10G SOLUTION 200ML,,MEDROCK BIOTECH,PHARMA,LIQUID,
ACT0593,ACTIGABA-NT-400 TAB 10'S,,AAREEN HEALTHCARE PVT LTD,PHARMA,TABLET,
ACT0594,ACTIGABA-NT-100 TAB 10'S,,AAREEN HEALTHCARE PVT LTD,PHARMA,TABLET,
ACU0012,ACUTRET 20MG CAP 10'S,,IPCA LABORATORIES PVT LTD,PHARMA,TABLET,
ACU0021,ACUCLAV 30 ML DRY SYP,,MACLEODS PHARMACEUTICALS LTD,PHARMA,LIQUID,
ACU0025,ACUTRET 10MG CAP 10'S,,IPCA LABORATORIES PVT LTD,PHARMA,CAPSULE,
ACU0047,ACUCLAV IV 300MG INJ,,MACLEODS PHARMACEUTICALS LTD,PHARMA,INJECTION,
ACU0064,ACUVERT TAB 9'S,,ABBOTT INDIA LIMITED,PHARMA,TABLET,
ACU0072,ACUCLAV DS SYP 30ML,,MACLEODS PHARMACEUTICALS LTD,PHARMA,LIQUID,
ACU0078,ACUPAT  EYE DROPS,,ALLERGAN IND PVT LTD,PHARMA,DROPS,
ACU0084,ACUTRET 30 MG CAP 10'S,,IPCA LABORATORIES PVT LTD,PHARMA,CAPSULE,
ACU0109,ACUVIN TAB 15'S,,ABBOTT INDIA LIMITED,PHARMA,TABLET,
ACZ0010,ACZEE AD GEL 30G,,OREVA PHARMACEUTICALS LTD,PHARMA,OINTMENT,
ACZ0014,ACZEE BETA FACE WASH 60G,,OREVA PHARMACEUTICALS LTD,PHARMA,GEL,
AD10001,AD 100MG CAP 10'S,,HETERO DRUGS LTD,PHARMA,CAPSULE,
AD10003,AD 10 SACHET 1G,,GENIX LIFESCIENCE PVT LTD,PHARMA,POWDER,
ADA0001,ADAFERIN .1% 15GM GEL,,GALDERMA INDIA PVT LTD,PHARMA,OINTMENT,
ADA0021,ADALENE NANO GEL 15G,,ZYDUS CADILA HEALTHCARE LTD,PHARMA,OINTMENT,
ADB0004,ADBLOCK AT TAB 10'S,,CARDINAL HEALTH,PHARMA,TABLET,
ADB0009,ADBLOCK LH TAB 10'S,,OLCARE LABORATORIES PVT LTD,PHARMA,TABLET,
ADB0016,ADBPO GEL 15G,,VTS LIFE SCIENCES,PHARMA,OINTMENT,
ADC0014,ADC EYE DROP,,OPTICA PHARMACEUTICALS PVT LTD,PHARMA,DROPS,
ADD0001,ADD TEARS 10ML EYE DROPS,,CIPLA LTD,PHARMA,DROPS,
ADD0003,ADDYZOA CAP,,CHARAK PHARMA PVT LTD,FMCG,OTC,
ADD0039,ADDPHOS GRANULES,,STEADFAST MEDISHIELD PVT LTD,PHARMA,POWDER,
ADD0052,ADDFEM TAB 10'S,,SAT PHARMA PVT LTD,PHARMA,TABLET,
ADD0069,ADDTIM 100MG TAB 10'S,,ARKSON PHARMACEUTICALS,PHARMA,TABLET,
ADD0076,ADDKAY 750MG PR TAB 10'S,,STEADFAST MEDISHIELD PVT LTD,PHARMA,TABLET,
ADE0003,ADENOCAR  - 6MG\2ML INJ,,SANOFI AVENTIS INDIA LTD,PHARMA,INJECTION,
ADE0017,ADESAM 200MG TAB 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
ADE0018,ADESAM 400MG TAB 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
ADE0047,ADENOMAC 400MG TAB 10'S,,MACLEODS PHARMACEUTICALS LTD,PHARMA,TABLET,
ADE0066,ADENORICH 400MG TAB 10'S,,FUTURE DERMACARE PVT LTD,PHARMA,TABLET,
ADE0101,ADESAM 400 NEW TAB 10'S,,SUN PHARMA LABORATORIES LTD.,PHARMA,TABLET,
ADG0031,ADGAIN PLUS CAP 10'S,,CIPLA LTD,PHARMA,CAPSULE,
ADG0040,ADGRACE HAIR TAB 10'S,,ZENVITA HEALTHCARE PVT LTD,PHARMA,TABLET,
ADG0043,ADGAIN PLUS CAP 30'S,,CIPLA LTD,PHARMA,CAPSULE,
ADH0028,ADHESIVE TAPE 1.25CMX5M (PRECISION),,PRE-PRECISION,SURGICAL,CONSUMABLES,
ADH0037,ADHYDRA INTENSE MOIST FORMULA 200ML,,ADPAUL LIFESCIENCE PVT LTD,PHARMA,OINTMENT,
ADI0113,ADILIP 45MG TAB 10'S,,INTAS PHARMACEUTICALS LTD,PHARMA,TABLET,
ADI0114,ADILIP 135MG TAB 10'S,,INTAS PHARMACEUTICALS LTD,PHARMA,TABLET,
ADI0170,ADIDUS-GM TAB 10'S,,MIDAS HEALTH CARE LTD,PHARMA,TABLET,
ADI0171,ADIWAY-SF 200GM S/F CHOCO FLAV POWDER,,SENVION BIOTECH,PHARMA,POWDER,
ADJ0016,ADJOINT GM TAB 10'S,,WILSHIRE PHARMACEUTICAL PVT LTD,PHARMA,TABLET,
ADL0022,ADLUMAB 40MG/0.8ML INJ,,RPG LIFESCIENCES LTD,PHARMA,INJECTION,
ADM0002,ADMENTA 10MG TAB 10'S,,SUN PHARMACEUTICAL INDUSTRIES LTD,PHARMA,TABLET,
