item_code,brand_x,brand_y,id,mrp,Apollo code,Apollo brand,manufacturer
END0114,endruff 50ml lotion,endruff lotion 50ml,186617,51.01,END0114,endruff 50ml lotion,NULIFE PHARMACEUTICALS PVT LTD
ENO0093,enoxaparin 40mg/0.4ml inj,enoxaparin 40mg injection 0.4ml,186894,395,ENO0093,enoxaparin 40mg/0.4ml inj,SOVEREIGN REMEDIES PVT LTD
ERY0099,erypeg 30mcg/0.3ml inj,erypeg 30mcg injection 0.3ml,380253,3350,ERY0099,erypeg 30mcg/0.3ml inj,INTAS PHARMACEUTICALS LTD
EVI0020,evion 20gm cream,evion cream 20gm,190573,58.2,EVI0020,evion 20gm cream,MERCK LTD
EVI0053,evict 90ml  syp,evict syrup 90ml,190558,92.61,EVI0053,evict 90ml  syp,ALBERT DAVID LTD
EVI0054,evict 180ml syp,evict syrup 180ml,190555,223.5,EVI0054,evict 180ml syp,ALBERT DAVID LTD
EVI0055,evict 400ml syp,evict syrup 400ml,190560,411.6,EVI0055,evict 400ml syp,ALBERT DAVID LTD
EZI0002,ezimet 20gm cream,ezimet cream 20gm,191272,80,EZI0002,ezimet 20gm cream,CANIXA LIFE SCIENCES PVT LTD
FAC0001,faceclin 10gm gel,faceclin gel 10gm,191548,130,FAC0001,faceclin 10gm gel,ABBOTT INDIA LIMITED
FER0362,feriaux 200ml syp,feriaux syrup 200ml,193271,115,FER0362,feriaux 200ml syp,GENIAL
FER0533,feriful xt 150ml syr,feriful syrup 150ml,193314,128,FER0533,feriful xt 150ml syr,GAIPHA LABS
FLU0098,flutivate 20gm   cream,flutivate cream 20gm,379998,104.5,FLU0098,flutivate 20gm   cream,GLAXO SMITHKLINE PHARMACEUTICALS LTD
FLU0293,fluon 30gm cream,fluon cream 30gm,196301,60,FLU0293,fluon 30gm cream,TORRENT PHARMACEUTICALS LTD
FOS0034,fostitol 200ml syrup,fostitol syrup 200ml,197694,165,FOS0034,fostitol 200ml syrup,ALKEM LABORATORIES LTD
FUN0029,fungiderm 15gm cream,fungiderm cream 15gm,198512,33,FUN0029,fungiderm 15gm cream,3M INDIA LTD
GAB0236,gabapax 20gm oint,gabapax ointment 20gm,199303,273.9,GAB0236,gabapax 20gm oint,ALTEUS BIOGENICS PVT LTD
GAZ0014,gazyva 1000mg/40ml inj,gazyva 1000mg injection 40ml,380669,373364,GAZ0014,gazyva 1000mg/40ml inj,ROCHE DIAGNOSTICS IND PVT LTD
GEN0032,genozyme 100ml syp,genozyme syrup 100ml,200854,41.41,GEN0032,genozyme 100ml syp,GENO PHARMACEUTICALS LTD
GLA0774,glaede 100ml face wash,glaede face wash 100ml,381053,299,GLA0774,glaede 100ml face wash,ASSURE LIFESCIENCES PVT LTD
GOI0001,goizy 30gm gel,goizy gel 30gm,204760,82.9,GOI0001,goizy 30gm gel,ST.MORRISON PHARMA LTD
GYN0011,gynedol 200ml syp,gynedol syrup 200ml,206023,154,GYN0011,gynedol 200ml syp,DWD PHARMACEUTICALS LTD
HAV0005,havpur 0.5ml vaccine,havpur vaccine 0.5ml,207429,1359,HAV0005,havpur 0.5ml vaccine,CHIRON PANACEA VACCINES PVT LTD
HEA0217,healace 7.5gm gel,healace gel 7.5gm,207581,1195,HEA0217,healace 7.5gm gel,VIRCHOW BIOTECH PVT LTD
HEP0090,hepacef 100ml syp,hepacef syrup 100ml,209510,42,HEP0090,hepacef 100ml syp,CONCEPT PHARMACEUTICALS LTD
HID0003,hidrate 60ml lotion,hidrate lotion 60ml,210608,241,HID0003,hidrate 60ml lotion,INTAS PHARMACEUTICALS LTD
HIM0488,himalaya oil clear lemon 50ml face wash,himalaya oil clear lemon face wash 50ml,380645,70,HIM0488,himalaya oil clear lemon 50ml face wash,THE HIMALAYA DRUG COMPANY
IMF0013,imfinzi 120mg/2.4ml inj,imfinzi 120mg injection 2.4ml,380752,45500,IMF0013,imfinzi 120mg/2.4ml inj,ASTRAZIN PHARMACEUTICALS LTD
IMF0014,imfinzi 500mg/10ml inj,imfinzi 500mg injection 10ml,380751,189585,IMF0014,imfinzi 500mg/10ml inj,ASTRA ZENECA PHARMA INDIA LTD
IMM0125,immunorel 10gm/100ml inj,immunorel 10gm injection 100ml,378598,19990,IMM0125,immunorel 10gm/100ml inj,RELIANCE FORMULATION PVT LTD
IMU0089,imualfa 1.6mg/1ml inj,imualfa 1.6mg injection 1ml,380762,2400,IMU0089,imualfa 1.6mg/1ml inj,ALNICHE LIFE SCIENCES PVT LTD
KER0088,kera xl 30ml hair growth serum,kera xl hair growth serum 30ml,220744,720,KER0088,kera xl 30ml hair growth serum,IPCA LABORATORIES PVT LTD
KET0074,ketamax 50 mg / 2 ml inj,ketamax 50mg injection 2ml,221060,114.5,KET0074,ketamax 50 mg / 2 ml inj,TROIKAA PHARMACEUTICALS
KOL0115,kolibitor 10ml inj,kolibitor injection 10ml,378796,409,KOL0115,kolibitor 10ml inj,FUSION HEALTH CARE PVT LTD
KUR0012,kurazol 100ml  shampoo,kurazol shampoo 100ml,223399,140,KUR0012,kurazol 100ml  shampoo,ADONIS LABORATORIES PVT LTD
LAB0069,labeta 100mg/20ml inj,labeta 100mg injection 20ml,378314,1020,LAB0069,labeta 100mg/20ml inj,AAA PHARMA TRADE PVT LTD
LAM0096,lamifin 20gm cream,lamifin cream 20gm,224470,85,LAM0096,lamifin 20gm cream,CANIXA LIFE SCIENCES PVT LTD
LAX0072,laxher 100gm powder,laxher powder 100gm,225119,100,LAX0072,laxher 100gm powder,DEPSON HEALTHCARE
LED0005,ledoxan 500mg 25ml inj,ledoxan 500 mg injection 25ml,225712,66,LED0005,ledoxan 500mg 25ml inj,FRESENIUS KABI INDIA PVT LTD
LIP0114,lipidz 50gm cream,lipidz cream 50ml,228564,160,LIP0114,lipidz 50gm cream,ETHICARE REMEDIES PVT LTD
LOM0012,lomela 15gm cream,lomela cream 15gm,382004,155,LOM0012,lomela 15gm cream,ICPA HEALTH PRODUCTS LTD
LOZ0056,lozep 2ml inj,lozep injection 2ml,231214,15,LOZ0056,lozep 2ml inj,DD PHARMACEUTICALS LTD
LUC0057,lucomyn 250ml syp,lucomyn syrup 250ml,231675,90,LUC0057,lucomyn 250ml syp,JUPITER BIOLABS PVT LTD
LUP0181,lupituss suspension 60ml,lupituss oral suspension 60ml,232249,95.5,LUP0181,lupituss suspension 60ml,LUPIN LABORATORIES LTD
MAR0078,markline 30gm cream,markline cream 30gm,235056,113,MAR0078,markline 30gm cream,DERMO CARE LABORATORIES
MEL0049,melascreen 40 gm cream,melascreen cream 40gm,238018,50,MEL0049,melascreen 40 gm cream,MARK (I) COSMATICS PVT LTD
MES0118,mesarem sachet 1g,mesarem 1gm sachet,381536,44,MES0118,mesarem sachet 1g,HETERO HEALTHCARE LTD
MET0434,metazer 20gm cream,metazer cream 20gm,239384,100,MET0434,metazer 20gm cream,PANZER PHARMACEUTICAL PRIVATE LIMITED
MYF0006,myface 10gm gel,myface gel 10gm,247023,110,MYF0006,myface 10gm gel,3M INDIA LTD
MYM0033,mymifer susp 200ml,mymifer syrup 200ml,378341,115,MYM0033,mymifer susp 200ml,HBC LIFESCIENCE PVT LTD
NAN0095,nanodent 70gm tooth paste,nanodent toothpaste 70gm,248260,120,NAN0095,nanodent 70gm tooth paste,WOCKHARDT LTD
NEE0022,neeri 100ml syp,neeri syrup 100ml,378385,114,NEE0022,neeri 100ml syp,AIMIL PHARMA INDIA PVT LTD
NEO0101,neovec 4mg / 2ml   inj,neovec 4mg injection 2ml,384558,124,NEO0101,neovec 4mg / 2ml   inj,NEON LABORATORIES LTD
NER0121,nervolin 100ml oil,nervolin oil 100ml,251087,74,NER0121,nervolin 100ml oil,TRICHEM BIOTECH PHARMACEUTICALS
NUR0024,nurocol 250ml 4ml inj,nurocol 250mg injection 4ml,257736,180,NUR0024,nurocol 250ml 4ml inj,MICRO LABS LTD
OPT0232,opticool 5ml eye drops,opticool eye drops 5ml,378808,75,OPT0232,opticool 5ml eye drops,ENTOD PHARMACETICALS LTD
OSM0007,osmitol 100ml syp,osmitol syrup 100ml,267102,92,OSM0007,osmitol 100ml syp,MICRO LABS LTD
PAC0197,paclicad 30mg/5ml inj,paclicad 30mg injection 5ml,269430,1173.03,PAC0197,paclicad 30mg/5ml inj,ZYDUS CADILA HEALTHCARE LTD
PAN1550,pankajakasthuri 100ml cough honey syp,pankajakasthuri cough syrup 100ml honey,270337,60,PAN1550,pankajakasthuri 100ml cough honey syp,PANKAJ PHARMA& BIOCHEMICALS
PEG0091,pegfeel 6mg/0.6ml inj,pegfeel 6mg injection 0.6ml,380298,3010,PEG0091,pegfeel 6mg/0.6ml inj,DR REDDY'S LABORATORIES
PER0086,permed 30 ml lotion,permed lotion 30ml,274965,65,PER0086,permed 30 ml lotion,MED MANOR ORGANICS
PER0354,perjeta 420mg/14ml inj,perjeta 420mg injection 14ml,378313,249.25,PER0354,perjeta 420mg/14ml inj,ROCHE DIAGNOSTICS IND PVT LTD
PIC0002,piclin 100ml syp,piclin syrup 100ml,382331,78,PIC0002,piclin 100ml syp,MENARINI INDIA LTD
PIC0058,picozy  100ml  syp,picozy syrup 100ml,381222,82,PIC0058,picozy  100ml  syp,SCORLEON PHARMA
PIN0034,pinnacle 100ml syrup,pinnacle syrup 100ml,276465,63,PIN0034,pinnacle 100ml syrup,BIOMICRON PHARMA INDIA PVT LTD
PRO0222,proctosedyl 20 gm oint,proctosedyl ointment 20gm,280804,64.73,PRO0222,proctosedyl 20 gm oint,SANOFI AVENTIS INDIA LTD
PRO0299,propynate 20gm cream,propynate cream 20gm,281463,101,PRO0299,propynate 20gm cream,H&H PHARMACEUTICALS LTD
REJ0112,rejuvit 100ml syp,rejuvit syrup 100ml,288605,55,REJ0112,rejuvit 100ml syp,MERIDIAN HEALTHCARE
REV0015,reviderm 15gm cream,reviderm cream 15gm,290303,295,REV0015,reviderm 15gm cream,OCHOA LABOROTARIES LTD
REV0204,revize 15gm cream,revize cream 15gm,290345,356,REV0204,revize 15gm cream,GLENMARK PHARMACEUTICAL LTD
RIT0185,rituxem 100mg/10ml inj,rituxem 100mg injection 10ml,378597,7797,RIT0185,rituxem 100mg/10ml inj,EMCURE PHARMACEUTICALS LTD
RIT0186,rituxem 500mg/50ml inj,rituxem 500mg injection 50ml,378682,39865,RIT0186,rituxem 500mg/50ml inj,EMCURE PHARMACEUTICALS LTD
SAS0003,sastid 100gm bar soap,sastid soap 100gm,296912,67.5,SAS0003,sastid 100gm bar soap,STIEFEL INDIA PVT LTD
SEP0067,sepgard 50gm gel,sepgard gel 50gm,310046,125,SEP0067,sepgard 50gm gel,THEMIS PHARMACEUTICALS LTD
SEP0107,sepsivac 0.6ml inj,sepsivac injection 0.6ml,380419,7425,SEP0107,sepsivac 0.6ml inj,ZYDUS CADILA HEALTHCARE LTD
SIM0135,simponi 50mg/0.5ml inj,simponi 50mg injection 0.5ml,378397,128000,SIM0135,simponi 50mg/0.5ml inj,BAXTER INDIA LTD
SKI0001,skindew 50gm cream,skindew cream 50gm,313288,43,SKI0001,skindew 50gm cream,NAS-NASHIK VALLEY COSMECEUTICALS
SMY0002,smyle 100 ml liq,smyle liquid 100ml,313781,55,SMY0002,smyle 100 ml liq,KOPRAN LABORATORIES LTD
STE0492,stemfor 24mg/1.2ml inj,stemfor 24mg injection 1.2ml,380243,39950,STE0492,stemfor 24mg/1.2ml inj,INTAS PHARMACEUTICALS LTD
SUR0111,survanta 8ml injection,survanta injection 8ml,319662,14500,SUR0111,survanta 8ml injection,ABBOTT INDIA LIMITED
TEC0072,tecentriq 1200mg/20ml inj,tecentriq 1200mg injection 20ml,380671,396725,TEC0072,tecentriq 1200mg/20ml inj,ROCHE DIAGNOSTICS IND PVT LTD
TEC0091,tecentriq 840mg/14ml inj,tecentriq 840mg injection 14ml,380670,277708,TEC0091,tecentriq 840mg/14ml inj,ROCHE DIAGNOSTICS IND PVT LTD
TEE0004,teenac 75gm soap,teenac soap 75gm,322751,55,TEE0004,teenac 75gm soap,ADONIS LABORATORIES PVT LTD
TEN0546,tenefer-xt susp 200ml,tenefer syrup 200ml,324338,130,TEN0546,tenefer-xt susp 200ml,TENET HEALTHCARE
TOR0061,torex-ap 100ml syrup ***,torex ap syrup 100ml,327957,85.5,TOR0061,torex-ap 100ml syrup ***,TATA PHARMA
TRA0779,tracemax 3ml inj,tracemax injection 3ml,379455,145,TRA0779,tracemax 3ml inj,ALNICHE LIFE SCIENCES PVT LTD
TRI0120,triflow 100gm cream,triflow cream 100gm,329670,375,TRI0120,triflow 100gm cream,CURADIA PHARMA
TRI0363,triglow 15gm cream,triglow cream 15gm,329760,257,TRI0363,triglow 15gm cream,GLENMARK PHARMACEUTICAL LTD
TRI0834,triphala 200ml syrup,triphala syrup 200ml,379283,93,TRI0834,triphala 200ml syrup,THE HIMALAYA DRUG COMPANY-(WELLNESS)
VER0118,veracal 125ml lotion,veracal lotion 125ml,337025,119,VER0118,veracal 125ml lotion,DERMOCARE LAB GUJ PVT L
VER0280,vervit syp 200ml,vervit 200ml syrup 200ml,337388,100,VER0280,vervit syp 200ml,VERTEX PHARMACEUTICALS PVT LTD
VIS0140,visna 20gm gel,visna gel 20gm,338457,315,VIS0140,visna 20gm gel,MYLAN PHARMACEUTICALS PVT LTD
VIT0023,vitilo 60ml lotion,vitilo lotion 60ml,339311,66,VIT0023,vitilo 60ml lotion,ELDER PHARMACEUTICALS LTD
VOL0029,volyvit 200ml syp,volyvit syrup 200ml,340691,75,VOL0029,volyvit 200ml syp,LEEFORD HEALTH CARE LTD
ZEM0028,zemcifer xt 150ml syr,zemcifer syrup 150ml,346580,140.8,ZEM0028,zemcifer xt 150ml syr,ZUVENTUS HEALTHCARE LTD
ZIN0029,zinconia 50ml syp,zinconia syrup 50ml,348328,60.3,ZIN0029,zinconia 50ml syp,ZUVENTUS HEALTHCARE LTD
ACT0070,actigrow chocolate 400gm powder,actigrow powder 400gm chocolate,103325,441,ACT0070,actigrow chocolate 400gm powder,GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD
AGC0001,ag cumin suspension 100ml,ag cumin oral suspension 100ml,378334,2249,AGC0001,ag cumin suspension 100ml,AGI-AGIM BIOTECH
AQU0145,aquasoft max 60gm cream,aquasoft max cream 60gm,381908,304,AQU0145,aquasoft max 60gm cream,AJANTA PHARMA LTD
BET0267,betaderm g 30gm cream,betaderm g cream 30gm,125553,112,BET0267,betaderm g 30gm cream,DERMO CARE LABORATORIES
BGL0001,b-glow 30gm cream,b glow cream 30gm,121870,220,BGL0001,b-glow 30gm cream,RELY ON PHARMACEUTICALS
BON0100,bone c syrup 200ml,bone c suspension 200ml,141094,99,BON0100,bone c syrup 200ml,3M BIRLA HEALTH LTD
CAD0162,cadacid mps suspension 170ml,cadacid mps syrup 170ml,143301,52.5,CAD0162,cadacid mps suspension 170ml,ZYDUS CADILA HEALTHCARE LTD
CLO0195,clobetamil g 15gm cream,clobetamil g cream 15gm,154731,15.35,CLO0195,clobetamil g 15gm cream,MERCK LTD
DRE0033,drez s 10gm ointment,drez s ointment 10gm,181318,93.17,DRE0033,drez s 10gm ointment,STEDMAN PHARMACEUTICALS PVT LTD
FEM0165,femcinol acne 75gm soap,femcinol acne soap 75gm,192785,130,FEM0165,femcinol acne 75gm soap,DABUR INDIA LTD
FLU0096,flucreme nm 5gm oint,flucreme nm ointment 5gm,196078,54,FLU0096,flucreme nm 5gm oint,CONCEPT PHARMACEUTICALS LTD
FRE0177,freshclor mouth  150ml wash,freshclor mouth wash 150ml,198053,104,FRE0177,freshclor mouth  150ml wash,GROUP PHAMRACEUTICALS LTD
GEN0066,gentalene c 17gm cream,gentalene c cream 17gm,200919,63.5,GEN0066,gentalene c 17gm cream,CHENGDU CORPO CHIENA
GEN0170,genticyn hc 10ml eye drops,genticyn hc eye drop 10ml,200977,21.62,GEN0170,genticyn hc 10ml eye drops,ALLERGAN IND PVT LTD
GEN0443,gentakem-d 10ml eye/ear drops,gentakem d eye/ear drop 10ml,380830,30,GEN0443,gentakem-d 10ml eye/ear drops,ALKEM LABORATORIES LTD
GLA0101,gla ad 20gm cream,gla ad cream 20gm,201784,49,GLA0101,gla ad 20gm cream,DR REDDY'S LABORATORIES
GLA0769,gladyclav-forte 30ml dry syp,gladyclav forte dry syrup 30ml,378617,138,GLA0769,gladyclav-forte 30ml dry syp,UVB HEALTHCARE PVT LTD
GRA0227,grabocal d3 1gm sachet,grabocal d3 sachet 1gm,381258,25,GRA0227,grabocal d3 1gm sachet,AAURA CARE PHARMACEUTICAL PVT LTD
HEX0111,hexilak ultra 20gm gel,hexilak ultra gel 20gm,210357,590,HEX0111,hexilak ultra 20gm gel,MENARINI INDIA LTD
HIC0004,hi-cobal 2ml inj,hi cobal injection 2ml,210569,105,HIC0004,hi-cobal 2ml inj,SAF FERMION LTD
HIM0574,himalaya rumalaya 10gm gel,himalaya rumalaya gel 10gm,211051,22,HIM0574,himalaya rumalaya 10gm gel,THE HIMALAYA DRUG COMPANY-(WELLNESS)
ISO0219,isotine plus 10ml eye drops,isotine plus eye drop 10ml,377384,120,ISO0219,isotine plus 10ml eye drops,JAGAT PHARMA
ITC0004,itch care 12gm cream,itch care cream 12gm,216479,58,ITC0004,itch care 12gm cream,DABUR INDIA LTD
LEG0057,legaf-o suspension 170ml,legaf o syrup 170ml,378918,209,LEG0057,legaf-o suspension 170ml,KINDSPIRIT PHARMACEUTICALS
LOR0025,lorfast am 60ml syp,lorfast am syrup 60ml,382463,58,LOR0025,lorfast am 60ml syp,ZYDUS CADILA HEALTHCARE LTD
MAR0021,markal calamine 60 ml lotion,markal calamine lotion 60ml,385680,50,MAR0021,markal calamine 60 ml lotion,MERCK LTD
MEM0060,membio hydra 50gm cream,membio hydra cream 50gm,377103,799,MEM0060,membio hydra 50gm cream,ZYDUS CADILA HEALTHCARE LTD
NAS0086,nasocom az 7ml nasal spray,nasocom az nasal spray 7ml,248500,284,NAS0086,nasocom az 7ml nasal spray,DR REDDY'S LABORATORIES
NEO0004,neo hepatex - 10 ml inj,neo hepatex injection 10ml,250519,116.2,NEO0004,neo hepatex - 10 ml inj,BIOLOGICAL E LTD
NEO0240,neocid-o suspension 170 ml,neocid o syrup 170ml,250554,68,NEO0240,neocid-o suspension 170 ml,DUMMY
NIS0085,nise d 35gm spray,nise d spray 35gm,254540,99,NIS0085,nise d 35gm spray,DR REDDY'S LABORATORIES
NIV0053,nivea soft 50ml cream,nivea soft creme 50ml,254934,80,NIV0053,nivea soft 50ml cream,NIVEA INDIA PVT LTD
NIV0458,nivea body lotion aloe hydration 75 ml,nivea aloe hydration body lotion 75ml,254885,125,NIV0458,nivea body lotion aloe hydration 75 ml,3M INDIA LTD
NOT0045,notra-d 100ml syp,notra d syrup 100ml,379045,55,NOT0045,notra-d 100ml syp,NOVITAS HEALTHCARE
NOV0338,novofran-oz syrup 60ml,novofran oz suspension 60ml,256632,60,NOV0338,novofran-oz syrup 60ml,SEAGULL PHARMACEUTICALS PVT LTD
OXY0389,oxyfag-a suspension 200ml,oxyfag a oral suspension 200ml,379884,270,OXY0389,oxyfag-a suspension 200ml,U & V CANCURE PVT LTD
PED0163,pediasure vanilla 200gm rifil,pediasure refill vanilla 200gm,379537,275,PED0163,pediasure vanilla 200gm rifil,ABBOTT HEALTHCARE PVT LTD(NUTRITION)
POT0070,pot-m 10ml inj,pot m injection 10ml,382343,18,POT0070,pot-m 10ml inj,MED-MEDI LIFE
REN0045,reno pro 25gm powder,reno pro powder 25gm,289244,300,REN0045,reno pro 25gm powder,BRITISH BIOLOGICAL LTD
SEN0241,senolin sf 25gm gel,senolin sf gel 25gm,309811,140,SEN0241,senolin sf 25gm gel,INDOCO
SEP0007,septran paed suspension 50ml,septran paediatric oral suspension 50ml,379725,14.7,SEP0007,septran paed suspension 50ml,GLAXO SMITHKLINE PHARMACEUTICALS LTD
SEP0105,septran paed suspension 50ml ***,septran paediatric oral suspension 50ml,379725,11.76,SEP0105,septran paed suspension 50ml ***,KOYE PHARMACEUTICALS
SIG0011,sigmaderm n 10gm cream,sigmaderm n cream 10gm,311901,62.9,SIG0011,sigmaderm n 10gm cream,SVIZERA HEALTH REMEDIES LLP
THE0222,themicaine ad 30 ml inj,themicaine ad injection 30ml,380230,28.9,THE0222,themicaine ad 30 ml inj,THEMIS PHARMACEUTICALS LTD
UNI0249,unigesic plus suspension 60ml,unigesic plus syrup 60ml,333432,40,UNI0249,unigesic plus suspension 60ml,UNICHEM LABORATORIES LTD.
VIT0355,vitasafe plus susp 200ml,vitasafe plus syrup 200ml,339140,135,VIT0355,vitasafe plus susp 200ml,MSN LABORATORIES LTD
VIT0356,vitasafe plus susp 100ml,vitasafe plus syrup 100ml,339141,75,VIT0356,vitasafe plus susp 100ml,MSN LABORATORIES LTD
GAR0066,garlic pearls 30's,garlic pearls capsule 30s,199724,1.33,GAR0066,garlic pearls 30's,SUNPHARMACEUTICALINDUSTRIESOTC
GOR0004,gorgeus face cleansing 50gm gel,gorgeus face cleansing gel 50gm,204981,150,GOR0004,gorgeus face cleansing 50gm gel,AJANTA PHARMA LTD
HHF0005,hhfexo-m paed syp 60ml,hhfexo m kid suspension 60ml,380809,110,HHF0005,hhfexo-m paed syp 60ml,HEGDE & HEGDE PHARMACEUTICALS PVT LTD
LEV0526,levo-anawin 0.5% 4ml inj,levo anawin 0.5% injection 4ml,226872,36,LEV0526,levo-anawin 0.5% 4ml inj,NEON LABORATORIES LTD
SEB0028,sebamed ad revitalizing 200ml shampoo,sebamed ad revitalizing shampoo 200ml,380881,990,SEB0028,sebamed ad revitalizing 200ml shampoo,USV LTD
SIL0159,silence anti snoring 20ml spray,silence anti snoring spray 20ml,311973,199,SIL0159,silence anti snoring 20ml spray,G.S. PHARMACEUTICALS PVT LTD
SIT0253,sitara m 100 500mg 10tab,sitara m 100mg/500mg tablet 10s,377320,14.5,SIT0253,sitara m 100 500mg 10tab,3M INDIA LTD
TIG0006,tiger balm white 18gm,tiger white balm 18gm,381864,65,TIG0006,tiger balm white 18gm,CAVIN CARE PVT LTD
TIG0007,tiger balm white 8gm,tiger white balm 8gm,381863,35,TIG0007,tiger balm white 8gm,CAVIN CARE PVT LTD
ZAN0091,zandu triphala 30's,zandu triphala tablet 30s,381323,0.73,ZAN0091,zandu triphala 30's,EMAMI LTD
CET0424,cetaphil sun spf30 light gel 100ml,cetaphil sun light gel spf30 100ml,382224,1150,CET0424,cetaphil sun spf30 light gel 100ml,GALDERMA INDIA PVT LTD
