item_code,brand,Master Catalogue name,medicine_type,exp_sku_brand,mod_brand,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,pack,manufacturer,catg,subcatg,mrp
AKE0002,akeek pisti tab,,tablet,akeek pisti,akeek pisti,1,akeek,akeek,akeek,1,SHREE BAIDYANATH AYURVED BHAWAN PVT. LTD,,,69.0
AKT0001,a k t - 3 kit tab,,tablet,a k t 3 kit,a k t 3 kit,1,a k t 3,a k t,a k,1,LUPIN LABORATORIES LTD,,,5.0
AKV0004,akvipd 500mg tab 10's,,tablet,akvipd,akvipd 500 10s,1,akvipd,akvipd,akvipd,10,EASTON PHARMACEUTICALS,,,15.99
ALC0158,alculi forte tab 10's,,tablet,alculi forte,alculi forte 10s,1,alculi,alculi,alculi,10,BSA PHARMA INC,,,9.0
ALC0166,alcy-d3 60k orange flav chew tab 4's,,tablet,alcy d3 60k orange flav chew,alcy d3 60k orange flav chew 4s,1,alcy d3 60k orange flav,alcy d3 60k orange,alcy d3 60k,4,ANDIC LIFE SCIENCES PVT LTD,,,24.63
ALE0019,aleos compound tab 100's,,tablet,aleos compound,aleos compound 100s,1,aleos,aleos,aleos,1,AKAY PHARMA PVT LTD,,,1.02
ALE0198,alerlife m-kid orange flav dt tab 10's,,tablet,alerlife m paediatric orange flav,alerlife m paediatric orange flav 10s,1,alerlife m paediatric orange,alerlife m paediatric,alerlife m,10,LIFE GAIN PHARMA,,,6.5
ALL0087,allerin tab 10's,,tablet,allerin,allerin 10s,1,allerin,allerin,allerin,10,TORRENT PHARMA LTD,,,0.85
ALL0143,allergil tab,,tablet,allergil,allergil,1,allergil,allergil,allergil,10,MEDI CROSS LIFE SCIENCES PVT LTD,,,3.0
ALL0482,all rise energy booster orange flav effervescent tab 60's,,tablet,all rise energy booster orange flav effervescent,all rise energy booster orange flav effervescent 60s,1,all rise energy booster orange flav,all rise energy booster orange,all rise energy booster,1,ANIKSAN HEALTHCARE PVT LTD,,,879.0
ALO0208,alopagesic tab 10's (alopa),,tablet,alopagesic,alopagesic 10s alopa,1,alopagesic,alopagesic,alopagesic,10,ALOPA HERBAL HEALTHCARE PVT LTD,,,5.5
ALO0321,aloe glu tab 10's,,tablet,aloe glu,aloe glu 10s,1,aloe,aloe,aloe,10,KAIZEN DRUGS PVT LTD,,,19.0
ALV0089,alvas dhanwantari gutika 50s tab,,tablet,alvas dhanwantari gutika 50s,alvas dhanwantari gutika 50s,1,alvas dhanwantari gutika,alvas dhanwantari,alvas,1,ALV-ALVA PHARMA,,,0.8
AMA0085,amalki tab 30's,,tablet,amalki,amalki 30s,1,amalki,amalki,amalki,1,AIMIL PHARMA INDIA PVT LTD,,,150.0
AMI0376,aminomax 8000- 350 tablets,,tablet,aminomax 8000,aminomax 8000 350,1,aminomax,aminomax,aminomax,1,GLOBAL IMPEX,,,3175.0
AML0087,amlycure tab 10's,,tablet,amlycure,aycure 10s,1,amlycure,amlycure,amlycure,10,AIMIL PHARMA INDIA PVT LTD,,,4.0
AML0190,amlant tab,,tablet,amlant,aant,1,amlant,amlant,amlant,6,MAH-MAHARISHI AYRUVEDIC,,,90.0
AML0242,amlapittari vati  tab,,tablet,amlapittari vati,aapittari vati,1,amlapittari,amlapittari,amlapittari,1,SRI-SRI SRI AYURVEDA TRUST,,,80.0
AML0263,amlaptantaka yoga 100 tab baid,,tablet,amlaptantaka yoga,aaptantaka yoga 100 baid,1,amlaptantaka,amlaptantaka,amlaptantaka,1,SHREE BAIDYANATH AYURVED BHAWAN PVT. LTD,,,101.0
AMO0042,amoebica tab (baidynath),,tablet,amoebica,amoebica baidynath,1,amoebica,amoebica,amoebica,1,SHREE BAIDYANATH AYURVED BHAWAN PVT. LTD,,,84.0
AMR0159,amritadi guggulu tab 60's,,tablet,amritadi guggulu,amritadi guggulu 60s,1,amritadi,amritadi,amritadi,1,SHR-SHREE DHANWANTRI HERBALS,,,100.0
AMR0160,amrical tab,,tablet,amrical,amrical,1,amrical,amrical,amrical,1,SIEMEN LABORATORIES,,,3.66
AMR0171,amritha navak guggul 60s tab,,tablet,amritha navak guggul 60s,amritha navak guggul 60s,1,amritha navak guggul,amritha navak,amritha,1,AMR-AMRITHA PHARMACY LIMITED,,,1.16
AMR0177,amrita ashwagandha 60s tab,,tablet,amrita ashwagandha 60s,amrita ashwagandha 60s,1,amrita ashwagandha,amrita,amrita,1,AMR-AMRIT,,,1.92
AMR0178,amrita nisa amalaki 90's tab,,tablet,amrita nisa amalaki 90s,amrita nisa amalaki 90s,1,amrita nisa amalaki,amrita nisa,amrita,1,AMR-AMRIT,,,1.39
AMR0180,amrita manasa mitra vatakam  tab 60's,,tablet,amrita manasa mitra vatakam,amrita manasa mitra vatakam 60s,1,amrita manasa mitra,amrita manasa,amrita,1,AMR-AMRIT,,,2.75
AMV0010,amvatari ras tab,,tablet,amvatari ras,amvatari ras,1,amvatari,amvatari,amvatari,1,DUMMY,,,45.0
ANA0250,anasth m tab 10's (anupam),,tablet,anasth m,anasth m 10s anupam,1,anasth,anasth,anasth,10,ANU-ANUPAMA AYURVEDIC DRUG CO,,,5.9
ANA0285,anand bhairav ras tab 40's (dabur),,tablet,anand bhairav ras,anand bhairav ras 40s dabur,1,anand bhairav,anand,anand,1,DABUR INDIA LTD,,,54.0
ANJ0001,anjika tab 10's,,tablet,anjika,anjika 10s,1,anjika,anjika,anjika,10,BIRLA LIFE SCIENCES,,,3.4
ANT0235,antcald tab 10's,,tablet,antcald,antcald 10s,1,antcald,antcald,antcald,10,NIPPON HEALTHCARE,,,133.0
ANT0277,antavirol vh 4 tab,,tablet,antavirol vh,antavirol vh 4,1,antavirol,antavirol,antavirol,1,HAR-HARI OM MANUFACTURERES,,,75.0
ANU0005,anuloma ds tab 10's,,tablet,anuloma ds,anuloma ds 10s,1,anuloma,anuloma,anuloma,10,ABBOTT LABORATORIES,,,3.5
APC0091,apcee forte orange flav chew tab 15's,,tablet,apcee forte orange flav chew,apcee forte orange flav chew 15s,1,apcee forte orange flav,apcee forte orange,apcee forte,15,AJANTA PHARMA LTD,,,12.0
APJ0005,ap joint health new formula tab 30's,,tablet,ap joint health new formula,ap joint health new formula 30s,1,ap joint health new,ap joint health,ap joint,1,CIAN HEALTH CARE PVT LTD,,,499.0
APL0069,ap life vitamin c & zinc sulphate orange flav chew tab 30's,,tablet,ap life vitamin c & zinc sulphate orange flav chew,ap life vitamin c & zinc sulphate orange flav chew 30s,1,ap life vitamin c & zinc sulphate orange flav,ap life vitamin c & zinc sulphate orange,ap life vitamin c & zinc sulphate,1,APOLLO HOSPITALS ENTERPRIS LTD,,,100.0
APM0037,ap multi vitamin 50+ women 30's tab,,tablet,ap multi vitamin 50+ women 30s,ap multi vitamin 50+ women 30s,1,ap multi vitamin 50+ women,ap multi vitamin 50+,ap multi vitamin,1,COOPER PHARMA LTD,,,200.0
APM0038,ap multi vitamin 50+ men 30's tab,,tablet,ap multi vitamin 50+ men 30s,ap multi vitamin 50+ men 30s,1,ap multi vitamin 50+ men,ap multi vitamin 50+,ap multi vitamin,1,COOPER PHARMA LTD,,,200.0
APO0108,apollo expert joint health new formula tab 30 s,,tablet,apollo expert joint health new formula,apollo expert joint health new formula 30 s,1,apollo expert joint health new,apollo expert joint health,apollo expert joint,1,APOLLO HOSPITALS ENTERPRIS LTD,,,499.0
APO0109,apollo expert multvitxp-unisex multivitamin tab 30's,,tablet,apollo expert multvitxp unisex multivitamin,apollo expert multvitxp unisex multivitamin 30s,1,apollo expert multvitxp unisex,apollo expert multvitxp,apollo expert,1,APOLLO HOSPITALS ENTERPRIS LTD,,,300.0
APO0124,apollo expert covixp- post covid multivitamin tab 30's,,tablet,apollo expert covixp post covid multivitamin,apollo expert covixp post covid multivitamin 30s,1,apollo expert covixp post covid,apollo expert covixp post,apollo expert covixp,1,APOLLO HOSPITALS ENTERPRIS LTD,,,500.0
APP0147,appe gold tab 10's,,tablet,appe gold,appe gold 10s,1,appe,appe,appe,10,REGBEX LIFE SCIENCES PVT LTD,,,10.0
APV0008,ap vitamin strawberry flavour 30's chewable tab,,tablet,ap vitamin strawberry flavour 30s chewable,ap vitamin strawberry flavour 30s chewable,1,ap vitamin strawberry flavour 30s,ap vitamin strawberry flavour,ap vitamin strawberry,1,APOLLO HOSPITALS ENTERPRIS LTD,,,145.0
AQU0055,aquapura 60's tab,,tablet,aquapura 60s,aquapura 60s,1,aquapura,aquapura,aquapura,1,AQU-AQUAF PHARMA.,,,85.0
AQU0229,aquashine-24 s/f orange flav chewable tab 4's,,tablet,aquashine 24 s/f orange flav chewable,aquashine 24 s/f orange flav chewable 4s,1,aquashine 24 s/f orange flav,aquashine 24 s/f orange,aquashine 24 s/f,4,GH VISION CARE LIFE SCIENCES LTD,,,32.25
AQU0231,aqua aps tab 10's,,tablet,aqua aps,aqua aps 10s,1,aqua,aqua,aqua,10,AQU-AQUA-PARENTERAL,,,8.3
AQU0355,aqua kold tab 10's,,tablet,aqua kold,aqua kold 10s,1,aqua,aqua,aqua,10,LABORATE PHARMA LTD,,,4.0
ARA0041,arashakuthar ras tab,,tablet,arashakuthar ras,arashakuthar ras,1,arashakuthar,arashakuthar,arashakuthar,1,SHREE BAIDYANATH AYURVED BHAWAN PVT. LTD,,,1.5
ARJ0003,arjit forte tab 10's,,tablet,arjit forte,arjit forte 10s,1,arjit,arjit,arjit,10,GD PHARMACEUTICALSS PVT LTD,,,3.76
ARN0018,arnica plus with triofer tab 100ml,,tablet,arnica plus with triofer,arnica plus with triofer 100,1,arnica plus with,arnica plus,arnica,1,SHALAKS PHARMACEUTICALS PVT LTD,,,210.0
ARO0133,arogyawardhini bati 80 tab,,tablet,arogyawardhini bati,arogyawardhini bati 80,1,arogyawardhini,arogyawardhini,arogyawardhini,1,SHREE BAIDYANATH AYURVED BHAWAN PVT. LTD,,,1.3
ARO0234,arogyavardhini vati tab,,tablet,arogyavardhini vati,arogyavardhini vati,1,arogyavardhini,arogyavardhini,arogyavardhini,1,AYU-AYURVEDA RASAAHALA,,,69.0
ARS0018,arshoghnivati tab,,tablet,arshoghnivati,arshoghnivati,1,arshoghnivati,arshoghnivati,arshoghnivati,1,BIODEAL LABORATORIES PVT.,,,118.0
ARS0070,arsha hita 60 tab(dp),,tablet,arsha hita,arsha hita 60 dp,1,arsha,arsha,arsha,1,3M INDIA LTD,,,175.0
ART0139,arthrella tab 10's,,tablet,arthrella,arthrella 10s,1,arthrella,arthrella,arthrella,10,CHARAK PHARMACEUTICALS IND,,,2.93
ART0277,arthowel vh 12 tab,,tablet,arthowel vh,arthowel vh 12,1,arthowel,arthowel,arthowel,1,HAR-HARI OM MANUFACTURERES,,,75.0
ASA0022,asanad vati tab,,tablet,asanad vati,asanad vati,1,asanad,asanad,asanad,1,AYU-AYURVEDA RASAAHALA,,,2.5
ASC0117,ascorbic acid 100mg tab 1000's,,tablet,ascorbic acid,ascorbic acid 100 1000s,1,ascorbic,ascorbic,ascorbic,1,VIKRAM LABORATORIES PVT LTD,,,300.0
ASC0133,ascoriva s/f orange flav effervescent tab 15's,,tablet,ascoriva s/f orange flav effervescent,ascoriva s/f orange flav effervescent 15s,1,ascoriva s/f orange flav,ascoriva s/f orange,ascoriva s/f,1,AVIVA PHARMATECH PVT LTD,,,270.0
ASC0144,ascorb-e chocolate flav chew tab 10's,,tablet,ascorb e chocolate flav chew,ascorb e chocolate flav chew 10s,1,ascorb e chocolate flav,ascorb e chocolate,ascorb e,10,SENABLE LIFE SCIENCES PVT LTD,,,15.0
ASC0149,ascorvan-500 s/f orange flav chew tab 10's,,tablet,ascorvan 500 s/f orange flav chew,ascorvan 500 s/f orange flav chew 10s,1,ascorvan 500 s/f orange flav,ascorvan 500 s/f orange,ascorvan 500 s/f,10,GLOWENVY LIFE SCIENCE PVT LTD,,,4.5
ASH0030,ashotone tab,,tablet,ashotone,ashotone,1,ashotone,ashotone,ashotone,1,SOL-SOLUMIKS,,,2.83
ASH0093,ashtang shwaskas chintamani ras tab,,tablet,ashtang shwaskas chintamani ras,ashtang shwaskas chintamani ras,1,ashtang shwaskas chintamani,ashtang shwaskas,ashtang,1,ADONIS LABORATORIES PVT LTD,,,62.5
ASH0106,ashwayastee tab 30's (tanvi herbal),,tablet,ashwayastee,ashwayastee 30s tanvi herbal,1,ashwayastee,ashwayastee,ashwayastee,30,TAN-TANVI COLLECTION INDIA PVT,,,4.67
ASM0018,asmania tab 15's,,tablet,asmania,asmania 15s,1,asmania,asmania,asmania,15,CHA-CHAITANYA PHARM,,,2.67
ASM0029,asmon tab,,tablet,asmon,asmon,1,asmon,asmon,asmon,10,SPARK MEDICARE PVT LTD,,,8.9
ASW0019,aswal plus tab 10's,,tablet,aswal plus,aswal plus 10s,1,aswal,aswal,aswal,10,GUFIC PRIVATE LTD.,,,8.4
ASW0033,aswagandha choornam tab 100's (annai),,tablet,aswagandha choornam,aswagandha choornam 100s annai,1,aswagandha,aswagandha,aswagandha,1,ANNAI ARAVINDH HERBALS,,,50.0
ATR0119,atrimed ostygen tab 30s,,tablet,atrimed ostygen,atrimed ostygen 30s,1,atrimed,atrimed,atrimed,1,ATRIMED PHARMACEUTICALS PVT LTD,,,5.5
AUM0008,aumentar hair kit tab 70's,,tablet,aumentar hair kit,aumentar hair kit 70s,1,aumentar hair,aumentar,aumentar,1,MECONUS HEALTHCARE PVT LTD,,,2425.0
AUR0086,aurel slim tab 10's,,tablet,aurel slim,aurel slim 10s,1,aurel,aurel,aurel,10,AUREL BIOLIFE LTD,,,16.0
AUR0126,aurela tab 10's (alpuro),,tablet,aurela,aurela 10s alpuro,1,aurela,aurela,aurela,10,ALP-ALPRO MEDICAL,,,18.0
AVI0150,avipattikar tab 60's (dabur),,tablet,avipattikar,avipattikar 60s dabur,1,avipattikar,avipattikar,avipattikar,1,DABUR INDIA LTD,,,132.0
AVP0021,avp kankayana vatika 10's tab,,tablet,avp kankayana vatika 10s,avp kankayana vatika 10s,1,avp kankayana vatika,avp kankayana,avp,10,DUMMY,,,3.5
AVP0024,avp marma gulika (big) no 10's tab,,tablet,avp marma gulika big no 10s,avp marma gulika big no 10s,1,avp marma gulika big no,avp marma gulika big,avp marma gulika,10,DUMMY,,,4.3
AVP0030,avp chandraprabha vatika 100's tab,,tablet,avp chandraprabha vatika 100s,avp chandraprabha vatika 100s,1,avp chandraprabha vatika,avp chandraprabha,avp,1,DUMMY,,,231.0
AVP0065,avp kaisoragulgulu vatika  14's tab,,tablet,avp kaisoragulgulu vatika 14s,avp kaisoragulgulu vatika 14s,1,avp kaisoragulgulu vatika,avp kaisoragulgulu,avp,1,THE-THE ARYA VAIDYA PHARMACY (,,,60.0
AVP0067,avp yogarajagulgulu vatika 14's tab,,tablet,avp yogarajagulgulu vatika 14s,avp yogarajagulgulu vatika 14s,1,avp yogarajagulgulu vatika,avp yogarajagulgulu,avp,1,THE-THE ARYA VAIDYA PHARMACY (,,,53.0
AVP0068,avp vilwadi gulika 10's  tab,,tablet,avp vilwadi gulika 10s,avp vilwadi gulika 10s,1,avp vilwadi gulika,avp vilwadi,avp,10,THE-THE ARYA VAIDYA PHARMACY (,,,4.0
AVP0069,avp manasamithravatakam gulika  10's tab,,tablet,avp manasamithravatakam gulika 10s,avp manasamithravatakam gulika 10s,1,avp manasamithravatakam gulika,avp manasamithravatakam,avp,10,THE-THE ARYA VAIDYA PHARMACY (,,,20.8
AVP0087,avp vayu gulika tab 10's,,tablet,avp vayu gulika,avp vayu gulika 10s,1,avp vayu,avp,avp,10,THE-THE ARYA VAIDYA PHARMACY (,,,7.2
AVP0089,avp rajapravarthini vati 100's tab,,tablet,avp rajapravarthini vati 100s,avp rajapravarthini vati 100s,1,avp rajapravarthini vati,avp rajapravarthini,avp,1,THE-THE ARYA VAIDYA PHARMACY (,,,549.0
AVP0123,avp dhanwantaram tab,,tablet,avp dhanwantaram,avp dhanwantaram,1,avp,avp,avp,1,AVN-AVN,,,32.0
AVP0171,avp punarvamandooram tab,,tablet,avp punarvamandooram,avp punarvamandooram,1,avp,avp,avp,1,THE-THE ARYA VAIDYA PHARMACY (,,,1.75
AVP0172,avp mandooravatakam tab,,tablet,avp mandooravatakam,avp mandooravatakam,1,avp,avp,avp,1,THE-THE ARYA VAIDYA PHARMACY (,,,40.0
AXT0017,axtox-c s/f orange flav effervescent tab 20's,,tablet,axtox c s/f orange flav effervescent,axtox c s/f orange flav effervescent 20s,1,axtox c s/f orange flav,axtox c s/f orange,axtox c s/f,1,ALLENGE INDIA PVT LTD,,,290.0
AYU0260,ayu ginee tab,,tablet,ayu ginee,ayu ginee,1,ayu,ayu,ayu,1,DR.SRIDEVI AYU HERBALS,,,277.0
AYU0295,ayush kwath dt tab 30's (shree dhootapapeshwar),,tablet,ayush kwath,ayush kwath 30s shree dhootapapeshwar,1,ayush,ayush,ayush,1,SHR-SHREE DHOOTAPAPESHWAR LTD,,,75.0
AYU0300,ayush-64 tab 60's (dabur),,tablet,ayush,ayush 64 60s dabur,1,ayush,ayush,ayush,1,DABUR INDIA LTD,,,320.0
AYU0302,ayurcumin tab 30's,,tablet,ayurcumin,ayurcumin 30s,1,ayurcumin,ayurcumin,ayurcumin,1,SNIG PHARMA PVT LTD,,,405.0
AYU0304,ayush kwath tab,,tablet,ayush kwath,ayush kwath,1,ayush,ayush,ayush,30,3M INDIA LTD,,,75.0
AYU0309,ayush 64 tablet (dhootapapeshwar),,tablet,ayush,ayush 64 dhootapapeshwar,1,ayush,ayush,ayush,1,3M INDIA LTD,,,160.0
AZE0063,azel 500mg tab 3's,,tablet,azel,azel 500 3s,1,azel,azel,azel,3,ELI-ELITIS ORGANICS,,,23.5
AZE0134,azel 160 tab 7's,,tablet,azel,azel 160 7s,1,azel,azel,azel,7,DR REDDY'S LABORATORIES,,,1242.86
BAC0330,bactafree 10 effervescent tab 1000's,,tablet,bactafree 10 effervescent,bactafree 10 effervescent 1000s,1,bactafree 10,bactafree,bactafree,1,PRECISE PHARMA,,,450.0
BAC0438,bacognize tab 30's (crittherbs),,tablet,bacognize,bacognize 30s crittherbs,1,bacognize,bacognize,bacognize,30,CRITTHERBS PHARMA,,,6.0
BAI0065,baidhyanath mahayograj guggulu tab 40's,,tablet,baidhyanath mahayograj guggulu,baidhyanath mahayograj guggulu 40s,1,baidhyanath mahayograj,baidhyanath,baidhyanath,1,SHREE BAIDYANATH AYURVED BHAWAN PVT. LTD,,,137.0
BAI0075,baidhnath swas chintamani tab,,tablet,baidhnath swas chintamani,baidhnath swas chintamani,1,baidhnath swas,baidhnath,baidhnath,1,SHREE BAIDYANATH AYURVED BHAWAN PVT. LTD,,,233.0
BAI0101,baidynath vitachitamani ras tab 10's,,tablet,baidynath vitachitamani ras,baidynath vitachitamani ras 10s,1,baidynath vitachitamani,baidynath,baidynath,10,SHREE BAIDYANATH AYURVED BHAWAN PVT. LTD,,,1837.0
BAI0105,baidynath pranda gutika tab,,tablet,baidynath pranda gutika,baidynath pranda gutika,1,baidynath pranda,baidynath,baidynath,1,SHREE BAIDYANATH AYURVED BHAWAN PVT. LTD,,,63.0
BAI0291,baid sanjivani bati (40)tab,,tablet,baid sanjivani bati,baid sanjivani bati 40,1,baid sanjivani,baid,baid,1,3M INDIA LTD,,,118.0
BAS0007,basant kusumakar rasa tab,,tablet,basant kusumakar rasa,basant kusumakar rasa,1,basant kusumakar,basant,basant,1,SHREE BAIDYANATH AYURVED BHAWAN PVT. LTD,,,560.0
BAS0015,basantmalti ras 25's tab,,tablet,basantmalti ras 25s,basantmalti ras 25s,1,basantmalti ras,basantmalti,basantmalti,1,SHREE BAIDYANATH AYURVED BHAWAN PVT. LTD,,,26.52
BAS0221,baselet tab,,tablet,baselet,baselet,1,baselet,baselet,baselet,10,BASE PHARMACEUTICALS LTD,,,25.0
BAS0240,basic ayurveda karela&jamun herbal mix tab 40's,,tablet,basic ayurveda karela&jamun herbal mix,basic ayurveda karela&jamun herbal mix 40s,1,basic ayurveda karela&jamun herbal,basic ayurveda karela&jamun,basic ayurveda,1,BASIC AYURVEDA LIMITED,,,125.0
BEC0247,becofol tab 10's,,tablet,becofol,becofol 10s,1,becofol,becofol,becofol,10,ABBOTT INDIA LIMITED,,,2.4
BEC0259,becoplex forte tab,,tablet,becoplex forte,becoplex forte,1,becoplex,becoplex,becoplex,1,FIZIKEM LIFE SCIENCES,,,1.0
BEC0303,becoplex tab 1000's,,tablet,becoplex,becoplex 1000s,1,becoplex,becoplex,becoplex,1,TUTON PHARMACEUTICALS,,,225.0
BEC0327,becocnx 60k orange flav chew tab 4's,,tablet,becocnx 60k orange flav chew,becocnx 60k orange flav chew 4s,1,becocnx 60k orange flav,becocnx 60k orange,becocnx 60k,4,CNX HEALTH CARE PVT LTD,,,24.75
BEN0548,bene cz orange flav chew tab 15's,,tablet,bene cz orange flav chew,bene cz orange flav chew 15s,1,bene cz orange flav,bene cz orange,bene cz,15,SHREYA LIFESCIENCES PVT LTD,,,6.67
BER0024,berbenterone tab,,tablet,berbenterone,berbenterone,1,berbenterone,berbenterone,berbenterone,1,DUMMY,,,50.0
BER0099,berberry tab 10's (zerico),,tablet,berberry,berberry 10s zerico,1,berberry,berberry,berberry,10,ZERICO LIFESCIENCES PVT LTD,,,19.0
BES0186,bestciss forte tab 30's,,tablet,bestciss forte,bestciss forte 30s,1,bestciss,bestciss,bestciss,1,ALTHAIA LIFESCIENCES LTD,,,477.0
BGA0001,bgap contraceptive tab,,tablet,bgap contraceptive,bgap contraceptive,1,bgap,bgap,bgap,1,DIVINE PHARMA,,,297.0
BIG0145,bigrise 60k s/f vanilla flav tab 4's,,tablet,bigrise 60k s/f vanilla flav,bigrise 60k s/f vanilla flav 4s,1,bigrise 60k s/f vanilla,bigrise 60k s/f,bigrise 60k,4,FOREGEN HEALTHCARE LTD,,,24.87
BIL0071,bilirubin total-tab 4x30/4x5ml (agappe),,tablet,bilirubin total,bilirubin total 4x30/4x5 agappe,1,bilirubin,bilirubin,bilirubin,1,AGA-AGAPPE DIAGNOSTICS LTD,,,853.0
BIO0421,biohairr-f tab 10's,,tablet,biohairr f,biohairr f 10s,1,biohairr,biohairr,biohairr,10,KEIMEDS PVT LTD,,,8.5
BIO0463,biogest tab 10's (kerala),,tablet,biogest,biogest 10s kerala,1,biogest,biogest,biogest,10,KERALA AYURVEDA PHARMACY LTD,,,4.6
BIO1377,biotral m tab 10's,,tablet,biotral m,biotral m 10s,1,biotral,biotral,biotral,10,LEO STAR HEALTH CARE P LTD,,,17.0
BIO1441,biorab 20mg tab 10's,,tablet,biorab,biorab 20 10s,1,biorab,biorab,biorab,10,HINDUSTAN BIOSCIENCES LTD,,,4.9
BIO1907,bioxtend dzire-m for men tab 4's,,tablet,bioxtend dzire m for men,bioxtend dzire m for men 4s,1,bioxtend dzire m for,bioxtend dzire m,bioxtend dzire,4,JC TRADE INDIA,,,97.5
BIO1910,bioxtend diabetic support tab 60s,,tablet,bioxtend diabetic support,bioxtend diabetic support 60s,1,bioxtend diabetic,bioxtend,bioxtend,1,BIOXTEND NEUTRACEUTICAL PVT LTD,,,1250.0
BIO1911,bioxtend bone & joint health tab 60s,,tablet,bioxtend bone & joint health,bioxtend bone & joint health 60s,1,bioxtend bone & joint,bioxtend bone &,bioxtend bone,1,BIOXTEND NEUTRACEUTICAL PVT LTD,,,1100.0
BIQ0001,biquinol tab,,tablet,biquinol,biquinol,1,biquinol,biquinol,biquinol,20,BHARAVI PHARMACECUTICALS LTD,,,1.7
BIT0006,bitterol tab 10's,,tablet,bitterol,bitterol 10s,1,bitterol,bitterol,bitterol,10,BIRLA LIFE SCIENCES,,,4.4
BIT0047,bitamin d3 60k s/f orange flav chew tab 4's,,tablet,bitamin d3 60k s/f orange flav chew,bitamin d3 60k s/f orange flav chew 4s,1,bitamin d3 60k s/f orange flav,bitamin d3 60k s/f orange,bitamin d3 60k s/f,4,INDO INDIAN PHARMACEUTICALS,,,24.0
BLU0182,blue light defence tab 90's,,tablet,blue light defence,blue light defence 90s,1,blue light,blue,blue,1,BLACKMORES LTD,,,2599.0
BOD0005,body plus tab,,tablet,body plus,body plus,1,body,body,body,10,SWIFT LTD,,,10.0
