item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,sku_brand,new_brand,medicine_type_y,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,salt_flag,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
6855,setcal-500 tab 1*30,,tablet,setcal,setcal 500 30s,1.0,setcal,setcal,setcal,310884.0,setcal 500mg tablet 2s,setcal,setcal 500 2s,tablet,setcal 500mg tablet 2s,0.6666666666666667,0.6666666666666667,30,2,1.0,setcal 500 tablet 30s,2.0,,mg ,2.0,,500,0,,WANBURY=( LIMITED ),,,97.5,1,0.6666666666666667
7005,tenolol-100 tab 1*14,,tablet,tenolol,tenolol 100 1 14,1.0,tenolol,tenolol,tenolol,324490.0,tenolol 100 tablet 14s,tenolol,tenolol 100 14s,tablet,tenolol 100 tablet 14s,0.5773502691896258,0.5773502691896258,,14,1.0,tenolol 100 tablet 1 14,2.0,,,2.0,,,0,,IPCA=( DYNAMIX ),,,54.72,1,0.5773502691896258
7594,solomycin 100mg tab 1*10,,tablet,solomycin,solomycin 100 10s,1.0,solomycin,solomycin,solomycin,314487.0,solomycin 50mg tablet 10s,solomycin,solomycin 50 10s,tablet,solomycin 50mg tablet 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,solomycin 100mg tablet 10s,0.0,mg ,mg ,1.0,100,50,0,,IPCA=( INNOVA ),,,28.0,1,0.6666666666666667
7611,hcqs tab 1*15,,tablet,hcqs,hcqs 15s,1.0,hcqs,hcqs,hcqs,207544.0,hcqs 200 tablet 15s,hcqs,hcqs 200 15s,tablet,hcqs 200 tablet 15s,0.8164965809277259,0.8164965809277259,15,15,0.0,hcqs tablet 15s,2.0,,,2.0,,,0,,IPCA=( ACTIVA ),,,99.78,1,0.8164965809277259
7738,divret tab 1.5mg 1*10,,tablet,divret,divret 1.5 10s,1.0,divret,divret,divret,167874.0,divret tablet pr 10s,divret,divret 10s,tablet,divret tablet 10s,0.7071067811865475,0.7071067811865475,10,10,0.0,divret tablet 1.5mg 10s,2.0,mg ,,2.0,1.5,,0,,EMCURE:-[ NUCRON ],,,91.55,1,0.7071067811865475
1000077,loprin 75mg tab 1*14,,tablet,loprin,loprin 75 1 14,1.0,loprin,loprin,loprin,230151.0,loprin 75 tablet 14s,loprin,loprin 75 14s,tablet,loprin 75 tablet 14s,0.5773502691896258,0.5773502691896258,,14,1.0,loprin 75mg tablet 1 14,2.0,mg ,,2.0,75,,0,,UNISEARCH CD,,,4.73,1,0.5773502691896258
1000093,zulu tab 1*10,,tablet,zulu,zulu 10s,1.0,zulu,zulu,zulu,350349.0,zulu p tablet 10s,zulu,zulu p 10s,tablet,zulu p tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,zulu tablet 10s,2.0,,,2.0,,,0,,UNICHEM LAB,,,77.15,1,0.8164965809277259
1010440,dubogen tab 1*10,,tablet,dubogen,dubogen 10s,1.0,dubogen,dubogen,dubogen,181910.0,dubogen 5mg tablet 10s,dubogen,dubogen 5 10s,tablet,dubogen 5mg tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,dubogen tablet 10s,2.0,,mg ,2.0,,5,0,,AJANTA-[ ALMIRON ],,,51.7,1,0.8164965809277259
1010465,rodiff 50 mg tab 1*10,,tablet,rodiff,rodiff 50 10s,1.0,rodiff,rodiff,rodiff,292421.0,rodiff 25mg tablet 10s,rodiff,rodiff 25 10s,tablet,rodiff 25mg tablet 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,rodiff 50mg tablet 10s,0.0,mg ,mg ,1.0,50,25,0,,IPCA=( IPM ),,,27.0,1,0.6666666666666667
1010590,pioglu-30 tab 1*10,,tablet,pioglu,pioglu 30 10s,1.0,pioglu,pioglu,pioglu,276619.0,pioglu m 15 mg/500 mg tablet 10s,pioglu,pioglu m 15/500 10s,tablet,pioglu m 15mg/500mg tablet 10s,0.5163977794943222,0.5163977794943222,10,10,0.0,pioglu 30 tablet 10s,2.0,,mg ,2.0,,15,0,,EMCURE:-[ CRIANTE ],,,49.8,1,0.5163977794943222
1010728,azoran-50 tab 1*20,,tablet,azoran,azoran 50 20s,1.0,azoran,azoran,azoran,366976.0,azoran tablet 20s,azoran,azoran 20s,tablet,azoran tablet 20s,0.8164965809277259,0.8164965809277259,20,20,0.0,azoran 50 tablet 20s,2.0,,,2.0,,,0,,RPG NEPHROCARE,,,213.3,1,0.8164965809277259
1010771,denzo tab 1*10,,tablet,denzo,denzo 10s,1.0,denzo,denzo,denzo,163586.0,denzo p tablet 10s,denzo,denzo p 10s,tablet,denzo p tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,denzo tablet 10s,2.0,,,2.0,,,0,,ALGEN HEALTHCARE,,,82.0,1,0.8164965809277259
1010863,peripride 2.5mg tab 1*10,,tablet,peripride,peripride 2.5 10s,1.0,peripride,peripride,peripride,274889.0,peripride 5mg tablet 10s,peripride,peripride 5 10s,tablet,peripride 5mg tablet 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,peripride 2.5mg tablet 10s,0.0,mg ,mg ,1.0,2.5,5,0,,IPCA=( IPM ),,,11.0,1,0.8660254037844387
1010888,detrusitol-2 tab 1*14,,tablet,detrusitol,detrusitol 2 1 14,1.0,detrusitol,detrusitol,detrusitol,164439.0,detrusitol 2mg tablet 14s,detrusitol,detrusitol 2 14s,tablet,detrusitol 2mg tablet 14s,0.5773502691896258,0.5773502691896258,detru,14,1.0,detrusitol 2 tablet 1 14,2.0,,mg ,2.0,,2,0,,PFIZER-( UROGYNAE ),,,615.8,1,0.5773502691896258
1010906,swich 200mg tab 1*6,,tablet,swich,swich 200 6s,1.0,swich,swich,swich,320056.0,swich 200 tablet 10s,swich,swich 200 10s,tablet,swich 200 tablet 10s,0.6666666666666667,0.6666666666666667,6,10,1.0,swich 200mg tablet 6s,2.0,mg ,,2.0,200,,0,,ALKEM-(ARISE),,,128.0,1,0.6666666666666667
1011152,dospin-150 tab 1*10,,tablet,dospin,dospin 150 10s,1.0,dospin,dospin,dospin,169663.0,dospin 150 mg/75 mg tablet 10s,dospin,dospin 150/75 10s,tablet,dospin 150mg/75mg tablet 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,dospin 150 tablet 10s,2.0,,mg ,2.0,,150,0,,FOREGEN (GENASIA BIOTECH),,,25.75,1,0.8660254037844387
1011282,gate 200 tab 1*5,,tablet,gate,gate 200 5s,1.0,gate,gate,gate,199961.0,gate 200mg tablet 10s,gate,gate 200 10s,tablet,gate 200mg tablet 10s,0.6666666666666667,0.6666666666666667,5,10,1.0,gate 200 tablet 5s,2.0,,mg ,2.0,,200,0,,AJANTA-[ ANWAXX ],,,20.0,1,0.6666666666666667
1011358,valdiff 10mg tab 1*10,,tablet,valdiff,valdiff 10 10s,1.0,valdiff,valdiff,valdiff,377675.0,valdiff d 100mg/10mg tablet 10s,valdiff,valdiff d 100/10 10s,tablet,valdiff d 100mg/10mg tablet 10s,0.7745966692414834,0.7745966692414834,10,10,0.0,valdiff 10mg tablet 10s,0.0,mg ,mg ,1.0,10,100,0,,IPCA=( IPM ),,,15.0,1,0.7745966692414834
1011609,lezyncet 5mg tab 1*10,,tablet,lezyncet,lezyncet 5 10s,1.0,lezyncet,lezyncet,lezyncet,227742.0,lezyncet tablet 10s,lezyncet,lezyncet 10s,tablet,lezyncet tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,lezyncet 5mg tablet 10s,2.0,mg ,,2.0,5,,0,,TORRENT(UVA),,,85.3,1,0.8164965809277259
1021992,gate 400 tab 1*5,,tablet,gate,gate 400 5s,1.0,gate,gate,gate,199962.0,gate 400mg tablet 10s,gate,gate 400 10s,tablet,gate 400mg tablet 10s,0.6666666666666667,0.6666666666666667,5,10,1.0,gate 400 tablet 5s,2.0,,mg ,2.0,,400,0,,AJANTA-[ ANWAXX ],,,37.5,1,0.6666666666666667
1022061,macugold tab 1*10,,tablet,macugold,macugold 10s,1.0,macugold,macugold,macugold,233445.0,macugold plus tablet 10s,macugold,macugold plus 10s,tablet,macugold plus tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,macugold tablet 10s,2.0,,,2.0,,,0,,AJANTA=[PRISMA],,,125.0,1,0.8164965809277259
1022115,thalizide tab 1*10,,tablet,thalizide,thalizide 10s,1.0,thalizide,thalizide,thalizide,325305.0,thalizide 12.5mg tablet 10s,thalizide,thalizide 12.5 10s,tablet,thalizide 12.5mg tablet 10s,0.7071067811865475,0.7071067811865475,10,10,0.0,thalizide tablet 10s,2.0,,mg ,2.0,,12.5,0,,IPCA=( PHARMA NEXT),,,12.5,1,0.7071067811865475
1022248,nise tab. 1*15t,,tablet,nise,nise 1 15t,1.0,nise,nise,nise,254548.0,nise tablet 15s,nise,nise 15s,tablet,nise tablet 15s,0.40824829046386296,0.40824829046386296,ni,15,1.0,nise tablet 1 15t,2.0,,,2.0,,,0,,DR.REDDY-[ AQURA-SG ],,,108.0,1,0.40824829046386296
1022271,finax tab 1*10,,tablet,finax,finax 10s,1.0,finax,finax,finax,194441.0,finax tablet 30s,finax,finax 30s,tablet,finax tablet 30s,0.4999999999999999,0.4999999999999999,10,30,1.0,finax tablet 10s,2.0,,,2.0,,,0,,DR.REDDY^S LABORATORIES LTD.,,,195.0,1,0.4999999999999999
1022321,salmucolite tab 1*10,,tablet,salmucolite,salmucolite 10s,1.0,salmucolite,salmucolite,salmucolite,296067.0,salmucolite 30 mg/2 mg tablet 10s,salmucolite,salmucolite 30/2 10s,tablet,salmucolite 30mg/2mg tablet 10s,0.7071067811865475,0.7071067811865475,10,10,0.0,salmucolite tablet 10s,2.0,,mg ,2.0,,30,0,,DRL(AQURA),,,15.33,1,0.7071067811865475
1022384,zeva tab 1*10,,tablet,zeva,zeva 10s,1.0,zeva,zeva,zeva,376462.0,zeva tablet 15s,zeva,zeva 15s,tablet,zeva tablet 15s,0.4999999999999999,0.4999999999999999,10,15,1.0,zeva tablet 10s,2.0,,,2.0,,,0,,WANBURY=( LIMITED ),,,105.0,1,0.4999999999999999
1022445,meltolan-5 tab 1*10,,tablet,meltolan,meltolan 5 10s,1.0,meltolan,meltolan,meltolan,238154.0,meltolan rd 5mg tablet 10s,meltolan,meltolan rd 5 10s,tablet,meltolan rd 5mg tablet 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,meltolan 5 tablet 10s,2.0,,mg ,2.0,,5,0,,ALKEM-(*PENTACARE ),,,52.0,1,0.8660254037844387
1022521,yutopar tab 1*10,,tablet,yutopar,yutopar 10s,1.0,yutopar,yutopar,yutopar,345342.0,yutopar 10mg tablet 10s,yutopar,yutopar 10 10s,tablet,yutopar 10mg tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,yutopar tablet 10s,2.0,,mg ,2.0,,10,0,,ALEMBIC-( MEGACARE ),,,109.0,1,0.8164965809277259
1022530,fiona tab 1*10,,tablet,fiona,fiona 10s,1.0,fiona,fiona,fiona,194556.0,fiona 60 mg tablet 10s,fiona,fiona 60 10s,tablet,fiona 60mg tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,fiona tablet 10s,2.0,,mg ,2.0,,60,0,,DR.REDDY^S LABORATORIES LTD.,,,128.0,1,0.8164965809277259
1022722,zeteze tab 1*10,,tablet,zeteze,zeteze 10s,1.0,zeteze,zeteze,zeteze,347583.0,zeteze 10mg tablet 10s,zeteze,zeteze 10 10s,tablet,zeteze 10mg tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,zeteze tablet 10s,2.0,,mg ,2.0,,10,0,,SUNPHARMA V (OLD),,,75.1,1,0.8164965809277259
1022999,adbeta tab 12.5mg 1*14,,tablet,adbeta,adbeta 12.5 1 14,1.0,adbeta,adbeta,adbeta,103760.0,adbeta 12.5mg tablet 14s,adbeta,adbeta 12.5 14s,tablet,adbeta 12.5mg tablet 14s,0.6708203932499369,0.6708203932499369,,14,1.0,adbeta tablet 12.5mg 1 14,0.0,mg ,mg ,0.0,12.5,12.5,0,,ZUVENTUS HEALTHCARE LTD,,,35.0,1,0.6708203932499369
1023000,adbeta tab 25mg 1*14,,tablet,adbeta,adbeta 25 1 14,1.0,adbeta,adbeta,adbeta,103761.0,adbeta 25mg tablet 14s,adbeta,adbeta 25 14s,tablet,adbeta 25mg tablet 14s,0.5773502691896258,0.5773502691896258,,14,1.0,adbeta tablet 25mg 1 14,0.0,mg ,mg ,0.0,25,25,0,,ZUVENTUS HEALTHCARE LTD,,,64.2,1,0.5773502691896258
1023005,nutin-7 tab 1*10,,tablet,nutin,nutin 7 10s,1.0,nutin,nutin,nutin,257992.0,nutin 100mg tablet 10s,nutin,nutin 100 10s,tablet,nutin 100mg tablet 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,nutin 7 tablet 10s,2.0,,mg ,2.0,,100,0,,EMCURE:-[ NUCRON ],,,35.65,1,0.6666666666666667
1023038,numlotor tab 5mg 1*10,,tablet,numlotor,nuotor 5 10s,1.0,numlotor,numlotor,numlotor,257571.0,numlotor 5 mg/10 mg tablet 10s,numlotor,nuotor 5/10 10s,tablet,numlotor 5mg/10mg tablet 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,numlotor tablet 5mg 10s,0.0,mg ,mg ,0.0,5,5,0,,EMCURE:-[ NUCRON-CV ],,,75.0,1,0.8660254037844387
1033373,reclide-80 tab 1*15,,tablet,reclide,reclide 80 15s,1.0,reclide,reclide,reclide,287819.0,reclide tablet 15s,reclide,reclide 15s,tablet,reclide tablet 15s,0.8164965809277259,0.8164965809277259,15,15,0.0,reclide 80 tablet 15s,2.0,,,2.0,,,0,,DR.REDDY-[ ZENURA-3 ],,,90.75,1,0.8164965809277259
1033531,niap tab. 1*10,,tablet,niap,niap 10s,1.0,niap,niap,niap,252965.0,niap 100mg tablet 10s,niap,niap 100 10s,tablet,niap 100mg tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,niap tablet 10s,2.0,,mg ,2.0,,100,0,,DR.REDDY^S LABORATORIES LTD.,,,27.45,1,0.8164965809277259
1033999,zeof-200 tab 1*10t,,tablet,zeof,zeof 200 1 10t,1.0,zeof,zeof,zeof,347240.0,zeof 200mg tablet 10s,zeof,zeof 200 10s,tablet,zeof 200mg tablet 10s,0.5773502691896258,0.5773502691896258,,10,1.0,zeof 200 tablet 1 10t,2.0,,mg ,2.0,,200,0,,ZUVENTUS-( ZHL ),,,56.5,1,0.5773502691896258
1034148,stamcor tab 1*10,,tablet,stamcor,stamcor 10s,1.0,stamcor,stamcor,stamcor,316981.0,stamcor 5 mg/10 mg tablet 10s,stamcor,stamcor 5/10 10s,tablet,stamcor 5mg/10mg tablet 10s,0.7071067811865475,0.7071067811865475,10,10,0.0,stamcor tablet 10s,2.0,,mg ,2.0,,5,0,,DR.REDDY^S LABORATORIES LTD.,,,69.3,1,0.7071067811865475
1034475,flotral tab 1*30,,tablet,flotral,flotral 30s,1.0,flotral,flotral,flotral,195650.0,flotral 10 tablet pr 30s,flotral,flotral 10 30s,tablet,flotral 10 tablet 30s,0.8164965809277259,0.8164965809277259,30,30,0.0,flotral tablet 30s,2.0,,,2.0,,,0,,SUN PHARMA=[ C.V-CARE ],,,544.0,1,0.8164965809277259
1034695,zeof-400 tab 1*10t,,tablet,zeof,zeof 400 1 10t,1.0,zeof,zeof,zeof,347241.0,zeof 400 mg tablet 6s,zeof,zeof 400 6s,tablet,zeof 400mg tablet 6s,0.5773502691896258,0.5773502691896258,,6,1.0,zeof 400 tablet 1 10t,2.0,,mg ,2.0,,400,0,,ZUVISTA,,,62.8,1,0.5773502691896258
1034725,falcinil tablet 1*4,,tablet,falcinil,falcinil 4s,1.0,falcinil,falcinil,falcinil,191679.0,falcinil 50 mg tablet 4s,falcinil,falcinil 50 4s,tablet,falcinil 50mg tablet 4s,0.8164965809277259,0.8164965809277259,4,4,0.0,falcinil tablet 4s,2.0,,mg ,2.0,,50,0,,ZUVENTUS HEALTHCARE LTD,,,94.2,1,0.8164965809277259
1044958,esia tablets 1*10,,tablet,esia,esia 10s,1.0,esia,esia,esia,188610.0,esia 10mg/10mg tablet 10s,esia,esia 10/10 10s,tablet,esia 10mg/10mg tablet 10s,0.5773502691896258,0.5773502691896258,10,10,0.0,esia tablet 10s,2.0,,mg ,2.0,,10,0,,ALKEM-(*MEDIVA ),,,75.0,1,0.5773502691896258
1045035,flunova 150mg tab 1*5,,tablet,flunova,flunova 150 5s,1.0,flunova,flunova,flunova,196284.0,flunova 150 mg tablet 1s,flunova,flunova 150 1s,tablet,flunova 150mg tablet 1s,0.6666666666666667,0.6666666666666667,5,1,1.0,flunova 150mg tablet 5s,0.0,mg ,mg ,0.0,150,150,0,,ZUVENTUS-( LASOR ),,,11.1,1,0.6666666666666667
1045524,royalcef 250 tab 1*10,,tablet,royalcef,royalcef 250 10s,1.0,royalcef,royalcef,royalcef,294255.0,royalcef 250mg tablet 6s,royalcef,royalcef 250 6s,tablet,royalcef 250mg tablet 6s,0.6666666666666667,0.6666666666666667,10,6,1.0,royalcef 250 tablet 10s,2.0,,mg ,2.0,,250,0,,FOREGEN HEALTHCARE PVT.LTD.,,,174.9,1,0.6666666666666667
1045525,royalcef 500 tab 1*10,,tablet,royalcef,royalcef 500 10s,1.0,royalcef,royalcef,royalcef,294256.0,royalcef 500 tablet 6s,royalcef,royalcef 500 6s,tablet,royalcef 500 tablet 6s,0.6666666666666667,0.6666666666666667,10,6,1.0,royalcef 500 tablet 10s,2.0,,,2.0,,,0,,FOREGEN HEALTHCARE PVT.LTD.,,,330.0,1,0.6666666666666667
1045838,flovas 15 tab 1*10,,tablet,flovas,flovas 15 10s,1.0,flovas,flovas,flovas,369646.0,flovas 15mg tablet 14s,flovas,flovas 15 14s,tablet,flovas 15mg tablet 14s,0.6666666666666667,0.6666666666666667,10,14,1.0,flovas 15 tablet 10s,2.0,,mg ,2.0,,15,0,,IPCA=( HYCARE ),,,280.0,1,0.6666666666666667
1046048,flotral tab 1*30,,tablet,flotral,flotral 30s,1.0,flotral,flotral,flotral,195650.0,flotral 10 tablet pr 30s,flotral,flotral 10 30s,tablet,flotral 10 tablet 30s,0.8164965809277259,0.8164965809277259,30,30,0.0,flotral tablet 30s,2.0,,,2.0,,,0,,(RANBAXY),,,451.0,1,0.8164965809277259
1046461,zosecta tab 10 tab,,tablet,zosecta,zosecta 10s,2.0,zosecta,zosecta,zosecta,349951.0,zosecta 20mg tablet 10s,zosecta,zosecta 20 10s,tablet,zosecta 20mg tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,zosecta tablet 10s,2.0,,mg ,2.0,,20,0,,EMCURE:-[ NUCRON ],,,70.0,1,0.8164965809277259
1046628,xceft tab 100mg 1*10,,tablet,xceft,xceft 100 10s,1.0,xceft,xceft,xceft,343869.0,xceft 200 tablet 10s,xceft,xceft 200 10s,tablet,xceft 200 tablet 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,xceft tablet 100mg 10s,2.0,mg ,,2.0,100,,0,,ALEMBIC-( MAXICA ),,,69.39,1,0.6666666666666667
1046674,xure tab 1*10,,tablet,xure,xure 10s,1.0,xure,xure,xure,344819.0,xure 10mg tablet 10s,xure,xure 10 10s,tablet,xure 10mg tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,xure tablet 10s,2.0,,mg ,2.0,,10,0,,UNICHEM LAB,,,53.0,1,0.8164965809277259
1056937,moxicip 400mg tab 1*10,,tablet,moxicip,moxicip 400 10s,1.0,moxicip,moxicip,moxicip,244809.0,moxicip tablet 10s,moxicip,moxicip 10s,tablet,moxicip tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,moxicip 400mg tablet 10s,2.0,mg ,,2.0,400,,0,,CIPLA-( RESPIRATORY-III ),,,315.05,1,0.8164965809277259
1056966,adesera tab 1*30,,tablet,adesera,adesera 30s,1.0,adesera,adesera,adesera,105293.0,adesera 10mg tablet 30s,adesera,adesera 10 30s,tablet,adesera 10mg tablet 30s,0.8164965809277259,0.8164965809277259,30,30,0.0,adesera tablet 30s,2.0,,mg ,2.0,,10,0,,CIPLA-( SUPRACARE ),,,699.8,1,0.8164965809277259
1056985,fincar-5 tab 1*10,,tablet,fincar,fincar 5 10s,1.0,fincar,fincar,fincar,194444.0,fincar tablet 10s,fincar,fincar 10s,tablet,fincar tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,fincar 5 tablet 10s,2.0,,,2.0,,,0,,CIPLA-( UROLOGY ),,,195.65,1,0.8164965809277259
1056998,montair 4mg tab 1*15,,tablet,montair,montair 4 15s,1.0,montair,montair,montair,243588.0,montair 4mg chewable tablet 15s strawberry,montair,montair 4 chewable 15s strawberry,tablet,montair 4mg chewable tablet 15s strawberry,0.7745966692414834,0.7745966692414834,15,,1.0,montair 4mg tablet 15s,0.0,mg ,mg ,0.0,4,4,0,,CIPLA-( NURTURE-1 ),,,201.3,1,0.7745966692414834
1057024,danogen 50 tab 1*10,,tablet,danogen,danogen 50 10s,1.0,danogen,danogen,danogen,161728.0,danogen 100mg tablet 30s,danogen,danogen 100 30s,tablet,danogen 100mg tablet 30s,0.33333333333333337,0.33333333333333337,10,30,1.0,danogen 50 tablet 10s,2.0,,mg ,2.0,,100,0,,CIPLA-( SPECIALITY-2 ),,,154.39,1,0.33333333333333337
1057027,etozox 120 tab 1*1,,tablet,etozox,etozox 120 1s,1.0,etozox,etozox,etozox,189968.0,etozox 120mg tablet 10s,etozox,etozox 120 10s,tablet,etozox 120mg tablet 10s,0.6666666666666667,0.6666666666666667,1,10,1.0,etozox 120 tablet 1s,2.0,,mg ,2.0,,120,0,,CIPLA-( NURTURE-1 ),,,75.0,1,0.6666666666666667
1057034,ginette 35 tab 1*21,,tablet,ginette,ginette 35 1 21,1.0,ginette,ginette,ginette,201662.0,ginette 35 tablet 21s,ginette,ginette 35 21s,tablet,ginette 35 tablet 21s,0.5773502691896258,0.5773502691896258,,21,1.0,ginette 35 tablet 1 21,2.0,,,2.0,,,0,,CIPLA-( SPECIALITY-2 ),,,358.62,1,0.5773502691896258
1057063,zeet tab 1*10,,tablet,zeet,zeet 10s,1.0,zeet,zeet,zeet,346382.0,zeet exp 25mg/8mg tablet 10s,zeet,zeet exp 25/8 10s,tablet,zeet exp 25mg/8mg tablet 10s,0.6324555320336759,0.6324555320336759,10,10,0.0,zeet tablet 10s,2.0,,mg ,2.0,,25,0,,ALEMBIC-(CHEMICAL WORKS LTD.),,,28.0,1,0.6324555320336759
1057065,alergin tab 1*10,,tablet,alergin,alergin 10s,1.0,alergin,alergin,alergin,107726.0,alergin l tablet 10s,alergin,alergin l 10s,tablet,alergin l tablet 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,alergin tablet 10s,2.0,,,2.0,,,0,,CIPLA-( NURTURE-1 ),,,5.32,1,0.8164965809277259
1057075,ciplactin tab 1*15,,tablet,ciplactin,ciplactin 15s,1.0,ciplactin,ciplactin,ciplactin,152483.0,ciplactin 4mg tablet 15s,ciplactin,ciplactin 4 15s,tablet,ciplactin 4mg tablet 15s,0.8164965809277259,0.8164965809277259,15,15,0.0,ciplactin tablet 15s,2.0,,mg ,2.0,,4,0,,CIPLA-( SPECTRA-1 ),,,36.85,1,0.8164965809277259
