item_code,brand,Master Catalogue name,medicine_type,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,pack,manufacturer,catg,subcatg,mrp
1057179,dermacil cream 50gm,,others,dermacil,dermacil cream 50,0,dermacil,dermacil,dermacil,dermacil,,CIPLA-( NURTURE-1 ),,,99.0
1057221,exermet gm-501 1*15,,others,exermetgm 501 15s,exermet 501 15s,0,exermetgm 501,exermetgm,exermetgm,exermetgm,,CIPLA-( VILATIS-2 ),,,126.44
1057222,exermet gm-502 1*15,,others,exermetgm 502 15s,exermet 502 15s,0,exermetgm 502,exermetgm,exermetgm,exermetgm,,CIPLA-( VILATIS-2 ),,,174.24
1057392,z@d ds 10 syp 15ml,,syrup,z@d ds,z@d ds 10 syrup 15,1,z@d,z@d,z@d,z@d,,DR.REDDY^S LABORATORIES LTD.,,,32.0
1057393,z@d ds 20 syp 15ml,,syrup,z@d ds,z@d ds 20 syrup 15,1,z@d,z@d,z@d,z@d,,DR.REDDY-[ WINTURA ],,,106.75
1057394,z@d plus syp,,syrup,z@d plus,z@d plus syrup,1,z@d,z@d,z@d,z@d,,DR.REDDY^S LABORATORIES LTD.,,,102.85
1057443,biflin sach. 1gm,,others,biflin sach.,biflin sach. 1000,0,biflin,biflin,biflin,biflin,,CIPLA-( NURTURE-1 ),,,6.9
1057739,himcocid (mint_) 200ml,,others,himcocid mint_,himcocid mint_ 200,0,himcocid,himcocid,himcocid,himcocid,,HIMALAYA,,,90.0
1058015,citravate-z 1*10,,others,citravate z 10s,citravate z 10s,0,citravate z,citravate,citravate,citravate,,PHARMED (TISKON),,,28.5
1058369,solufer syp 150ml,,syrup,solufer,solufer syrup 150,1,solufer,solufer,solufer,solufer,,ALKEM-(BERGEN_ASTA),,,66.0
1058443,softdrops 10ml,,others,,softdrops 10,0,,,,,,AJANTA-[ ANWAXX ],,,197.0
1058535,molib.p susp 60ml 1*60ml,,others,molib.p,molib.p suspension 60 1,0,molib.p,molib.p,molib.p,molib.p,,ALGEN HEALTHCARE,,,27.95
1058546,triotab 1*10,,others,,triotab 10s,0,,,,,,UNICHEM,,,97.0
1058586,perobar-5% 75gm,,others,,perobar 5% 75,0,,,,,,AJANTA-[ AXYS ],,,161.0
1058587,perobar 2.5% 75gm,,others,,perobar 2.5% 75,0,,,,,,AJANTA-[ AXYS ],,,140.0
1068686,simplyone 160 inh 120md,,others,simplyone 160 inh 120md,simplyone 160 inh 120md,0,simplyone 160 inh,simplyone 160,simplyone,simplyone,,CIPLA-( RESPIRATORY MIS. ),,,500.0
1068688,simplyone 200 r/c 30cap,,others,simplyone 200 r/c,simplyone 200 r/c 30cap,0,simplyone 200,simplyone,simplyone,simplyone,,CIPLA-( RESPIRATORY MIS. ),,,225.1
1068689,simplyone 400 r/c 30cap,,others,simplyone 400 r/c,simplyone 400 r/c 30cap,0,simplyone 400,simplyone,simplyone,simplyone,,CIPLA-( IMPULSE ),,,260.0
1068690,simplyone 80 inh 120md,,others,simplyone 80 inh 120md,simplyone 80 inh 120md,0,simplyone 80 inh,simplyone 80,simplyone,simplyone,,CIPLA-( NURTURE-1 ),,,390.0
1068714,ocinfor-oz sus 30ml,,others,,ocinfor oz sus 30,0,,,,,,FOREGEN HEALTHCARE PVT.LTD.,,,38.0
1068861,diasten gm 1*10,,others,diastengm 10s,diasten 10s,0,diastengm,diastengm,diastengm,diastengm,,UNICHEM,,,130.0
1068906,ulgel a liquid 200ml,,others,,ulgel a liquid 200,0,,,,,,ALEMBIC-( ENTERON-GASTRO ),,,168.6
1068907,ulgel cardomom susp 170ml,,others,,ulgel cardomom suspension 170,0,,,,,,ALEMBIC-( ENTERON-GASTRO ),,,91.75
1068908,ulgel saun syp 200ml,,syrup,,ulgel saun syrup 200,1,,,,,,ALEMBIC-( ENTERON-GASTRO ),,,131.6
1068924,triogel 30gm 30gm,,others,,triogel 30,0,,,,,,CIPLA-( SPECTRA-2 ),,,90.95
1069167,mobix cream 30g,,others,mobix,mobix cream 30g,0,mobix,mobix,mobix,mobix,,CIPLA-( NURTURE-1 ),,,42.0
1069371,gb-lin plus-75 1*10t,,others,gb lin plus 75 1 10t,gb lin plus 75 1 10t,0,gb lin plus 75 1,gb lin plus 75,gb lin plus,gb lin,,ALKEM-(*MEDIVA ),,,89.0
1069544,gasex (syp). 200ml,,syrup,gasex,gasex syrup . 200,1,gasex,gasex,gasex,gasex,,HIMALAYA (ZINDEL-WELLNESS),,,110.0
1069627,talekt [syp]. 120ml,,others,talekt [,talekt [ syrup ]. 120,1,talekt,talekt,talekt,talekt,,HIMALAYA,,,90.0
1069689,gb-lin plus-150 1*10t,,others,gb lin plus 150 1 10t,gb lin plus 150 1 10t,0,gb lin plus 150 1,gb lin plus 150,gb lin plus,gb lin,,ALKEM-(*MEDIVA ),,,149.0
1069695,listrine 85 ml 85ml,,others,listrine,listrine 85,0,listrine,listrine,listrine,listrine,,PFIZER-( INTIMA ),,,40.0
1069697,listrine coolmint 85ml,,others,listrine coolmint,listrine coolmint 85,0,listrine,listrine,listrine,listrine,,PFIZER-( INTIMA ),,,40.0
1069701,listrine coolmint 250ml,,others,listrine coolmint,listrine coolmint 250,0,listrine,listrine,listrine,listrine,,PFIZER-( INTIMA ),,,65.0
1069703,listrine coolmint 400ml,,others,listrine coolmint,listrine coolmint 400,0,listrine,listrine,listrine,listrine,,PFIZER-( INTIMA ),,,89.0
1069739,gelusil mps liq 200ml,,others,,gelusil mps liquid 200,0,,,,,,( AMTEK ) MARKETING @ SERVICES,,,126.49
1069740,gelusil pond(400ml) 400ml,,others,,gelusil pond 400,0,,,,,,( AMTEK ) MARKETING @ SERVICES,,,191.38
1069850,citrosoda 4gm,,others,citrosoda,citrosoda 4,0,citrosoda,citrosoda,citrosoda,citrosoda,,ABBOTT INDIA LIMITED,,,25.24
1069854,babycare gift pack 1*1,,others,babycare gift pack 1s,babycare gift pack 1s,0,babycare gift pack,babycare gift,babycare,babycare,,HIMALAYA,,,251.0
1070021,mentat ds syp 100ml,,syrup,mentat ds,mentat ds syrup 100,1,mentat,mentat,mentat,mentat,,HIMALAYA,,,130.0
1070026,uniphy sr-200 1*10,,others,uniphy 200 10s,uniphy 200 10s,0,uniphy 200,uniphy,uniphy,uniphy,,FOREGEN HEALTHCARE PVT.LTD.,,,22.5
1070091,lmontus kid 1*10,,others,lmontus paediatric 10s,lmontus paediatric 10s,0,lmontus paediatric,lmontus,lmontus,lmontus,,FOURRTS:-[ VIBRANT ],,,89.0
1070105,prepro hs 1*10,,others,prepro hs 10s,prepro hs 10s,0,prepro hs,prepro,prepro,prepro,,FOURRTS PERMIERE GASTRO,,,201.0
1070106,prepro kid sch 1gm,,others,prepro paediatric sch,prepro paediatric sch 1000,0,prepro paediatric,prepro,prepro,prepro,,FOURRTS PERMIERE GASTRO,,,15.09
1070312,rinsodine plus 175ml,,others,rinsodine plus,rinsodine plus 175,0,rinsodine,rinsodine,rinsodine,rinsodine,,FOURRTS:-[ VIBRANT ],,,74.0
1070344,gardcef-1500 inj,,injection,gardcef,gardcef 1500 injection,0,gardcef,gardcef,gardcef,gardcef,,IPCA=( ALTUS ),,,231.6
1070345,gardcef-750 inj,,injection,gardcef,gardcef 750 injection,0,gardcef,gardcef,gardcef,gardcef,,IPCA=( ALTUS ),,,115.3
1070380,ciclospray 1*1,,others,,ciclospray 1s,0,,,,,,CIPLA-( UROLOGY ),,,210.0
1070397,neodrol inj 40mg 1vial,,injection,neodrol,neodrol injection 40 1vial,0,neodrol,neodrol,neodrol,neodrol,,NEON CRITICARE,,,54.0
1070572,predbaxe 150,,others,predbaxe 150,predbaxe 150,0,predbaxe,predbaxe,predbaxe,predbaxe,,CIPLA-( NURTURE-1 ),,,104.0
1070573,predbaxe 75,,others,predbaxe 75,predbaxe 75,0,predbaxe,predbaxe,predbaxe,predbaxe,,CIPLA-( NURTURE-1 ),,,59.0
1070764,bonnispaz drop 15ml,,others,bonnispaz,bonnispaz drops 15,0,bonnispaz,bonnispaz,bonnispaz,bonnispaz,,HIMALAYA,,,55.0
1080914,multivate gold 1*15,,others,multivate gold 15s,multivate gold 15s,0,multivate gold,multivate,multivate,multivate,,UNIVERSAL,,,264.0
1080921,piomed mg-1 1*10,,others,piomedmg 1 10s,piomed 1 10s,0,piomedmg 1,piomedmg,piomedmg,piomedmg,,IPCA=( 3-D ),,,78.0
1080922,piomed mg-2 1*10,,others,piomedmg 2 10s,piomed 2 10s,0,piomedmg 2,piomedmg,piomedmg,piomedmg,,IPCA=( 3-D ),,,92.0
1080940,cobatea.cap 1*10,,others,,cobatea.cap 10s,0,,,,,,ALGEN HEALTHCARE,,,96.0
1080952,ridosmec sachet 3gm,,others,ridosmec,ridosmec sachet 3,0,ridosmec,ridosmec,ridosmec,ridosmec,,AJANTA-[ ALMIRON ],,,18.0
1081037,cystone (syp).100 100ml,,syrup,cystone,cystone syrup .100 100,1,cystone,cystone,cystone,cystone,,HIMALAYA,,,110.0
1081042,onfast syp,,syrup,onfast,onfast syrup,1,onfast,onfast,onfast,onfast,,FOREGEN (GENASIA BIOTECH),,,30.9
1081131,novacryl 0.25ml injection,,injection,novacryl,novacryl 0.25 injection,0,novacryl,novacryl,novacryl,novacryl,,ALKEM-(*ACE ),,,325.0
1081150,gardef-3000inj 1,,others,gardef,gardef 3000 injection 1,0,gardef,gardef,gardef,gardef,,IPCA=( ALTUS ),,,440.0
1081407,infen-25 1*10t,,others,,infen 25 1 10t,0,,,,,,EMCURE:-[ XENNEX ],,,45.2
1081518,solufer-xt syp 100ml,,syrup,solufer,solufer syrup 100,1,solufer,solufer,solufer,solufer,,ALKEM-(BERGEN_ASTA),,,96.15
1081543,zerostate vt spacer 1*1,,others,zerostate vt spacer 1s,zerostate vt spacer 1s,0,zerostate vt spacer,zerostate vt,zerostate,zerostate,,CIPLA-( RESPIRATORY-I ),,,480.24
1081554,emzinc (syp). 50ml,,syrup,emzinc,emzinc syrup . 50,1,emzinc,emzinc,emzinc,emzinc,,ZUVENTUS-( LASOR ),,,36.65
1081651,clodril(n) 10t,,others,clodril n 10t,clodril n 10t,0,clodril n,clodril,clodril,clodril,,UNICHEM,,,36.0
1081657,diboset 0.3mg 1*10,,others,diboset,diboset 0.3 10s,0,diboset,diboset,diboset,diboset,,ALKEM-(*MEDIVA ),,,81.0
1081658,diboset 0.2mg 1*10,,others,diboset,diboset 0.2 10s,0,diboset,diboset,diboset,diboset,,ALKEM-(*MEDIVA ),,,61.0
1081782,clindapene 15gm,,others,,clindapene 15,0,,,,,,UNICHEM-[ UNIKARE ],,,184.0
1081786,exermet gm-501 1*15,,others,exermetgm 501 15s,exermet 501 15s,0,exermetgm 501,exermetgm,exermetgm,exermetgm,,(CIP),,,98.0
1081816,supacor gm 10gm,,others,supacorgm,supacor 10,0,supacorgm,supacorgm,supacorgm,supacorgm,,UNICHEM LAB,,,99.0
1082027,exermet gm forte-1 1*10,,others,exermetgm forte 1 10s,exermet forte 1 10s,0,exermetgm forte 1,exermetgm forte,exermetgm,exermetgm,,CIPLA-( VILATIS-2 ),,,88.0
1082028,exermet gm forte-2 1*10,,others,exermetgm forte 2 10s,exermet forte 2 10s,0,exermetgm forte 2,exermetgm forte,exermetgm,exermetgm,,CIPLA-( VILATIS-2 ),,,131.28
1082114,tubaflam eye drops 1*5ml,,others,tubaflam eye,tubaflam eye drops 1 5,0,tubaflam,tubaflam,tubaflam,tubaflam,,CIPLA-( NURTURE-1 ),,,84.0
1082156,cefstrung cv-200 mg 1*10,,others,cefstrung cv,cefstrung cv 200 10s,0,cefstrung,cefstrung,cefstrung,cefstrung,,CIPLA-( SPECTRA-2 ),,,250.0
1082214,duoset r/c 1*10,,others,duoset r/c 10s,duoset r/c 10s,0,duoset r/c,duoset,duoset,duoset,,CIPLA-( RESPIRATORY-III ),,,20.0
1082216,exermet gm-502 1*10,,others,exermetgm 502 10s,exermet 502 10s,0,exermetgm 502,exermetgm,exermetgm,exermetgm,,(CIP),,,135.0
1082283,omniclar 30 30ml,,others,omniclar 30,omniclar 30,0,omniclar,omniclar,omniclar,omniclar,,CIPLA-( NURTURE-1 ),,,117.97
1082295,esgaba 75cap 1*10,,others,esgaba,esgaba 75cap 10s,0,esgaba,esgaba,esgaba,esgaba,,EMCURE:-[ XENNEA ],,,89.0
1082359,cartidin gm 1*10,,others,cartidingm 10s,cartidin 10s,0,cartidingm,cartidingm,cartidingm,cartidingm,,MEDIWORM (RANBAXY CROSLAND),,,158.0
1082435,zerostate spacer 1*1,,others,zerostate spacer 1s,zerostate spacer 1s,0,zerostate spacer,zerostate,zerostate,zerostate,,CIPLA-( RESPIRATORY-I ),,,364.76
1082439,sutret 10mg 1*10,,others,sutret,sutret 10 10s,0,sutret,sutret,sutret,sutret,,CIPLA-( NURTURE-1 ),,,126.75
1082445,ketodrop l.s 5ml,,others,,ketodrop l.s 5,0,,,,,,CIPLA-( NURTURE-1 ),,,72.5
1082465,omnigra nf condoms,,others,omnigra nf condoms,omnigra nf condoms,0,omnigra nf,omnigra,omnigra,omnigra,,CIPLA-( IMPULSE ),,,16.0
1082466,omnigra stroberry condome,,others,omnigra stroberry condome,omnigra stroberry condome,0,omnigra stroberry,omnigra,omnigra,omnigra,,CIPLA-( IMPULSE ),,,16.0
1082540,otiwax drop 5ml 5ml,,others,otiwax,otiwax drops 5,0,otiwax,otiwax,otiwax,otiwax,,ALEMBIC-(CHEMICAL WORKS LTD.),,,45.0
1082595,esgaba 150caps 1*10,,others,esgaba,esgaba 150caps 10s,0,esgaba,esgaba,esgaba,esgaba,,EMCURE:-[ XENNEA ],,,159.0
1092772,panthegel 7.5gm 7.5gm,,others,,panthegel 7.5,0,,,,,,(AJANTA),,,156.5
1092787,combance eye drops 5ml,,others,combance eye,combance eye drops 5,0,combance,combance,combance,combance,,CIPLA-( NURTURE-1 ),,,13.4
1092801,zintrol 21.5 gm 1gm,,others,zintrol,zintrol 21.5 1000,0,zintrol,zintrol,zintrol,zintrol,,PHARMED (TISKON),,,18.25
1092918,omnigra 100 1*4,,others,omnigra 100 4s,omnigra 100 4s,0,omnigra 100,omnigra,omnigra,omnigra,,CIPLA-( NURTURE-1 ),,,113.4
1092952,sudopen kit  500mg 1vial,,others,,sudopen kit 500 1vial,0,,,,,,SUN PHARMA=[ INTENSIVE(LIFE) ],,,3667.0
1093010,infen-p 1*10t,,others,,infen p 1 10t,0,,,,,,EMCURE:-[ XENNEX ],,,99.25
1093169,multivate women 1*15,,others,multivate women 15s,multivate women 15s,0,multivate women,multivate,multivate,multivate,,UNIVERSAL,,,288.0
1093171,rabipen-dsr 1*10,,others,,rabipen dsr 10s,0,,,,,,MOREPAN LAB LTD,,,101.04
1093178,rumalaya liniment 60ml,,others,rumalaya liniment,rumalaya liniment 60,0,rumalaya,rumalaya,rumalaya,rumalaya,,HIMALAYA,,,150.0
1093275,ulgel pan masala,,others,,ulgel pan masala,0,,,,,,ALEMBIC-( ENTERON-GASTRO ),,,52.0
1093418,magamycin inj 1gm,,injection,magamycin,magamycin injection 1000,0,magamycin,magamycin,magamycin,magamycin,,( AMTEK ) MARKETING @ SERVICES,,,361.51
1093441,sucrapen o (syp). 100ml,,syrup,,sucrapen o syrup . 100,1,,,,,,MOREPAN LAB LTD,,,91.5
1093484,cefop-az 125 kid 1*10,,others,cefop az 125 paediatric 10s,cefop az 125 paediatric 10s,0,cefop az 125 paediatric,cefop az 125,cefop az,cefop,,MEDLEY-( NUTRAKARE ),,,99.0
1093567,multivate vision 1*15,,others,multivate vision 15s,multivate vision 15s,0,multivate vision,multivate,multivate,multivate,,UNIVERSAL,,,187.5
1093644,clofoam cream 30gm,,others,clofoam,clofoam cream 30,0,clofoam,clofoam,clofoam,clofoam,,CIPLA-( NURTURE-1 ),,,117.7
1093685,metstamlo 25 1*10,,others,metstamlo 25 10s,metstao 25 10s,0,metstamlo 25,metstamlo,metstamlo,metstamlo,,DR.REDDY-[ AQURA HG ],,,61.5
1093687,metstamlo 1*10,,others,metstamlo 10s,metstao 10s,0,metstamlo,metstamlo,metstamlo,metstamlo,,DR.REDDY-[ AQURA HG ],,,111.1
1093859,peo-sr m-75 1*10,,others,peo m 75 10s,peo m 75 10s,0,peo m 75,peo m,peo,peo,,IPCA=( INNOVA ),,,95.0
1093875,himcocid sf(mint) 200ml,,others,himcocid sf mint,himcocid sf mint 200,0,himcocid sf,himcocid,himcocid,himcocid,,HIMALAYA (ZINDEL-WELLNESS),,,105.0
1093886,pentasa sach. 1gm 1gm,,others,,pentasa sach. 1000 1,0,,,,,,FERRING ( MULTISPECIALITY),,,60.9
1093983,unigel 30gm,,others,,unigel 30,0,,,,,,UNICHEM PHARMA,,,58.3
1094007,redispar-0.5 1*10,,others,redispar 0.5 10s,redispar 0.5 10s,0,redispar 0.5,redispar,redispar,redispar,,DR.REDDY^S LABORATORIES LTD.,,,105.0
1094017,faktu onit.(30gm) 30gm,,others,faktu onit.,faktu onit. 30,0,faktu,faktu,faktu,faktu,,SUN PHARMA=[ REXTAR ],,,131.0
1094047,himcocid (saunf) 200ml,,others,himcocid saunf,himcocid saunf 200,0,himcocid,himcocid,himcocid,himcocid,,HIMALAYA (ZINDEL-WELLNESS),,,95.0
1094152,redispar-2.5 1*10,,others,redispar 2.5 10s,redispar 2.5 10s,0,redispar 2.5,redispar,redispar,redispar,,DR.REDDY^S LABORATORIES LTD.,,,250.0
1104187,actisprin-150 mg 1*14,,others,actisprin,actisprin 150 1 14,0,actisprin,actisprin,actisprin,actisprin,,ALKEM-(*MEDIVA ),,,5.86
1104188,actisprin-75 mg 1*14,,others,actisprin,actisprin 75 1 14,0,actisprin,actisprin,actisprin,actisprin,,ALKEM-(*MEDIVA ),,,3.72
1104237,trikatu sys 200ml,,others,trikatu sys,trikatu sys 200,0,trikatu,trikatu,trikatu,trikatu,,HIMALAYA (ZINDEL-WELLNESS),,,105.0
1104239,psomeal met 0.2mg 1*10,,others,psomeal met,psomeal met 0.2 10s,0,psomeal,psomeal,psomeal,psomeal,,UNISEARCH CD,,,0.0
1104254,protocheck dsr 1*10,,others,protocheck dsr 10s,protocheck dsr 10s,0,protocheck dsr,protocheck,protocheck,protocheck,,IPCA=( INTIMA ),,,85.0
1104255,protocheck fast 1*10,,others,protocheck fast 10s,protocheck fast 10s,0,protocheck fast,protocheck,protocheck,protocheck,,IPCA=( ALTUS ),,,74.0
1104290,pentasa sach. 2gm 2gm,,others,,pentasa sach. 2,0,,,,,,FERRING ( MULTISPECIALITY),,,99.75
1104355,imudrops singules 0.5ml,,others,,imudrops singules 0.5,0,,,,,,CIPLA-( FORESIGHT ),,,49.0
1104372,enzoflex 4mg 1*10,,others,enzoflex,enzoflex 4 10s,0,enzoflex,enzoflex,enzoflex,enzoflex,,ALKEM-(BERGEN_ASTA),,,98.75
1104373,enzoflex 8mg 1*10,,others,enzoflex,enzoflex 8 10s,0,enzoflex,enzoflex,enzoflex,enzoflex,,ALKEM-(BERGEN_ASTA),,,160.0
1104406,coldspray 1,,others,,coldspray 1,0,,,,,,CIPLA-( IMPULSE ),,,0.0
1104467,shodowz spf 20 75gm,,others,shodowz spf 20,shodowz spf 20 75,0,shodowz spf,shodowz,shodowz,shodowz,,DR.REDDY^S LABORATORIES LTD.,,,0.0
1104521,lm single use s1 size 1,,others,lm single use s1 size 1,lm single use s1 size 1,0,lm single use s1 size,lm single use s1,lm single use,lm single,,NEON LAB.,,,1890.0
1104522,lm single use s2 size 2,,others,lm single use s2 size 2,lm single use s2 size 2,0,lm single use s2 size,lm single use s2,lm single use,lm single,,NEON LAB.,,,0.0
1104523,lm single use s5 size 5,,others,lm single use s5 size 5,lm single use s5 size 5,0,lm single use s5 size,lm single use s5,lm single use,lm single,,NEON LAB.,,,1890.0
1104524,lm single use s6 size 6,,others,lm single use s6 size 6,lm single use s6 size 6,0,lm single use s6 size,lm single use s6,lm single use,lm single,,NEON LAB.,,,0.0
1104525,lm single use s 1.5 1.5,,others,lm single use s 1.5 1.5,lm single use s 1.5,0,lm single use s 1.5,lm single use s,lm single use,lm single,,NEON LAB.,,,1890.0
1104526,lm single use s 2.5 2.5,,others,lm single use s 2.5 2.5,lm single use s 2.5,0,lm single use s 2.5,lm single use s,lm single use,lm single,,NEON LAB.,,,0.0
1104544,freego[150gm] 150gm,,others,freego[150gm],freego[150] 150,0,freego[150gm],freego[150gm],freego[150gm],freego[150gm],,ALEMBIC-( ENTERON-GASTRO ),,,380.2
1104608,plavas 75 10tab,,others,plavas 75 10s,plavas 75 10s,0,plavas 75,plavas,plavas,plavas,,ALEMBIC-( SUMMIT ),,,28.1
1104609,plavas 150 1*10,,others,plavas 150 10s,plavas 150 10s,0,plavas 150,plavas,plavas,plavas,,ALEMBIC-( DAWAR ),,,25.95
1104693,baxter bags,,others,baxter bags,baxter bags,0,baxter,baxter,baxter,baxter,,(DRL),,,0.0
1104768,cefopen 200 1*6,,others,,cefopen 200 6s,0,,,,,,MOREPAN LAB LTD,,,176.0
1104792,hilin gm 1*10,,others,hilingm 10s,hilin 10s,0,hilingm,hilingm,hilingm,hilingm,,DR.REDDY-[ TEAM RHEUMATOLOGY ],,,208.5
1104826,morepenam 1 gm vial,,others,,morepenam 1 vial,0,,,,,,MOREPAN LAB LTD,,,0.0
1104840,varikshamla 1*60,,others,varikshamla 60s,varikshaa 60s,0,varikshamla,varikshamla,varikshamla,varikshamla,,HIMALAYA,,,75.0
1104893,glimisave m-1 cp 1*30t,,others,glimisave m 1 cp 1 30t,glimisave m 1 cp 30t,0,glimisave m 1 cp 1,glimisave m 1 cp,glimisave m 1,glimisave m,,ERIS-{ PHARMA },,,121.0
1104894,glimisave m-2 cp 1*30t,,others,glimisave m 2 cp 1 30t,glimisave m 2 cp 1 30t,0,glimisave m 2 cp 1,glimisave m 2 cp,glimisave m 2,glimisave m,,ERIS-{ PHARMA },,,180.0
1104899,msbeta-6 mg 1*10,,others,msbeta,msbeta 6 10s,0,msbeta,msbeta,msbeta,msbeta,,UNICHEM PHARMA,,,59.0
1104942,etoganrd-90 1*10,,others,etoganrd 90 10s,etoganrd 90 10s,0,etoganrd 90,etoganrd,etoganrd,etoganrd,,RONYD,,,99.0
1104946,gretcefi 200 1*10,,others,gretcefi 200 10s,gretcefi 200 10s,0,gretcefi 200,gretcefi,gretcefi,gretcefi,,RONYD (ASTA)_,,,89.0
1105256,dycerin gm+tab 1*10,,others,,dycerin+tab 10s,0,,,,,,GLENMARK-[ INTEGRACE ],,,330.0
1105263,alex+syrup [50] 50ml,,syrup,alex+,alex+ syrup [50] 50,1,alex+,alex+,alex+,alex+,,GLENMARK,,,62.0
1105264,alex+syp sf [50ml] 50ml,,others,alex+,alex+ syrup sf [50] 50,1,alex+,alex+,alex+,alex+,,GLENMARK,,,43.6
1105265,alex+syp p 60ml 60ml,,others,alex+,alex+ syrup p 60,1,alex+,alex+,alex+,alex+,,GLENMARK,,,98.0
1105266,alex+syp p 60ml 60ml,,others,alex+,alex+ syrup p 60,1,alex+,alex+,alex+,alex+,,GLENMARK,,,75.0
