item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_cap,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,sku_brand,new_brand,medicine_type_y,new_brand2,cosine,max_cosine,quantity_x,quantity_y,quantity_flag,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
1022217,ovista cap 1*15,,capsule,ovista,ovista 15s,1.0,ovista,ovista,ovista,267956.0,ovista capsule 30s,ovista,ovista 30s,capsule,ovista capsule 30s,0.4999999999999999,0.4999999999999999,15,30,1.0,0.0,ovista capsule 15s,2.0,,,2.0,,,,DR.REDDY^S LABORATORIES LTD.,,,95.76,1,0.4999999999999999
1023071,redotil cap 1*15,,capsule,redotil,redotil 15s,1.0,redotil,redotil,redotil,288126.0,redotil 100mg capsule 15s,redotil,redotil 100 15s,capsule,redotil 100mg capsule 15s,0.8164965809277259,0.8164965809277259,15,15,0.0,0.0,redotil capsule 15s,2.0,,mg,2.0,,100,,DR.REDDY-[ AQURA HG ],,,353.25,1,0.8164965809277259
1033496,ultigest 200mg cap. 1*10,,capsule,ultigest,ultigest 200 10s,1.0,ultigest,ultigest,ultigest,332962.0,ultigest 200 soft gelatin capsule 10s,ultigest,ultigest 200 sg 10s,capsule,ultigest 200 sg capsule 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,0.0,ultigest 200mg capsule 10s,2.0,mg,,2.0,200,,,ALKEM-(*ACE ),,,262.0,1,0.8660254037844387
1034071,race-5 cap 1*10,,capsule,race,race 5 10s,1.0,race,race,race,285706.0,race a 5 mg/2.5 mg capsule 10s,race,race a 5/2.5 10s,capsule,race a 5mg/2.5mg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,race 5 capsule 10s,2.0,,mg,2.0,,5,,ALKEM-(*METABOLICS),,,92.1,1,0.8164965809277259
1045516,vizyl cap 1*15,,capsule,vizyl,vizyl 15s,1.0,vizyl,vizyl,vizyl,339687.0,vizyl capsule 10s,vizyl,vizyl 10s,capsule,vizyl capsule 10s,0.4999999999999999,0.4999999999999999,15,10,1.0,0.0,vizyl capsule 15s,2.0,,,2.0,,,,UNICHEM LAB,,,81.0,1,0.4999999999999999
1046252,safedol cap 1*10,,capsule,safedol,safedol 10s,1.0,safedol,safedol,safedol,295549.0,safedol 100 mg/20 mg capsule 10s,safedol,safedol 100/20 10s,capsule,safedol 100mg/20mg capsule 10s,0.7071067811865475,0.7071067811865475,10,10,0.0,0.0,safedol capsule 10s,2.0,,mg,2.0,,100,,ALKEM-(*ACE ),,,38.0,1,0.7071067811865475
1046471,sd-15 cap 10 cap,,capsule,sd,sd 15 10s,2.0,sd,sd,sd,380537.0,sd-well capsule 10s,sd,sd well 10s,capsule,sd well capsule 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,0.0,sd 15 capsule 10s,2.0,,,2.0,,,,SERUM VACCINE,,,80.7,1,0.6666666666666667
1056797,sterdu cap 10^s,,capsule,sterdu,sterdu 10 s,1.0,sterdu,sterdu,sterdu,317548.0,sterdu 0.5mg capsule 10s,sterdu,sterdu 0.5 10s,capsule,sterdu 0.5mg capsule 10s,0.2886751345948129,0.2886751345948129,,10,1.0,0.0,sterdu capsule 10 s,2.0,,mg,2.0,,0.5,,ALKEM-(*ACE ),,,130.5,1,0.2886751345948129
1057318,presolar cap 1*10,,capsule,presolar,presolar 10s,1.0,presolar,presolar,presolar,279997.0,presolar 50 mg/20 mg capsule 10s,presolar,presolar 50/20 10s,capsule,presolar 50mg/20mg capsule 10s,0.7071067811865475,0.7071067811865475,10,10,0.0,0.0,presolar capsule 10s,2.0,,mg,2.0,,50,,CIPLA-( SPECTRA-NP ),,,42.5,1,0.7071067811865475
1057564,itopan cap 1*10,,capsule,itopan,itopan 10s,1.0,itopan,itopan,itopan,216565.0,itopan 40 mg/150 mg capsule sr 10s,itopan,itopan 40/150 10s,capsule,itopan 40mg/150mg capsule 10s,0.7071067811865475,0.7071067811865475,10,10,0.0,0.0,itopan capsule 10s,2.0,,mg,2.0,,40,,ALKEM-(*ACE ),,,114.5,1,0.7071067811865475
1057681,diasol cap 1*10,,capsule,diasol,diasol 10s,1.0,diasol,diasol,diasol,165819.0,diasol 50mg capsule 10s,diasol,diasol 50 10s,capsule,diasol 50mg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,diasol capsule 10s,2.0,,mg,2.0,,50,,IPCA=( IPM ),,,49.75,1,0.8164965809277259
1058435,niftran cap [10] 1*10,,capsule,niftran,niftran [10] 10s,1.0,niftran,niftran,niftran,253336.0,niftran 100mg capsule 10s,niftran,niftran 100 10s,capsule,niftran 100mg capsule 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,0.0,niftran capsule [10] 10s,2.0,,mg,2.0,,100,,SUN PHARMA=[ URO ],,,97.6,1,0.6666666666666667
1069293,arjuna cap 1*60,,capsule,arjuna,arjuna 60s,1.0,arjuna,arjuna,arjuna,382256.0,arjuna bark capsule 60s,arjuna,arjuna bark 60s,capsule,arjuna bark capsule 60s,0.8164965809277259,0.8164965809277259,60,60,0.0,0.0,arjuna capsule 60s,2.0,,,2.0,,,,HIMALAYA (ZANDRA),,,200.0,1,0.8164965809277259
1069329,lyrica-150 cap 1*14,,capsule,lyrica,lyrica 150 1 14,1.0,lyrica,lyrica,lyrica,232862.0,lyrica 150mg capsule 14s,lyrica,lyrica 150 14s,capsule,lyrica 150mg capsule 14s,0.5773502691896258,0.5773502691896258,,14,1.0,0.0,lyrica 150 capsule 1 14,2.0,,mg,2.0,,150,,PFIZER-( MYLAN ),,,1152.32,1,0.5773502691896258
1069330,lyrica 75 cap 1*14,,capsule,lyrica,lyrica 75 1 14,1.0,lyrica,lyrica,lyrica,232863.0,lyrica 75mg capsule 14s,lyrica,lyrica 75 14s,capsule,lyrica 75mg capsule 14s,0.5773502691896258,0.5773502691896258,,14,1.0,0.0,lyrica 75 capsule 1 14,2.0,,mg,2.0,,75,,PFIZER-( MYLAN ),,,884.1,1,0.5773502691896258
1069531,venla xr-150mg cap 1*10,,capsule,venla,venla 150 10s,1.0,venla,venla,venla,336738.0,venla  xr 75 capsule 10s,venla,venla 75 10s,capsule,venla 75 capsule 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,0.0,venla 150mg capsule 10s,2.0,mg,,2.0,150,,,ERIS ETERNA,,,162.85,1,0.6666666666666667
1069565,folinine cap 1*10,,capsule,folinine,folinine 10s,1.0,folinine,folinine,folinine,196950.0,folinine d capsule 10s,folinine,folinine d 10s,capsule,folinine d capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,folinine capsule 10s,2.0,,,2.0,,,,WANBURY-(WOW),,,160.5,1,0.8164965809277259
1069571,nervmax-75 cap 1*10,,capsule,nervmax,nervmax 75 10s,1.0,nervmax,nervmax,nervmax,251073.0,nervmax capsule 10s,nervmax,nervmax 10s,capsule,nervmax capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,nervmax 75 capsule 10s,2.0,,,2.0,,,,ALKEM-(BERGEN_ASTA),,,198.0,1,0.8164965809277259
1069762,zegecid 20mg cap,,capsule,zegecid,zegecid 20 capsule,1.0,zegecid,zegecid,zegecid,346487.0,zegecid 20mg capsule 10s,zegecid,zegecid 20 10s,capsule,zegecid 20mg capsule 10s,0.6666666666666667,0.6666666666666667,cap,10,1.0,0.0,zegecid 20mg capsule,0.0,mg,mg,0.0,20,20,,AJANTA-[ VERIZON ],,,50.0,1,0.6666666666666667
1070002,calkariaa 150mg caps 1*10,,capsule,calkariaa,calkariaa 150 10s,1.0,calkariaa,calkariaa,calkariaa,144228.0,calkariaa 300mg capsule 10s,calkariaa,calkariaa 300 10s,capsule,calkariaa 300mg capsule 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,0.0,calkariaa 150mg capsule 10s,0.0,mg,mg,1.0,150,300,,ALKEM-(ARISE),,,55.0,1,0.6666666666666667
1070645,levogel cap 1*10,,capsule,levogel,levogel 10s,1.0,levogel,levogel,levogel,227076.0,levogel 5mg capsule 10s,levogel,levogel 5 10s,capsule,levogel 5mg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,levogel capsule 10s,2.0,,mg,2.0,,5,,UNIVERSAL,,,32.5,1,0.8164965809277259
1070651,primosa-1000 cap 1*15,,capsule,primosa,primosa 1000 15s,1.0,primosa,primosa,primosa,280400.0,primosa 1000 soft gelatin capsule 15s,primosa,primosa 1000 sg 15s,capsule,primosa 1000 sg capsule 15s,0.8660254037844387,0.8660254037844387,15,15,0.0,0.0,primosa 1000 capsule 15s,2.0,,,2.0,,,,UNIVERSAL,,,338.5,1,0.8660254037844387
1070652,primosa-500 cap 1*15,,capsule,primosa,primosa 500 15s,1.0,primosa,primosa,primosa,280401.0,primosa 500mg soft gelatin capsule 15s,primosa,primosa 500 sg 15s,capsule,primosa 500mg sg capsule 15s,0.8660254037844387,0.8660254037844387,15,15,0.0,0.0,primosa 500 capsule 15s,2.0,,mg,2.0,,500,,UNIVERSAL,,,285.0,1,0.8660254037844387
1070752,geriflam caps 1*10,,capsule,geriflam,geriflam 10s,1.0,geriflam,geriflam,geriflam,201258.0,geriflam 100 mg/20 mg capsule 10s,geriflam,geriflam 100/20 10s,capsule,geriflam 100mg/20mg capsule 10s,0.7071067811865475,0.7071067811865475,10,10,0.0,0.0,geriflam capsule 10s,2.0,,mg,2.0,,100,,ALEMBIC-( SPECIA ),,,44.0,1,0.7071067811865475
1081217,seacod cap [10] 1*10,,capsule,seacod,seacod [10] 10s,1.0,seacod,seacod,seacod,309184.0,seacod capsule 10s,seacod,seacod 10s,capsule,seacod capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,seacod capsule [10] 10s,2.0,,,2.0,,,,UNIVERSAL,,,21.12,1,0.8164965809277259
1092677,vaio-24 cap 1*10,,capsule,vaio,vaio 24 10s,1.0,vaio,vaio,vaio,335314.0,vaio 24 soft gelatin capsule 10s,vaio,vaio 24 sg 10s,capsule,vaio 24 sg capsule 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,0.0,vaio 24 capsule 10s,2.0,,,2.0,,,,RONYD,,,119.9,1,0.8660254037844387
1092684,goldcal cap 1*10,,capsule,goldcal,goldcal 10s,1.0,goldcal,goldcal,goldcal,204775.0,goldcal soft gelatin capsule 10s,goldcal,goldcal sg 10s,capsule,goldcal sg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,goldcal capsule 10s,2.0,,,2.0,,,,RONYD,,,141.9,1,0.8164965809277259
1093002,dicfast caps 1*10,,capsule,dicfast,dicfast 10s,1.0,dicfast,dicfast,dicfast,165971.0,dicfast 50 mg capsule 10s,dicfast,dicfast 50 10s,capsule,dicfast 50mg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,dicfast capsule 10s,2.0,,mg,2.0,,50,,FOREGEN HEALTHCARE PVT.LTD.,,,79.5,1,0.8164965809277259
1093768,femarelle cap [15] 1x15,,capsule,femarelle,femarelle [15] 15s,1.0,femarelle,femarelle,femarelle,192770.0,femarelle capsule 15s,femarelle,femarelle 15s,capsule,femarelle capsule 15s,0.8164965809277259,0.8164965809277259,15,15,0.0,0.0,femarelle capsule [15] 15s,2.0,,,2.0,,,,SVIZERA HEALTHCARE,,,475.0,1,0.8164965809277259
1093807,dobesil cap 1*10,,capsule,dobesil,dobesil 10s,1.0,dobesil,dobesil,dobesil,168121.0,dobesil 500mg capsule 10s,dobesil,dobesil 500 10s,capsule,dobesil 500mg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,dobesil capsule 10s,2.0,,mg,2.0,,500,,SUN PHARMA=[ PHARMA-LIFE ],,,214.0,1,0.8164965809277259
1093861,bapter cap 1*10,,capsule,bapter,bapter 10s,1.0,bapter,bapter,bapter,123509.0,bapter 0.4 mg/4 mg capsule 10s,bapter,bapter 0.4/4 10s,capsule,bapter 0.4mg/4mg capsule 10s,0.5345224838248487,0.5345224838248487,10,10,0.0,0.0,bapter capsule 10s,2.0,,mg,2.0,,0.4,,DR.REDDY^S LABORATORIES LTD.,,,180.0,1,0.5345224838248487
1093873,gemcal cap 1*15,,capsule,gemcal,gemcal 15s,1.0,gemcal,gemcal,gemcal,200454.0,gemcal soft gelatin capsule 15s,gemcal,gemcal sg 15s,capsule,gemcal sg capsule 15s,0.8164965809277259,0.8164965809277259,15,15,0.0,0.0,gemcal capsule 15s,2.0,,,2.0,,,,ALKEM-(BERGEN_ASTA),,,300.0,1,0.8164965809277259
1093892,remens-100 cap 1*10,,capsule,remens,remens 100 10s,1.0,remens,remens,remens,288984.0,remens 100mg soft gelatin capsule 10s,remens,remens 100 sg 10s,capsule,remens 100mg sg capsule 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,0.0,remens 100 capsule 10s,2.0,,mg,2.0,,100,,SVIZERA HEALTHCARE,,,151.25,1,0.8660254037844387
1093896,femarelle cap [60] 1x60,,capsule,femarelle,femarelle [60] 60s,1.0,femarelle,femarelle,femarelle,380823.0,femarelle recharge capsule 60s,femarelle,femarelle recharge 60s,capsule,femarelle recharge capsule 60s,0.6666666666666667,0.6666666666666667,60,60,0.0,0.0,femarelle capsule [60] 60s,2.0,,,2.0,,,,SVIZERA HEALTHCARE,,,900.0,1,0.6666666666666667
1104583,luxury cap 1*10,,capsule,luxury,luxury 10s,1.0,luxury,luxury,luxury,232435.0,luxury softgel capsule 10s,luxury,luxury softgel 10s,capsule,luxury softgel capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,luxury capsule 10s,2.0,,,2.0,,,,RONYD,,,599.0,1,0.8164965809277259
1104931,radiance cap 1*15,,capsule,radiance,radiance 15s,1.0,radiance,radiance,radiance,285830.0,radiance  h capsule 15s,radiance,radiance h 15s,capsule,radiance h capsule 15s,0.8164965809277259,0.8164965809277259,15,15,0.0,0.0,radiance capsule 15s,2.0,,,2.0,,,,UNIVERSAL,,,347.76,1,0.8164965809277259
1105002,solitral cap 10+5mg 1*10,,capsule,solitral,solitral 10+5 10s,1.0,solitral,solitral,solitral,314436.0,solitral capsule er 10s,solitral,solitral 10s,capsule,solitral capsule 10s,0.7071067811865475,0.7071067811865475,10,10,0.0,0.0,solitral capsule 10+5mg 10s,2.0,mg,,2.0,10+5,,,SUN PHARMA=[ URO-CARE ],,,382.0,1,0.7071067811865475
1105047,acegrow cap 1*10,,capsule,acegrow,acegrow 10s,1.0,acegrow,acegrow,acegrow,101732.0,acegrow 100mg capsule 10s,acegrow,acegrow 100 10s,capsule,acegrow 100mg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,acegrow capsule 10s,2.0,,mg,2.0,,100,,FOREGEN (GENASIA BIOTECH),,,82.5,1,0.8164965809277259
1105237,flexispaz 8mg cap 1*10,,capsule,flexispaz,flexispaz 8 10s,1.0,flexispaz,flexispaz,flexispaz,195349.0,flexispaz 8 mg/8 mg capsule 10s,flexispaz,flexispaz 8/8 10s,capsule,flexispaz 8mg/8mg capsule 10s,0.9428090415820635,0.9428090415820635,10,10,0.0,0.0,flexispaz 8mg capsule 10s,0.0,mg,mg,0.0,8,8,,GLENMARK-[ INTEGRACE ],,,262.0,1,0.9428090415820635
1105238,flexispaz cap 1*10,,capsule,flexispaz,flexispaz 10s,1.0,flexispaz,flexispaz,flexispaz,195349.0,flexispaz 8 mg/8 mg capsule 10s,flexispaz,flexispaz 8/8 10s,capsule,flexispaz 8mg/8mg capsule 10s,0.5773502691896258,0.5773502691896258,10,10,0.0,0.0,flexispaz capsule 10s,2.0,,mg,2.0,,8,,GLENMARK-[ INTEGRACE ],,,222.5,1,0.5773502691896258
1105261,dycerin caps 50mg 1*10,,capsule,dycerin,dycerin 50 10s,1.0,dycerin,dycerin,dycerin,182746.0,dycerin capsule 10s,dycerin,dycerin 10s,capsule,dycerin capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,dycerin capsule 50mg 10s,2.0,mg,,2.0,50,,,GLENMARK-[ INTEGRACE ],,,146.5,1,0.8164965809277259
1105609,ascovent cap 1*10,,capsule,ascovent,ascovent 10s,1.0,ascovent,ascovent,ascovent,116255.0,ascovent 100mg capsule 10s,ascovent,ascovent 100 10s,capsule,ascovent 100mg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,ascovent capsule 10s,2.0,,mg,2.0,,100,,GLENMARK,,,84.5,1,0.8164965809277259
1105967,dubagest 100 cap 1*10,,capsule,dubagest,dubagest 100 10s,1.0,dubagest,dubagest,dubagest,181881.0,dubagest 100 soft gelatin capsule 10s,dubagest,dubagest 100 sg 10s,capsule,dubagest 100 sg capsule 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,0.0,dubagest 100 capsule 10s,2.0,,,2.0,,,,GLENMARK INTERGRACE G@G,,,207.0,1,0.8660254037844387
1105969,dubagest 300 cap 1*10,,capsule,dubagest,dubagest 300 10s,1.0,dubagest,dubagest,dubagest,181884.0,dubagest 300 soft gelatin capsule 10s,dubagest,dubagest 300 sg 10s,capsule,dubagest 300 sg capsule 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,0.0,dubagest 300 capsule 10s,2.0,,,2.0,,,,GLENMARK INTERGRACE G@G,,,418.0,1,0.8660254037844387
1105970,dubagest 400 cap 1*10,,capsule,dubagest,dubagest 400 10s,1.0,dubagest,dubagest,dubagest,181885.0,dubagest 400mg soft gelatin capsule 10s,dubagest,dubagest 400 sg 10s,capsule,dubagest 400mg sg capsule 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,0.0,dubagest 400 capsule 10s,2.0,,mg,2.0,,400,,GLENMARK INTERGRACE G@G,,,502.0,1,0.8660254037844387
1106039,orle-60 cap 1*10,,capsule,orle,orle 60 10s,1.0,orle,orle,orle,266450.0,orle 120mg capsule 10s,orle,orle 120 10s,capsule,orle 120mg capsule 10s,0.6666666666666667,0.6666666666666667,10,10,0.0,0.0,orle 60 capsule 10s,2.0,,mg,2.0,,120,,EMCURE:-[ CRIANTE ],,,259.0,1,0.6666666666666667
1116797,niftran cap [30] 1*30,,capsule,niftran,niftran [30] 30s,1.0,niftran,niftran,niftran,253334.0,niftran 100mg capsule 30s,niftran,niftran 100 30s,capsule,niftran 100mg capsule 30s,0.6666666666666667,0.6666666666666667,30,30,0.0,0.0,niftran capsule [30] 30s,2.0,,mg,2.0,,100,,SUN PHARMA=[ URO ],,,87.69,1,0.6666666666666667
1117827,fluvista cap 1*10,,capsule,fluvista,fluvista 10s,1.0,fluvista,fluvista,fluvista,196566.0,fluvista 100 mg capsule 10s,fluvista,fluvista 100 10s,capsule,fluvista 100mg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,fluvista capsule 10s,2.0,,mg,2.0,,100,,ZUVENTUS-( ODENEA ),,,65.88,1,0.8164965809277259
1128153,ovstore cap 1*10,,capsule,ovstore,ovstore 10s,1.0,ovstore,ovstore,ovstore,267990.0,ovstore 25mg/1.5mg capsule 10s,ovstore,ovstore 25/1.5 10s,capsule,ovstore 25mg/1.5mg capsule 10s,0.6324555320336759,0.6324555320336759,10,10,0.0,0.0,ovstore capsule 10s,2.0,,mg,2.0,,25,,ALKEM-(*BERGEN-ZURIEVE ),,,140.0,1,0.6324555320336759
1128316,flupixa cap 1*10,,capsule,flupixa,flupixa 10s,1.0,flupixa,flupixa,flupixa,196349.0,flupixa 100mg capsule 10s,flupixa,flupixa 100 10s,capsule,flupixa 100mg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,flupixa capsule 10s,2.0,,mg,2.0,,100,,AJANTA-[ AUREUS ],,,65.0,1,0.8164965809277259
1128431,cystopen cap [ran] 1*10,,capsule,cystopen,cystopen [ran] 10s,1.0,cystopen,cystopen,cystopen,160681.0,cystopen capsule 10s,cystopen,cystopen 10s,capsule,cystopen capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,cystopen capsule [ran] 10s,2.0,,,2.0,,,,SUN PHARMA=[ URO-CARE ],,,730.0,1,0.8164965809277259
1129080,grofer cap 1*10,,capsule,grofer,grofer 10s,1.0,grofer,grofer,grofer,205662.0,grofer 25mg capsule 10s,grofer,grofer 25 10s,capsule,grofer 25mg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,grofer capsule 10s,2.0,,mg,2.0,,25,,WANBURY-(WOW),,,95.0,1,0.8164965809277259
1150898,regermina cap 1,,capsule,regermina,regermina 1,1.0,regermina,regermina,regermina,288414.0,regermina capsule 10s,regermina,regermina 10s,capsule,regermina capsule 10s,0.4999999999999999,0.4999999999999999,,10,1.0,0.0,regermina capsule 1,2.0,,,2.0,,,,MOREPAN LAB LTD,,,98.5,1,0.4999999999999999
1151523,uprise-xt cap 1*10,,capsule,uprise,uprise 10s,1.0,uprise,uprise,uprise,333888.0,uprise   xt soft gelatin capsule 10s,uprise,uprise sg 10s,capsule,uprise sg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,uprise capsule 10s,2.0,,,2.0,,,,ALKEM (BERGEN_NOVA),,,157.0,1,0.8164965809277259
1162667,cernos cap 1*10,,capsule,cernos,cernos 10s,1.0,cernos,cernos,cernos,150001.0,cernos soft gelatin capsule 10s,cernos,cernos sg 10s,capsule,cernos sg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,cernos capsule 10s,2.0,,,2.0,,,,SUN PHARMA=[ URO-CARE ],,,139.0,1,0.8164965809277259
1162770,celol cap + 1*15,,capsule,celol,celol plus 15s,1.0,celol,celol,celol,149342.0,celol capsule 15s,celol,celol 15s,capsule,celol capsule 15s,0.8164965809277259,0.8164965809277259,15,15,0.0,0.0,celol capsule plus 15s,2.0,,,2.0,,,,(EMCURE),,,252.15,1,0.8164965809277259
1162940,emraldo cap 1*10,,capsule,emraldo,emraldo 10s,1.0,emraldo,emraldo,emraldo,186113.0,emraldo soft gelatin capsule 10s,emraldo,emraldo sg 10s,capsule,emraldo sg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,emraldo capsule 10s,2.0,,,2.0,,,,ZENVITA HEALTHCARE PVT LTD.,,,298.0,1,0.8164965809277259
1163010,simfast cap 1*10,,capsule,simfast,simfast 10s,1.0,simfast,simfast,simfast,312207.0,simfast 140mg capsule 10s,simfast,simfast 140 10s,capsule,simfast 140mg capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,simfast capsule 10s,2.0,,mg,2.0,,140,,WINMARK,,,70.0,1,0.8164965809277259
1163176,wgo-28 cap 1*10,,capsule,wgo,wgo 28 10s,1.0,wgo,wgo,wgo,342509.0,wgo 28 soft gelatin capsule 10s,wgo,wgo 28 sg 10s,capsule,wgo 28 sg capsule 10s,0.8660254037844387,0.8660254037844387,10,10,0.0,0.0,wgo 28 capsule 10s,2.0,,,2.0,,,,MITIS BIOMEDICS LTD.,,,149.99,1,0.8660254037844387
1163293,caldowell cap 1*10,,capsule,caldowell,caldowell 10s,1.0,caldowell,caldowell,caldowell,379278.0,caldowell softgel capsule 10s,caldowell,caldowell softgel 10s,capsule,caldowell softgel capsule 10s,0.8164965809277259,0.8164965809277259,10,10,0.0,0.0,caldowell capsule 10s,2.0,,,2.0,,,,STANLEY HEALTHCARE PVT.LTD.,,,129.0,1,0.8164965809277259
