item_code,brand,Master Catalogue name,medicine_type,exp_sku_brand,mod_brand,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,pack,manufacturer,catg,subcatg,mrp
30610,charge-gs tab 10s,,tablet,charge gs,charge gs 10s,1,charge,charge,charge,10s,MEDSHINE PHARMACEUTICALS,,,250.0
16332,cipzox tab 6s,,tablet,cipzox,cipzox 6s,1,cipzox,cipzox,cipzox,6s,CIPLA GENRIC,,,73.7
30616,glifmed tab 10s,,tablet,glifmed,glifmed 10s,1,glifmed,glifmed,glifmed,10s,MEDSHINE PHARMACEUTICALS,,,250.0
16293,levotix  tab 10s,,tablet,levotix,levotix 10s,1,levotix,levotix,levotix,10s,AVTIX HEALTHCARE,,,55.42
27645,myofatige tab 10s,,tablet,myofatige,myofatige 10s,1,myofatige,myofatige,myofatige,10s,Fourrts India Laboratories,,,207.0
30606,nicmox-lb tab 10s,,tablet,nicmox lb,nicmox lb 10s,1,nicmox,nicmox,nicmox,10s,MEDSHINE PHARMACEUTICALS,,,295.0
22501,novoace p tab 10s,,tablet,novoace p,novoace p 10s,1,novoace,novoace,novoace,10s,MEDSTRY BIOTECH,,,45.0
30615,ryker-q tab 10s,,tablet,ryker q,ryker q 10s,1,ryker,ryker,ryker,10s,MEDSHINE PHARMACEUTICALS,,,550.11
30608,shecod tab 10s,,tablet,shecod,shecod 10s,1,shecod,shecod,shecod,10s,MEDSHINE PHARMACEUTICALS,,,375.0
30604,strength-d3 tab 10s,,tablet,strength d3,strength d3 10s,1,strength,strength,strength,10s,MEDSHINE PHARMACEUTICALS,,,150.0
30603,strength-k2 tab 10s,,tablet,strength k2,strength k2 10s,1,strength,strength,strength,10s,MEDSHINE PHARMACEUTICALS,,,250.0
334630547,trimaze tab 10s,,tablet,trimaze,trimaze 10s,1,trimaze,trimaze,trimaze,10s,A.R PHARMACEUTICALS,,,230.0
16283,diclodime plus tab 10s,,tablet,diclodime plus,diclodime plus 10s,1,diclodime,diclodime,diclodime,10s,AVTIX HEALTHCARE,,,59.46
27328,vebafit tab 10s,,tablet,vebafit,vebafit 10s,1,vebafit,vebafit,vebafit,10s,VEBLEN PHARMACEUTICAL PVT. LTD,,,89.0
30607,fizi-12 tab 10s,,tablet,fizi,fizi 12 10s,1,fizi,fizi,fizi,10s,MEDSHINE PHARMACEUTICALS,,,150.0
9263,amlopress 10 tab 10s,,tablet,amlopress,aopress 10 10s,1,amlopress,amlopress,amlopress,10s,CIPLA LTD,,,53.87
317730916,arnoza 50 tab 10s,,tablet,arnoza,arnoza 50 10s,1,arnoza,arnoza,arnoza,10s,TORRENT,,,290.0
9867,mankind-placida tab 10s,,tablet,mankind placida,mankind placida 10s,1,mankind,mankind,mankind,10s,MANKIND,,,75.0
29335,bilmegh tab 10s,,tablet,bilmegh,bilmegh 10s,1,bilmegh,bilmegh,bilmegh,10s,Meghmani Lifesciences,,,128.0
359531080,vorteil tab 10s,,tablet,vorteil,vorteil 10s,1,vorteil,vorteil,vorteil,10s,Meghmani Lifesciences,,,299.0
29646,murine-xt tab 15s,,tablet,murine,murine 15s,1,murine,murine,murine,15s,AKCENT HEALTHCARE,,,1498.0
22510,zeromol 650 tab 10s,,tablet,zeromol,zeromol 650 10s,1,zeromol,zeromol,zeromol,10s,MEDSTRY BIOTECH,,,20.2
28983,cartimeg tab 10s,,tablet,cartimeg,cartimeg 10s,1,cartimeg,cartimeg,cartimeg,10s,AXONWAVE PHARMACEUTICALS,,,0.0
29263,upmark-d3 60k tab 5c,,tablet,upmark d3 60k,upmark d3 60k 5c,1,upmark d3,upmark,upmark,5c,GRANDCURE HEALTHCARE PVT LTD,,,120.0
317730914,arnoza 100 tab 10s,,tablet,arnoza,arnoza 100 10s,1,arnoza,arnoza,arnoza,10s,TORRENT,,,390.0
28410,bacifoe-l tab 10s,,tablet,bacifoe l,bacifoe l 10s,1,bacifoe,bacifoe,bacifoe,10s,INSUTIK PHARMACEUTICALS PVT.LT,,,88.0
29495,bongem-k2 tab 10s,,tablet,bongem k2,bongem k2 10s,1,bongem,bongem,bongem,10s,ANTARES PHARMACEUTICALS PVT LT,,,210.0
28393,fetik-50 tab 2s,,tablet,fetik,fetik 50 2s,1,fetik,fetik,fetik,2s,INSUTIK PHARMACEUTICALS PVT.LT,,,20.0
28413,insupod tab 10s,,tablet,insupod,insupod 10s,1,insupod,insupod,insupod,10s,INSUTIK PHARMACEUTICALS PVT.LT,,,120.0
28417,kubmol 650 tab 20s,,tablet,kubmol,kubmol 650 20s,1,kubmol,kubmol,kubmol,20s,INSUTIK PHARMACEUTICALS PVT.LT,,,41.2
355929891,nevoli tab 10s,,tablet,nevoli,nevoli 10s,1,nevoli,nevoli,nevoli,10s,Avolife Pharmaceutical Private,,,299.0
22500,novoace mr tab 10s,,tablet,novoace,novoace 10s,1,novoace,novoace,novoace,10s,MEDSTRY BIOTECH,,,69.0
29499,rightgut tab 10s,,tablet,rightgut,rightgut 10s,1,rightgut,rightgut,rightgut,10s,ANTARES PHARMACEUTICALS PVT LT,,,0.0
318331051,sacuval 50 tab 10s,,tablet,sacuval,sacuval 50 10s,1,sacuval,sacuval,sacuval,10s,ALKEM,,,189.0
24622,vitcure tab 10tab 10s,,tablet,vitcure,vitcure 10s,1,vitcure,vitcure,vitcure,10s,SANSTUTI PHARMACEUTICALS,,,180.0
30757,xiligio 25/5 tab 10s,,tablet,xiligio 25/5,xiligio 25/5 10s,1,xiligio,xiligio,xiligio,10s,TORRENT,,,861.0
28935,parariv-500 tab 10s,,tablet,parariv,parariv 500 10s,1,parariv,parariv,parariv,10s,EAST AFRICAN,,,0.0
29271,tryptor-plus tab 10s,,tablet,tryptor plus,tryptor plus 10s,1,tryptor,tryptor,tryptor,10s,TORION LABS,,,0.0
24810,bronchonac tab 10s,,tablet,bronchonac,bronchonac 10s,1,bronchonac,bronchonac,bronchonac,10s,DEVANN PHARMACEUTICALS,,,199.0
30772,lycogem forte tab 10s,,tablet,lycogem forte,lycogem forte 10s,1,lycogem,lycogem,lycogem,10s,AUREATE HEALTHCARE PVT LTD,,,180.0
1482,neem tab 60s,,tablet,neem,neem 60s,1,neem,neem,neem,60s,HIMALAYA DRUG CO.,,,200.0
29217,resumer tab 10s,,tablet,resumer,resumer 10s,1,resumer,resumer,resumer,10s,VIGILANT LIFE SCIENCES PVT LTD,,,270.0
9303,boneseq-k2 7 tab 10s,,tablet,boneseq k2,boneseq k2 7 10s,1,boneseq,boneseq,boneseq,10s,SEQMED,,,230.0
28924,parariv-650 tab 10s,,tablet,parariv,parariv 650 10s,1,parariv,parariv,parariv,10s,EAST AFRICAN,,,0.0
28385,acfoe-az 500mg tab 3s,,tablet,acfoe az,acfoe az 500 3s,1,acfoe,acfoe,acfoe,3s,INSUTIK PHARMACEUTICALS PVT.LT,,,71.0
28210,admate 400mg tab 10s,,tablet,admate,admate 400 10s,1,admate,admate,admate,10s,RLV LIFE SCIENCES PVT. LTD.,,,520.0
28950,caldimand tab 10s,,tablet,caldimand,caldimand 10s,1,caldimand,caldimand,caldimand,10s,PANZIN HEALTHCARE PVT.LTD,,,0.0
28951,fiximful tab 10s,,tablet,fiximful,fiximful 10s,1,fiximful,fiximful,fiximful,10s,PANZIN HEALTHCARE PVT.LTD,,,0.0
28956,panziclav-625 tab 10s,,tablet,panziclav,panziclav 625 10s,1,panziclav,panziclav,panziclav,10s,PANZIN HEALTHCARE PVT.LTD,,,0.0
28957,panzilest tab 10s,,tablet,panzilest,panzilest 10s,1,panzilest,panzilest,panzilest,10s,PANZIN HEALTHCARE PVT.LTD,,,0.0
28958,panzolid tab alu 10s,,tablet,panzolid,panzolid alu 10s,1,panzolid,panzolid,panzolid,10s,PANZIN HEALTHCARE PVT.LTD,,,0.0
874,purim tab 60s,,tablet,purim,purim 60s,1,purim,purim,purim,60s,HIMALAYA DRUG CO.,,,120.0
28959,romfirst tab 10s,,tablet,romfirst,romfirst 10s,1,romfirst,romfirst,romfirst,10s,PANZIN HEALTHCARE PVT.LTD,,,0.0
28960,sturdox-cv 325 tab 10s,,tablet,sturdox cv,sturdox cv 325 10s,1,sturdox,sturdox,sturdox,10s,PANZIN HEALTHCARE PVT.LTD,,,0.0
28961,zinfen-p tab 10s,,tablet,zinfen p,zinfen p 10s,1,zinfen,zinfen,zinfen,10s,PANZIN HEALTHCARE PVT.LTD,,,0.0
29492,antarab dsr tab 10s,,tablet,antarab dsr,antarab dsr 10s,1,antarab,antarab,antarab,10s,ANTARES PHARMACEUTICALS PVT LT,,,0.0
29496,cartipure c tab 10s,,tablet,cartipure c,cartipure c 10s,1,cartipure,cartipure,cartipure,10s,ANTARES PHARMACEUTICALS PVT LT,,,258.0
29498,musnuron fd tab 10s,,tablet,musnuron fd,musnuron fd 10s,1,musnuron,musnuron,musnuron,10s,ANTARES PHARMACEUTICALS PVT LT,,,425.0
3985,shigru bone and joint tab 60s,,tablet,shigru bone and joint,shigru bone and joint 60s,1,shigru bone and,shigru bone,shigru,60s,HIMALAYA DRUG CO.,,,176.42
25929,eido fe tab(5%) 10s,,tablet,eido fe,eido fe 5% 10s,1,eido,eido,eido,10s,LA RENON HEALTHCARE,,,159.0
28989,osical tab 30s,,tablet,osical,osical 30s,1,osical,osical,osical,30s,CIPLA LTD,,,0.0
28379,renglif 10mg tab 15s,,tablet,renglif,renglif 10 15s,1,renglif,renglif,renglif,15s,LAISSEZ FAIRE PHARMACEUTICALS,,,191.35
28962,zinfen-sp tab 10s,,tablet,zinfen sp,zinfen sp 10s,1,zinfen,zinfen,zinfen,10s,PANZIN HEALTHCARE PVT.LTD,,,0.0
317730915,arnoza 200 tab 10s,,tablet,arnoza,arnoza 200 10s,1,arnoza,arnoza,arnoza,10s,TORRENT,,,500.0
30397,multimate tab 15s,,tablet,multimate,multimate 15s,1,multimate,multimate,multimate,15s,Ultimate Healthcare,,,72.0
351830863,ocuwipes at wet wipes 10 tab 10s,,tablet,ocuwipes at wet wipes,ocuwipes at wet wipes 10 10s,1,ocuwipes at wet,ocuwipes at,ocuwipes,10s,NEOMEDIX HEALTHCARE LTD.,,,245.0
27695,briv+ tablets 75mg 10s,,tablet,briv+,briv+ 75 10s,1,briv+,briv+,briv+,10s,DR. REDDY LABORATORIES LTD,,,242.0
26654,omeflex e tab 10s,,tablet,omeflex e,omeflex e 10s,1,omeflex,omeflex,omeflex,10s,AXONWAVE PHARMACEUTICALS,,,325.0
319431164,aztofa 5mg tab 10s,,tablet,aztofa,aztofa 5 10s,1,aztofa,aztofa,aztofa,10s,RANBAXY,,,384.0
361030875,maxogold tab 10s,,tablet,maxogold,maxogold 10s,1,maxogold,maxogold,maxogold,10s,MALOOK PHARMACEUTICALS,,,307.0
27919,curfit tab 10s,,tablet,curfit,curfit 10s,1,curfit,curfit,curfit,10s,HEALTHICA PHARMACEUTICALS,,,649.0
29493,antgaba nt 100 tab 10s,,tablet,antgaba nt,antgaba nt 100 10s,1,antgaba,antgaba,antgaba,10s,ANTARES PHARMACEUTICALS PVT LT,,,0.0
27631,deri enz tab 10s,,tablet,deri enz,deri enz 10s,1,deri,deri,deri,10s,DERMAJOINT INDIA,,,550.0
29184,mucichek 600mg tab 10s,,tablet,mucichek,mucichek 600 10s,1,mucichek,mucichek,mucichek,10s,PANZIN HEALTHCARE PVT.LTD,,,0.0
29220,vilshine m 50/1000 tab 10s,,tablet,vilshine m 50/1000,vilshine m 50/1000 10s,1,vilshine m,vilshine,vilshine,10s,VIGILANT LIFE SCIENCES PVT LTD,,,99.99
8297,amlopress l tab 15s,,tablet,amlopress l,aopress l 15s,1,amlopress,amlopress,amlopress,15s,CIPLA LTD,,,180.89
29494,antgaba nt 400 tab 10s,,tablet,antgaba nt,antgaba nt 400 10s,1,antgaba,antgaba,antgaba,10s,ANTARES PHARMACEUTICALS PVT LT,,,0.0
24888,histapex md tab 10s,,tablet,histapex,histapex 10s,1,histapex,histapex,histapex,10s,NEUROPEX PHARMACEUTICAL,,,145.0
30756,xiligio 10/5 tab 10s,,tablet,xiligio 10/5,xiligio 10/5 10s,1,xiligio,xiligio,xiligio,10s,TORRENT,,,788.0
29500,ovahance tab 10s,,tablet,ovahance,ovahance 10s,1,ovahance,ovahance,ovahance,10s,HEALTHICA PHARMACEUTICALS,,,0.0
1488,shallaki tab 60s,,tablet,shallaki,shallaki 60s,1,shallaki,shallaki,shallaki,60s,HIMALAYA DRUG CO.,,,200.0
28176,xifiron tab 10s,,tablet,xifiron,xifiron 10s,1,xifiron,xifiron,xifiron,10s,YTILIGA PHARMACEUTICALS,,,174.0
22761,bioffer xt tab 10s,,tablet,bioffer,bioffer 10s,1,bioffer,bioffer,bioffer,10s,MICRO,,,117.0
23484,nosmok 4 mg 4 tablet,,tablet,nosmok,nosmok 4,1,nosmok,nosmok,nosmok,4 tablet,J.B.CHEMICALS & PHARMACEUTICAL,,,120.0
30127,flutee 20 tab 10s,,tablet,flutee,flutee 20 10s,1,flutee,flutee,flutee,10s,TALENT INDIA LTD,,,43.43
23900,idbb tab 10s,,tablet,idbb,idbb 10s,1,idbb,idbb,idbb,10s,WORIOX PHARMACEUTICALS,,,120.0
351830862,ocuwipes at wet wipes tab 20s,,tablet,ocuwipes at wet wipes,ocuwipes at wet wipes 20s,1,ocuwipes at wet,ocuwipes at,ocuwipes,20s,NEOMEDIX HEALTHCARE LTD.,,,490.0
1489,tagara (valerian) tab 60c,,tablet,tagara valerian,tagara valerian 60c,1,tagara,tagara,tagara,60c,HIMALAYA DRUG CO.,,,215.63
28378,eplar 25mg tab 15s,,tablet,eplar,eplar 25 15s,1,eplar,eplar,eplar,15s,LAISSEZ FAIRE PHARMACEUTICALS,,,360.0
4449,trikatu tab 60s,,tablet,trikatu,trikatu 60s,1,trikatu,trikatu,trikatu,60s,HIMALAYA DRUG CO.,,,180.0
23906,worifor-xt tab 15s,,tablet,worifor,worifor 15s,1,worifor,worifor,worifor,15s,WORIOX PHARMACEUTICALS,,,195.0
332430499,kepease 10 tab 10s,,tablet,kepease,kepease 10 10s,1,kepease,kepease,kepease,10s,KEPLER,,,22.0
332430505,kitler 130 sb tab 10s,,tablet,kitler 130 sb,kitler 130 sb 10s,1,kitler 130,kitler,kitler,10s,KEPLER,,,250.0
332430507,kitler 65 sb tab 10s,,tablet,kitler 65 sb,kitler 65 sb 10s,1,kitler 65,kitler,kitler,10s,KEPLER,,,140.0
8743,amlopress tl tab 15s,,tablet,amlopress tl,aopress tl 15s,1,amlopress,amlopress,amlopress,15s,CIPLA LTD,,,121.97
341230777,bupatch 10mcg tab 1pouch,,tablet,bupatch 10mcg,bupatch 10 1pouch,1,bupatch,bupatch,bupatch,1pouch,AUREATE HEALTHCARE PVT LTD,,,1089.0
30925,bylotine m tab 10s,,tablet,bylotine m,bylotine m 10s,1,bylotine,bylotine,bylotine,10s,ZYDILLAC DERMACEUTICALS,,,154.0
30926,bylotine tab 10s,,tablet,bylotine,bylotine 10s,1,bylotine,bylotine,bylotine,10s,ZYDILLAC DERMACEUTICALS,,,128.4
27195,citcopex tab 10s,,tablet,citcopex,citcopex 10s,1,citcopex,citcopex,citcopex,10s,NEUROPEX PHARMACEUTICAL,,,700.0
331730354,ecpex forte tab 10s,,tablet,ecpex forte,ecpex forte 10s,1,ecpex,ecpex,ecpex,10s,NEUROPEX PHARMACEUTICAL,,,110.0
22316,escipex forte tab 10s,,tablet,escipex forte,escipex forte 10s,1,escipex,escipex,escipex,10s,NEUROPEX PHARMACEUTICAL,,,90.0
22507,etoib t tab 10s,,tablet,etoib t,etoib t 10s,1,etoib,etoib,etoib,10s,MEDSTRY BIOTECH,,,209.0
317730917,hefcard 200 tab 10s,,tablet,hefcard,hefcard 200 10s,1,hefcard,hefcard,hefcard,10s,TORRENT,,,500.0
30504,kitler 100 tab 10s,,tablet,kitler,kitler 100 10s,1,kitler,kitler,kitler,10s,KEPLER,,,160.0
28591,mekored-xt tab 10s,,tablet,mekored,mekored 10s,1,mekored,mekored,mekored,10s,SUNMECK PHARMA PRIVATE LIMITED,,,148.0
22502,novoace sp tab 10s,,tablet,novoace sp,novoace sp 10s,1,novoace,novoace,novoace,10s,MEDSTRY BIOTECH,,,83.0
30907,qmarco 369 tab 15s,,tablet,qmarco,qmarco 369 15s,1,qmarco,qmarco,qmarco,15s,AKCENT HEALTHCARE,,,675.0
30931,rootbless tab 10s,,tablet,rootbless,rootbless 10s,1,rootbless,rootbless,rootbless,10s,ZYDILLAC DERMACEUTICALS,,,208.0
318331049,sacuval 100 tab 10s,,tablet,sacuval,sacuval 100 10s,1,sacuval,sacuval,sacuval,10s,ALKEM,,,375.0
318331050,sacuval 200 tab 10s,,tablet,sacuval,sacuval 200 10s,1,sacuval,sacuval,sacuval,10s,ALKEM,,,490.0
593,rumalaya tab 60s,,tablet,rumalaya,rumalaya 60s,1,rumalaya,rumalaya,rumalaya,60s,HIMALAYA DRUG CO.,,,125.0
30908,vakion 400 tab 60s,,tablet,vakion,vakion 400 60s,1,vakion,vakion,vakion,60s,AKCENT HEALTHCARE,,,1990.0
30909,vakiz 20 tab 10s,,tablet,vakiz,vakiz 20 10s,1,vakiz,vakiz,vakiz,10s,AKCENT HEALTHCARE,,,198.0
24197,voglibite gm1/0.3 tab 10s,,tablet,voglibitegm1/0.3,voglibite1/0.3 10s,1,voglibitegm1/0.3,voglibitegm1/0.3,voglibitegm1/0.3,10s,CORONA REMIDIES PVT.LTD,,,108.9
29115,zynnicor 5 tab 20s,,tablet,zynnicor,zynnicor 5 20s,1,zynnicor,zynnicor,zynnicor,20s,ZYDUS CADILA HEALTHCARE LTD,,,0.0
319431165,aztofa  xr 11mg tab 10s,,tablet,aztofa,aztofa 11 10s,1,aztofa,aztofa,aztofa,10s,RANBAXY,,,950.0
30598,bromomeck tab 10s,,tablet,bromomeck,bromomeck 10s,1,bromomeck,bromomeck,bromomeck,10s,SUNMECK PHARMA PRIVATE LIMITED,,,590.0
3984,shatavari tab 60s,,tablet,shatavari,shatavari 60s,1,shatavari,shatavari,shatavari,60s,HIMALAYA DRUG CO.,,,200.0
23453,calcinefh tab 10s,,tablet,calcinefh,calcinefh 10s,1,calcinefh,calcinefh,calcinefh,10s,RENCORD LIFE SCIENCES PVT LTD,,,41.0
595,speman tab 60s,,tablet,speman,speman 60s,1,speman,speman,speman,60s,HIMALAYA DRUG CO.,,,180.0
22506,etoib 90 tab 10s,,tablet,etoib,etoib 90 10s,1,etoib,etoib,etoib,10s,MEDSTRY BIOTECH,,,125.0
29371,hakosil-d-8 tab 10s,,tablet,hakosil d,hakosil d 8 10s,1,hakosil,hakosil,hakosil,10s,YTILIGA PHARMACEUTICALS,,,0.0
21577,sualin bottle 50 tab 50s,,tablet,sualin bottle,sualin bottle 50 50s,1,sualin,sualin,sualin,50s,HAMDARD LABORATORIES LTD,,,65.0
29219,vilshine m 50/500 tab 10s,,tablet,vilshine m 50/500,vilshine m 50/500 10s,1,vilshine m,vilshine,vilshine,10s,VIGILANT LIFE SCIENCES PVT LTD,,,0.0
28172,phosace tab 10s,,tablet,phosace,phosace 10s,1,phosace,phosace,phosace,10s,YTILIGA PHARMACEUTICALS,,,48.0
29218,resumer pro tab 60s,,tablet,resumer pro,resumer pro 60s,1,resumer,resumer,resumer,60s,VIGILANT LIFE SCIENCES PVT LTD,,,0.0
28659,ticrid-ep tab 10s,,tablet,ticrid ep,ticrid ep 10s,1,ticrid,ticrid,ticrid,10s,AEGIS PERIGLOBE,,,137.0
30185,bempestar r 40 tab 10s,,tablet,bempestar r,bempestar r 40 10s,1,bempestar,bempestar,bempestar,10s,TORRENT,,,490.0
30299,oxichamp 4g tab 10s,,tablet,oxichamp 4g,oxichamp 4g 10s,1,oxichamp,oxichamp,oxichamp,10s,AAREEN HEALTHCARE PVT LTD,,,189.9
599,styplon tab 30s,,tablet,styplon,styplon 30s,1,styplon,styplon,styplon,30s,HIMALAYA DRUG CO.,,,110.0
14029,d.f.o mr tab 10s,,tablet,d.f.o,d.f.o 10s,1,d.f.o,d.f.o,d.f.o,10s,OZONE,,,108.9
11359,paraache p tab 10s,,tablet,paraache p,paraache p 10s,1,paraache,paraache,paraache,10s,SEQMED,,,68.0
29285,phosace-c tab 15s,,tablet,phosace c,phosace c 15s,1,phosace,phosace,phosace,15s,YTILIGA PHARMACEUTICALS,,,0.0
23406,omegaris forte tab 10s,,tablet,omegaris forte,omegaris forte 10s,1,omegaris,omegaris,omegaris,10s,OCURIS PHARMA,,,190.0
