Product Code,Product Name,Pack Size,Company,catg,subcatg,MRP
1396,AZILIDE 200 SUSP,15ML,MICRO,,,51.86
17162,MANFORCE WILD CONDOMS (STRAWBERRY),3PCS,MANKIND OTC,,,25
16304,PREGNIZ M,10TAB,AVTIX HEALTHCARE,,,140
5501,SEACOD COD LIVER OIL CAP,110CAP,AVENTIS,,,352.98
17078,B -ACTIVE TAB,15TAB,DELVIN FORMULATIONS PVT LTD,,,284
8136,AMLOPRESS 5 TAB,30TAB,CIPLA LTD,,,74.92
16763,Basalog 100IU/ml Refill Cartridge,5ML,BIOCON,,,783.14
27301,B.BASANTKUSMAKAR RAS,10TAB,BAIDYANATH AYURVEDIC,,,473
16285,ESOTIX DSR,10TAB,AVTIX HEALTHCARE,,,135.2
22757,TUSQ DX DT TAB,10TAB,BLUE CROSS,,,53
9439,TELSAR 40 TAB,15TAB,TORRENT,,,101.3
16300,OPRANIS DSR,10TAB,AVTIX HEALTHCARE,,,91.33
16272,BONTIX D3,10TAB,AVTIX HEALTHCARE,,,65
1271,SENQUEL F MEDICATED ORAL GEL,50GM,DR. REDDY LABORATORIES LTD,,,103.5
16275,CEFUSTA 500MG,4TAB,AVTIX HEALTHCARE,,,390.12
19,MUCOLITE TAB,10TAB,DR. REDDY LABORATORIES LTD,,,43.92
16307,RABTIX LS,10TAB,AVTIX HEALTHCARE,,,195
4853,BRO-ZEDEX  SYP 100ML,100ML,DR. REDDY LABORATORIES LTD,,,142.5
10657,NASIVION PAEDIATRIC NASAL DROPS,10ML,PROCTER AND GAMBLE HEALTHCARE LTD,,,80.5
17333,T-MINIC SYP,60ML,GALAXO SMITH KLINE OTC,,,99.82
16313,VEZTIX,10TAB,AVTIX HEALTHCARE,,,249.12
11125,CREMAFFIN PLAIN 225ML,225ML,ABBOTT INDIA LIMITED,,,255.33
2009,NEBI 5 TAB,10TAB,GENETICA,,,98.2
21551,RABIVAX S VACCINE,1ML,SERUM INSTITUTE OF INDIA LTD,,,398.37
30667,ZYTANIX -5MG 15TAB,15TAB,ZYDUS CADILA HEALTHCARE LTD,,,283.45
16277,CLODIME GM CREAM,20GM,AVTIX HEALTHCARE,,,70.5
29459,TICAVIC 60MG TAB,10TAB,ALKEM,,,165
16310,TIXMOL PLUS,10TAB,AVTIX HEALTHCARE,,,70.12
16312,TIXSPAS,10TAB,AVTIX HEALTHCARE,,,39
11002,TRIGLIMISAVE 2 TAB,10TAB,ERIS PHARMA,,,227.95
9433,TRIKA 0.25 TAB,15TAB,TORRENT,,,29.2
16271,BECOTIM FORTE,10TAB,AVTIX HEALTHCARE,,,94.12
16278,CORNREST TAB,10TAB,AVTIX HEALTHCARE,,,45.11
30236,ESILOC 40MG TAB,15TAB,CADILA HEALTHCARE LTD,,,82
332429997,ADMOL JR 125 DT,10TAB,KEPLER,,,19.25
30351,MEXATE 15 TAB 10TAB,10TAB,ZYDUS CADILA HEALTHCARE LTD,,,466.05
16291,LEVOCORN 500MG,10TAB,AVTIX HEALTHCARE,,,84.78
1049,MONOCEF O 100 ORAL SUSP,30ML,ARISTO,,,185
9434,TRIKA 0.5 TAB,15TAB,TORRENT,,,60.85
30633,COZY KID SYP 60ML,60ML,IND SWIFT LABORATORIES LTD,,,71.35
1270,SENQUEL F MEDICATED ORAL GEL,100GM,DR. REDDY LABORATORIES LTD,,,160.75
9821,NUROKIND PLUS RF CAP,10CAP,MANKIND,,,105
10802,BLANKET,10G,OTHERS,,,0.1
27767,BONEKAN-K2 TA,10TAB,MICRO,,,265
7849,ULGEL A SUSP.,200ML,ALEMBIC PHARMACEUTICALS LTD,,,168.6
29334,BALANERVE TAB,10TAB,Meghmani Lifesciences,,,225
11437,NUROMARK TAB,10TAB,UNIMARK HEALTHCARE LTD,,,29
11438,PIZA-40,10TAB,UNIMARK HEALTHCARE LTD,,,65
1257,RUMALAYA FORTE TAB,30TAB,HIMALAYA DRUG CO.,,,180
9754,T-98 PAEDIATRIC DROP,15ML,MANKIND,,,29.99
9942,RANIDOM O ORAL SUSP.,200ML,MANKIND,,,155
24792,VITROZOLE-DSR,10TAB,Voiceover Pharmaceuticals,,,120
16306,RABTIX DSR,10TAB,AVTIX HEALTHCARE,,,144.3
9980,TERBINAFORCE 250 TAB,7TAB,MANKIND,,,100.14
16311,TIXMOL SP,10TAB,AVTIX HEALTHCARE,,,75
18701,TORLEVA XR 500 TAB,10TAB,OTHERS,,,208.7
6300,BRO-ZEDEX LS SYP,100ML,DR. REDDY LABORATORIES LTD,,,145.25
16273,CALCETIX D3 60K,4TAB,AVTIX HEALTHCARE,,,119.89
21549,MOX CV BD,30ML,RANBAXY,,,67.2
8034,SEROFLO 250 INHALER,120MDI,CIPLA LTD,,,733.09
16315,CLAVCORN 625MG,10TAB,AVTIX HEALTHCARE,,,187.5
4785,AVIL INJECTION 2ML,AMP*2ML,AVENTIS,,,5.66
314031101,CADIHEP SYP 110ML,110ML,CADILA HEALTHCARE LTD,,,125
8994,OROFER XT TAB,10TAB,Emcure Pharmaceuticals Ltd,,,189.45
10044,SURBEX XT SOFTLETS,15SOFTLET,ABBOTT INDIA LIMITED,,,144.05
8980,UPRISE D3 2K CAP,10CAP,ALKEM,,,144
314031102,CADIHEP SYP 220ML,220ML,CADILA HEALTHCARE LTD,,,257.8
16263,ENERZAL POWDER LIME 100GM,100GM,FDC LTD.,,,55
30566,AMLONG MT 25 - 15TAB,15TAB,MICRO,,,150
9516,NEW FOLLIHAIR TAB,30TAB,ABBOTT HEALTH CARE,,,630
50030844,OSICAR TRIO,10TAB,SYSTOPIC,,,129
29920,BUDAMATE 100 TRANSCAP,30TAB,LUPIN LTD,,,141.41
7659,STORVAS 5 TAB,15TAB,RANBAXY,,,105
9304,COLASEQ-B TAB,10TAB,SEQMED,,,250
582,SEPTILIN TAB,60TAB,HIMALAYA DRUG CO.,,,180
30365,FIXDERMA SHADOW 30 PLUS GEL 75GM,75GM,FIXDERMA INDIA PVT LTD,,,385
9374,MOX CV 625 TAB,10TAB,RANBAXY,,,223.35
23573,PLANOKUF SYP 100ML,100ML,SHREYA LIFESCIENCE,,,181.7
5661,SUPER D3 60000IU SOFTGEL CAP,4CAP,ARISTO,,,65
30730,PARKIN TAB 15TAB,15TAB,MICRO,,,22.68
15113,RECOFAST TAB,10TAB,SHREYA LIFESCIENCE,,,51.65
25946,ESCIGRESS CZ 0.5 TAB,10TAB,LA RENON HEALTHCARE,,,108
30148,FLUCOS 200TAB,6TAB,Oaknet Healthcare Pvt Ltd,,,126.44
25265,HYLOGET SACHETS,10TAB,DRIGHYAM PHARMACEUTICALS,,,120
16664,INSTANT HAND SANITIZER 100ML,100ML,DAILYMATE,,,50
330131018,LYNX INJ 2ML,2ML,WALLACE PHARMA,,,20.5
30391,NEW IMPROVED CELLFORTE TAB,10TAB,Ultimate Healthcare,,,342
29828,NUCOXIA INJ 1ML,1ML,ZYDUS CADILA HEALTHCARE LTD,,,249
29651,QMARCO 300 TAB,10TAB,AKCENT HEALTHCARE,,,1298
359531081,RESPIRADO TAB,10TAB,Meghmani Lifesciences,,,146
9755,T-98 DS SUSP.,60ML,MANKIND,,,40.32
49430957,MAXICEF O 100 DT TAB,10TAB,ARISTO,,,88.95
26375,NAPROSYN 250 PLUS,15TAB,RPG LIFE SCIENCE LIMITED,,,63.75
9881,NOBEL  SPAS TAB,10TAB,MANKIND,,,78.5
30472,MUCOTIL TAB,10TAB,TABLET INDIA,,,260
29446,P ZIDE 750MG,10TAB,CADILA HEALTHCARE LTD,,,74.97
23115,SKD3 NANO SHOT,5ML,WINSOME BIOCEUTICALS,,,79
16040,TOREX JUNIOR SYP,60ML,TORQUE PHARMACEUTICALS,,,75
6593,HEMFER SYP,225ML,ALKEM,,,162
8894,MOX 125 DRY SYP,30ML,RANBAXY,,,29.5
11439,PIZA DSR CAP,10CAP,UNIMARK HEALTHCARE LTD,,,110
327131094,PROXYM ER 300 TAB,15TAB,Emcure Pharmaceuticals Ltd,,,426.6
8265,SOLONEX TAB,10TAB,MACLEODS,,,13.9
14453,DILNIP T 40 TAB,15TAB,LUPIN LTD,,,237.2
25421,MODUS 10TAB,10,KOYE PHARMACEUTICALS PVT.LTD,,,62.38
23694,TSART 40,10TAB,ALKEM,,,122.91
31161,ALTIBONE TAB,10TAB,MEDISALVE LIFESCIENCES,,,220
30687,COSGLO GEL 15GM,15GM,Oaknet Healthcare Pvt Ltd,,,369.5
30584,COSKLOT PLUS TAB,10TAB,Oaknet Healthcare Pvt Ltd,,,278.19
31163,CYSTOFIT TAB,10TAB,MEDISALVE LIFESCIENCES,,,270
28392,FETIK-150 TAB,2TAB,INSUTIK PHARMACEUTICALS PVT.LT,,,13
22496,MANFORCE CONDOMS (OVERTIME ORANGE),10PCS,MANKIND OTC,,,120
9507,PEDIFLOR KIDZ GREEN APPLE,70GM,GROUP PHARMACEUTICALS,,,115
30162,PRUGO 25MG TAB,15TAB,Oaknet Healthcare Pvt Ltd,,,71.75
359530749,SIASTO 100MG,15TAB,Meghmani Lifesciences,,,150
7444,STAMLO 5 TAB,30TAB,DR. REDDY LABORATORIES LTD,,,74.9
7943,TELMA AMH 80 TAB,15TAB,Glenmark Pharmaceuticals Ltd,,,420
23744,DENSIVE TAB,30TAB,GROUP PHARMACEUTICALS,,,24
10929,NIMULID MD TAB 100MG,10TAB,MANKIND,,,98.65
332930999,CATLON EYE DROP,5ML,OPTHO REMIDES,,,88
9432,RANX 500 TAB,15TAB,TORRENT,,,296.9
8446,SAAZ TAB,10TAB,IPCA LABORATORIES LTD,,,68.15
4966,SILVEREX IONIC GEL 10GM,10GM,RANBAXY,,,93
8823,TETMOSOL MEDICATED SOAP,100GM,PIRAMAL,,,92
14324,BONNISAN LIQUID 100ML,100ML,HIMALAYA DRUG CO.,,,65
21411,LINOX 600 TAB,10TAB,TORRENT,,,356.27
9305,NERVESEQ Q  TAB,10TAB,SEQMED,,,499
10208,AMBRODIL PLUS RF SYP,100ML,ARISTO,,,89.75
9181,AMLOPRESS AT 25,15TAB,CIPLA LTD,,,110.52
14070,BRO-ZEDEX LS 0.5 EXPECTORANT,60ML,DR. REDDY LABORATORIES LTD,,,72.5
9643,CREMALAX TAB,18TAB,ABBOTT INDIA LIMITED,,,201.33
13259,MISTY EYE DROP,10ML,NRI,,,110
9617,MOVICOL POWDER,13.8GM,WIN MEDICARE,,,68.5
3758,TECZINE SYP,60ML,RANBAXY,,,115
7817,CETAPHIL DAM 100G,100GM,GALDERMA,,,518
8169,NORFLOX TZ RF TAB,10TAB,CIPLA LTD,,,107.48
11440,PIZA-20MG,10TAB,UNIMARK HEALTHCARE LTD,,,44
16630,CETRILAK SOLUTION 0.2,100ML,INDIABULLS PHARMACEUTICALS,,,52
7504,ROSUVAS F 5 TAB,15TAB,RANBAXY,,,226
24571,CHARMIS DEEPNOURSING COLD CREAM,2,COSMETIC ITEM,,,95
7940,TELMA AMH 40 TAB,15TAB,Glenmark Pharmaceuticals Ltd,,,279
316230944,ALAMIN RX POWDER 10GM,10GM,ALBERT DAVID,,,49.69
15156,CETCIP-L TAB,10TAB,CIPLA GENRIC,,,67.1
30610,CHARGE-GS TAB,10TAB,MEDSHINE PHARMACEUTICALS,,,250
16332,CIPZOX TAB,6TAB,CIPLA GENRIC,,,73.7
30605,DOMSHINE CAP,10TAB,MEDSHINE PHARMACEUTICALS,,,120
30620,EASE TAB,15TAB,MEDSHINE PHARMACEUTICALS,,,65
7007,CLARIBID 250DS SYP,30ML,ABBOTT HEALTH CARE,,,227.26
30612,EASE-NP TAB,10TAB,MEDSHINE PHARMACEUTICALS,,,90
317730859,ENCELIN DM 100/10/500 TAB,10TAB,TORRENT,,,199
30616,GLIFMED TAB,10TAB,MEDSHINE PHARMACEUTICALS,,,250
27069,IMMUNACE EXTRA TAB,15TAB,MEYER,,,145
23917,JUNGLE FOR LOT ROLL ON,50ML,WIN MEDICARE,,,110
16293,LEVOTIX  TAB,10TAB,AVTIX HEALTHCARE,,,55.42
29643,MCOLLARED SACHET 12.5GM,12.5GM,AKCENT HEALTHCARE,,,138
10112,MOX KIDTAB 125MG,15TAB,RANBAXY,,,91
10113,MOX KIDTAB 250MG,15TAB,RANBAXY,,,133
27645,MYOFATIGE TAB,10TAB,Fourrts India Laboratories,,,207
4857,NADOXIN CREAM,10GM,DR. REDDY LABORATORIES LTD,,,162.75
30606,NICMOX-LB TAB,10TAB,MEDSHINE PHARMACEUTICALS,,,295
22501,NOVOACE P TAB,10TAB,MEDSTRY BIOTECH,,,45
22933,CLINIC DC NURISNG HAIR OIL 100M,100ML,HINDUSTAN UNILIVER LTD,,,48
16159,OKACET L TAB,10TAB,CIPLA GENRIC,,,62.7
30615,RYKER-Q TAB,10TAB,MEDSHINE PHARMACEUTICALS,,,550.11
719,SERTA 100 TAB,15TAB,TORRENT,,,312.4
30120,CLOBITAL NM CREAM  15GM,15GM,TALENT INDIA LTD,,,46.75
30608,SHECOD TAB,10TAB,MEDSHINE PHARMACEUTICALS,,,375
30604,STRENGTH-D3 TAB,10TAB,MEDSHINE PHARMACEUTICALS,,,150
30603,STRENGTH-K2 TAB,10TAB,MEDSHINE PHARMACEUTICALS,,,250
334630547,TRIMAZE TAB,10TAB,A.R PHARMACEUTICALS,,,230
22206,CLOTH DISINFECTANT SPRAY SAVLON,230ML,ITC LTD,,,175
23618,VAIO-NURON CAP,10CAP,RONYD HEALTHCARE PVT LTD,,,179.9
27330,VEBPRAM 10TAB,10TAB,VEBLEN PHARMACEUTICAL PVT. LTD,,,83
28390,CLOTIK-K SOAP 75GM,75GM,INSUTIK PHARMACEUTICALS PVT.LT,,,100
22930,CLP SL SHAMP,80ML,HINDUSTAN UNILIVER LTD,,,49
30122,COCID 40 TAB,10TAB,TALENT INDIA LTD,,,80
30108,AMROLSTAR CREAM 10GM,10GM,Oaknet Healthcare Pvt Ltd,,,86.37
29830,ARBITEL-20MG 15TAB,15TAB,MICRO,,,68.04
30613,EASE-TH TAB,10TAB,MEDSHINE PHARMACEUTICALS,,,235
18087,OPTIMOIST EYE DROP,10ML,NEOMEDIX HEALTHCARE LTD.,,,132
6587,PAN L CAP,10CAP,ALKEM,,,239
22931,COMFORT FAB CONDIT,1TAB,SURGICAL ITEM,,,56
27203,ATA TABLET,10TAB,FDC LTD.,,,89
30614,BROM-RT TAB,10TAB,MEDSHINE PHARMACEUTICALS,,,325
14433,CALCITAS D3 CAP,4CAP,INTAS PHARMACEUTICALS,,,139.86
8666,NIMULID TAB,15TAB,MANKIND,,,84.8
23873,COREX LS SYP 100 ML,100ML,PFIZER,,,108.89
208,PRACTIN SYP,200ML,DR. REDDY LABORATORIES LTD,,,145
17111,RECOFAST PLUS TAB,10TAB,SHREYA LIFESCIENCE,,,72.15
18266,RICHAR CR 75MG TAB,1TAB,ALEMBIC PHARMACEUTICALS LTD,,,180.1
7954,SCALPE + ANTI DANDRUFF SHAMPOO,75ML,Glenmark Pharmaceuticals Ltd,,,280
26400,SHILAJIT GOLD 12S,12TAB,DABUR INDIA LTD.,,,275
16283,DICLODIME PLUS TAB,10TAB,AVTIX HEALTHCARE,,,59.46
24606,FDINE TAB 10TAB,10TAB,SANSTUTI PHARMACEUTICALS,,,120
27328,VEBAFIT TAB,10TAB,VEBLEN PHARMACEUTICAL PVT. LTD,,,89
30611,DAZE-AP TAB,10TAB,MEDSHINE PHARMACEUTICALS,,,125
24617,FUCISOFT CREAM 10GM,10GM,SANSTUTI PHARMACEUTICALS,,,120
30803,CALGROW XT TAB,15TAB,AAREEN HEALTHCARE PVT LTD,,,352.35
23233,EPIWAVE500,10TAB,AXONWAVE PHARMACEUTICALS,,,132
18562,INSUGEN 30/70 VAIL,10ML,BIOCON,,,157.7
29372,PROBEDIA POWDER 400GM,400GM,Meghmani Lifesciences,,,675
21853,AMYRON TAB,30TAB,AMIL PHARMACEUTICALS INDIA LTD,,,198
30111,B-OZE CREAM 10GM,10GM,Oaknet Healthcare Pvt Ltd,,,135
17160,MANFORCE WILD CONDOMS (BLACK GRAPES),3PCS,MANKIND OTC,,,25
10583,R-CINEX CAP,10CAP,LUPIN LTD,,,113.5
30337,SITAXA DM(10/100/1000)TAB,10TAB,TORRENT,,,230
8543,BAG,1,OTHERS,,,0
16316,DICLODIME MR,10TAB,AVTIX HEALTHCARE,,,58.5
30139,EFATOP -PE CREAM 60GM,60GM,Oaknet Healthcare Pvt Ltd,,,227.5
27920,IG-FIT,10TAB,HEALTHICA PHARMACEUTICALS,,,270
29847,SITAPRIDE-D 100/10 TAB,15TAB,MICRO,,,299
4429,CRITIPRO DM POWDER,180GM,ARISTO,,,545
2635,TERBEST TAB,7TAB,SYSTOPIC,,,91
30106,AJUBI BALM. 10GM,10GM,TECHNO PHARMA PVT LTD,,,40
7594,CEPODEM 100MG DS SUSP,30ML,RANBAXY,,,189
30607,FIZI-12 TAB,10TAB,MEDSHINE PHARMACEUTICALS,,,150
23234,KALRISE D3,10TAB,AXONWAVE PHARMACEUTICALS,,,108
30252,CURCUMA SHOTS 200ML,200ML,IND SWIFT LABORATORIES LTD,,,595
9609,LYCORED SYP,200ML,JAGSONPAL PHARMACEUTICALS LTD,,,242
9656,OFLOMAC ORAL SOL.,30ML,MACLEODS,,,39.6
9345,PROTHIADEN TAB,15TAB,ABBOTT INDIA LIMITED,,,161.77
29845,SITANORM M 50/1000 TAB,15TAB,MICRO,,,164
